,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,77.013793007213,130240.21409111662,85.11810503352636,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,10.42850275509003
2,81.18429469806438,193802.60967117886,134.62709128779622,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_26_35,sex_male,2.0,51.0,1,27.324810126195146
3,91.1506735360088,230263.5398614373,183.9648621083333,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,51.0,1,60.816863873815784
4,77.08624510822612,185965.3058505873,135.98201563597408,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,60.816863873815784
5,85.05286898941007,204946.23641280434,149.01566455525426,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,70.3010829195951
6,92.28440303907894,236582.01110719942,172.68063749668747,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_6,age_56_65,sex_female,6.0,51.0,1,12.759798482783994
7,67.08201761393175,123872.57673368466,92.75590451007635,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_46_55,sex_female,7.0,1.0,1,100.560815483777
8,67.07603737808168,116633.18541393474,88.76877313320175,AC_yes,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_male,8.0,1.0,1,89.51667518580277
10,75.31649221681455,252663.6465742003,182.1298678363221,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,10.0,81.0,1,61.76328289861844
11,48.482501460541926,187698.92469526725,136.13597915665446,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,11.0,81.0,1,97.94963917173969
12,37.81486134217187,118188.41096811631,90.43886427156716,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_male,12.0,1.0,1,108.46998903360253
13,29.364241871244012,125532.50939451258,92.81379800997615,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,13.0,31.0,1,53.77003727474515
14,46.16602090996645,161125.31446833262,117.36802364506376,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_1,age_26_35,sex_male,14.0,21.0,1,21.459907061321108
15,21.32168003953829,83881.01686395016,50.91036085842203,AC_no,Cooking_yes,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,Education_High_School,Size_1,age_26_35,sex_female,15.0,1.0,1,13.360709714400913
16,49.64359545428086,169406.7966259168,121.43233208506928,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_2,age_36_45,sex_female,16.0,21.0,1,127.63790496483836
17,22.064811599268104,51651.26669617337,32.827063923158605,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_1,age_36_45,sex_female,17.0,1.0,1,60.041309453112476
18,49.34025825890158,171582.72044499053,126.79876610424206,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_High_School,Size_3,age_66_75,sex_male,18.0,1.0,1,62.13890969356397
19,59.28438586649587,221390.32153812482,161.2389089592929,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_46_55,sex_male,19.0,51.0,1,97.51566042746364
20,46.914759725907096,174095.10853260176,123.53416824806929,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_1,age_46_55,sex_male,20.0,21.0,1,46.3989390257816
21,29.288992485764023,125570.49627178516,93.77188929906715,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_High_School,Size_1,age_36_45,sex_male,21.0,31.0,1,41.459479178785536
23,36.34057155505785,128235.59874502277,95.03843789845236,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_High_School,Size_1,age_36_45,sex_male,23.0,1.0,1,52.8964232690911
24,32.07049018571329,66692.76760514951,41.58988317963777,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_male,24.0,31.0,1,82.93789150641905
25,44.12923062241543,141435.17438266426,92.54230046939504,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,25.0,51.0,1,87.33276190802759
26,33.515849497635905,116232.26633189607,89.62104524452756,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_female,26.0,31.0,1,93.55476877013115
27,61.0484991962285,196659.3888681028,144.0730236735187,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,27.0,81.0,1,91.6314695046102
28,43.00100161173036,114953.43681821464,86.20325196229494,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_56_65,sex_male,28.0,31.0,1,38.584988620995595
29,45.785669824629814,130876.74266706375,93.97271321245995,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_1,age_36_45,sex_male,29.0,31.0,1,40.27143804125154
30,43.793850719983894,126787.84048264648,90.19960211337393,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_1,age_36_45,sex_male,30.0,31.0,1,40.27143804125154
31,48.664260484267224,191826.6338848366,125.71539288983757,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_46_55,sex_male,31.0,51.0,1,101.81436802404622
32,97.1361679661642,228605.2388090103,168.40943506235755,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,32.0,81.0,1,64.94958198468198
