,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,172232.28671490392,85.75667849355811,125.60263028258298,63.69399707174232,0.0
1,2,sex_female,Size_2,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,116249.4963867335,65.16912752264373,73.88581912429163,63.69399707174232,0.0
2,6,sex_male,Size_5,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,192148.3308564881,84.19909628673376,133.4185173460226,63.69399707174232,0.0
3,7,sex_male,Size_4,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,198437.1334070548,88.18384300956555,150.91225599214494,63.69399707174232,0.0
4,8,sex_male,Size_4,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,200063.26850688085,80.13241801951972,147.29321716788243,63.69399707174232,0.0
5,9,sex_female,Size_5,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,245690.37294749406,93.78607393870634,175.03448975233243,63.69399707174232,0.0
6,11,sex_female,Size_7,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,234976.63865848925,91.94021033177664,171.39934296441618,63.69399707174232,0.0
7,12,sex_female,Size_4,age_46_55,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,196995.73982924258,86.28169718892649,141.47809057680757,63.69399707174232,58.19309919623202
8,13,sex_female,Size_4,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,121201.57136948536,67.87754264366369,92.98902620197782,63.69399707174232,21.190661419360946
9,14,sex_male,Size_6,age_19_25,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,119362.40073761668,75.6176566899341,91.27892176430763,63.69399707174232,0.0
10,15,sex_male,Size_6,age_36_45,Education_College,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,206807.61892598847,98.90190991787765,138.32572009871615,63.69399707174232,0.0
11,17,sex_male,Size_3,age_46_55,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,223461.77938130155,92.91281527168195,158.09623366247905,63.69399707174232,178.8715785518276
12,19,sex_male,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,191291.62340233172,87.02340669807128,140.5134433671066,63.69399707174232,38.54421483029539
13,20,sex_male,Size_5,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,240882.3777396771,91.51629682317393,168.4548724631097,63.69399707174232,0.0
14,21,sex_male,Size_2,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,159409.25537005236,74.95912476752886,116.05174160293687,63.69399707174232,134.46709522181786
15,23,sex_female,Size_2,age_26_35,Education_College,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_no,Urbanity_Urban,206403.90410642998,81.49204352787525,144.35161255137896,63.69399707174232,0.0
16,25,sex_male,Size_2,age_76_85,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,200113.6905466379,84.18438749865923,146.34875229849396,63.69399707174232,30.247197773114408
17,27,sex_male,Size_3,age_46_55,Education_High_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,142566.14543871803,68.18940689774027,104.80808541453275,63.69399707174232,209.6500630755777
18,28,sex_male,Size_3,age_46_55,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,226588.94357611003,86.93101271565322,161.07094268927986,63.69399707174232,178.8715785518276
