,Electricity,Income,Water,e_Cooking,e_Lighting,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
1,65.21253909805695,116455.91547145035,74.0473576197272,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_19_25,sex_female,1.0,51.0,1,28.716925448973043
5,84.75772512014022,203569.26401447767,147.93461555534932,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_female,5.0,51.0,1,45.448957818181285
7,86.32580092569025,197203.95903912786,141.63009649626085,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,81.0,1,30.18400327853898
8,67.92605315223258,121431.94126715732,93.16595939500715,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_female,8.0,1.0,1,41.85189107532306
11,92.95480760742106,223667.5446761766,158.2578244946674,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,11.0,81.0,1,107.0783306482063
12,83.1923159899823,191502.54623510555,140.6810465115613,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_male,12.0,51.0,1,27.745975936734453
13,67.06893409134771,124012.79173186893,91.69952417361652,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_36_45,sex_male,13.0,31.0,1,23.083516285478378
14,75.0031885070623,159619.95262511435,116.2138713972403,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_26_35,sex_male,14.0,21.0,1,109.77830617221042
16,91.1465133445442,235030.0406806561,167.11566078227634,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,16.0,81.0,1,19.2857453892575
17,69.9472908042511,106773.43557171985,82.85557842392255,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,17.0,31.0,1,141.28970123181517
18,86.85769765445927,210296.95692046004,145.04813140739603,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,18.0,81.0,1,56.084628704266294
20,69.44189059473335,119702.44358182064,87.67957406476678,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,20.0,31.0,1,27.497115972866418
22,68.92665903014328,100330.39389142334,73.91859529441834,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_36_45,sex_male,22.0,31.0,1,133.06952088511113
24,78.86967271460504,149817.24244839975,97.24237769008828,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,24.0,51.0,1,34.963822931834905
26,79.20218090393533,186831.37511747028,136.57353900028568,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,26.0,81.0,1,21.067421709704114
31,77.05645611936792,191678.4496788077,142.79948332862043,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,31.0,81.0,1,21.28760205640861
34,88.6187244094465,200201.0907841137,146.36311354712626,Cooking_yes,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,34.0,81.0,1,12.817565087159537
35,63.99783845378194,105702.42476355161,78.9151060926365,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_46_55,sex_male,35.0,1.0,1,177.96825545884553
36,89.8139065299908,203130.05229646052,143.9870259250102,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,36.0,81.0,1,29.770403591150952
37,83.4709447776362,220809.9199566948,157.75062499529088,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_46_55,sex_male,37.0,51.0,1,145.77015144899946
39,85.64617290430745,187780.29233772238,122.46270316209585,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,39.0,81.0,1,13.065565042553004
43,85.09614128333072,195353.31836232945,142.65664659654664,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,43.0,81.0,1,19.874002369020147
47,84.5976282898483,187278.85949417422,123.0866780912493,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,47.0,81.0,1,17.2857453892575
48,86.794978296427,209696.7222849421,133.30849041071102,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_26_35,sex_male,48.0,81.0,1,1.1973406656026309
49,103.80714701367909,252814.8408336313,173.2701533923856,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_9,age_46_55,sex_female,49.0,81.0,1,41.63279777744242
52,72.29366205942658,140751.1895145129,104.66247978830731,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_female,52.0,31.0,1,93.51587962617874
53,66.1811384849157,111660.22038009873,87.04964668561642,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,53.0,31.0,1,142.28970123181517
54,59.077519963497714,80228.3727052922,53.61341938144653,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_46_55,sex_female,54.0,1.0,1,55.07207142202755
55,89.55695383396173,241775.49334339355,172.5195543895154,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_4,age_46_55,sex_male,55.0,51.0,1,24.964299616287825
56,97.79181101909262,259329.9096935218,183.57095112046036,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,56.0,81.0,1,17.782839258277995
57,80.9965053918855,161982.66702349446,122.8731256548262,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_5,age_36_45,sex_male,57.0,31.0,1,22.406995401651105
58,92.48377860211586,224092.68492990677,163.5546050159475,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,58.0,81.0,1,96.0783306482063
59,90.66334114560772,200171.68500778422,145.10637937746057,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,59.0,81.0,1,24.874002369020147
60,98.35310094300495,250943.89459368444,175.44249153427305,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_36_45,sex_male,60.0,81.0,1,10.5626589115735
62,86.10205278822657,196015.48591244628,143.37939391581443,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,62.0,81.0,1,19.874002369020147
65,83.39639979125383,191305.65175590746,139.64599759678129,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,65.0,81.0,1,26.963822931834905
68,55.72899528096354,62984.6744769016,40.0769166206593,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,68.0,31.0,1,137.28970123181517
70,75.47965224903831,134652.68942445322,101.08796179545806,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_female,70.0,31.0,1,43.20009785431325
71,74.12113268278895,120316.90616490225,79.83618465677344,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,71.0,51.0,1,99.99615316731087
75,91.74319238956473,239692.0846418605,170.93258559010306,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,75.0,81.0,1,18.2857453892575
76,96.39081489566333,237051.3503530965,167.76134713621573,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,76.0,81.0,1,18.872145701869034
78,79.18650705129616,175438.73034895211,125.71523593548456,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,78.0,51.0,1,125.86000696865293
79,80.60218359369043,170889.23116659827,112.54544826500452,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_46_55,sex_male,79.0,21.0,1,160.77015144899946
81,79.28687418903898,188677.13044071716,127.9611762044862,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_46_55,sex_female,81.0,81.0,1,60.08930049882409
82,96.58066235091542,252760.76090371655,184.0621101940636,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_female,82.0,81.0,1,33.9887272707039
83,76.27281802109323,144319.7921365073,109.2168345551925,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_female,83.0,31.0,1,149.28940122341461
84,92.19916913010813,222988.23744396804,173.04112635070987,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_female,84.0,81.0,1,58.7504139925982
85,56.79604570723959,79092.50689323651,51.183172367268725,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_female,85.0,31.0,1,44.393517194997216
86,94.3244338195129,230519.38259896828,161.86183565669884,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,86.0,81.0,1,106.0783306482063
87,97.01538123493377,230867.34590879804,159.31706810121946,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,87.0,81.0,1,15.065565042553004
