,Electricity,Income,Water,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,76.75127489167103,128979.33977335194,84.11441551382224,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,5.802294274273761
3,94.69509170101593,229004.4661495705,182.93416288727204,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,81.0,1,23.363255809580224
4,86.73159915412266,230604.87330734765,178.3527760285699,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,8.295107110075504
5,84.79230375493201,203730.58813876405,148.06126971659194,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,26.575502545527684
7,86.36150273548199,197372.51051033894,141.7531438025175,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,81.0,1,81.21978784929684
8,67.9653215431769,121618.42167450936,93.30918341867205,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_female,8.0,1.0,1,126.15935811467541
10,100.71464859863659,251363.7087994195,181.1383542057523,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_5,age_36_45,sex_male,10.0,51.0,1,36.192884429683254
11,92.98895006397021,223834.59918191293,158.3888929278485,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,11.0,81.0,1,83.08172849400592
12,83.22805933291619,191673.0732306818,140.81634900572848,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_male,12.0,51.0,1,87.31367853679319
13,67.10623239193633,124190.6442837832,91.82989199473695,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,13.0,31.0,1,64.91046149612238
15,81.5986105933925,206643.527874184,144.55490100155637,Cooking_yes,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_College,Size_1,age_26_35,sex_female,15.0,81.0,1,21.999999230765283
16,68.83257907036257,126981.95718076675,100.10404136225347,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_56_65,sex_female,16.0,31.0,1,21.990901240203854
17,91.98438669894723,220837.05013976802,156.5593526492191,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,17.0,81.0,1,94.03320254440314
18,75.66426563227766,189465.31807427245,138.2203235084693,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_56_65,sex_male,18.0,51.0,1,1.077072962816894
19,84.30914401243348,186415.9885798642,136.16281745872686,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,19.0,81.0,1,79.5927017102737
20,67.83954154585193,149749.5338224493,100.64200990956918,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_46_55,sex_female,20.0,21.0,1,96.52455301076901
21,79.12225686542178,154936.9285115692,101.59220690125808,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_male,21.0,21.0,1,40.78606788213157
22,91.37736708326293,198755.9881512445,144.12419811233386,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_26_35,sex_female,22.0,81.0,1,0.32303405333813623
23,56.51905233721522,80575.07889910621,54.14351569178223,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_46_55,sex_female,23.0,1.0,1,120.20788406427825
25,102.68006297492347,263999.6160492632,187.7851632695241,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_36_45,sex_male,25.0,81.0,1,26.554214432547454
