,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,172219.50063703643,85.75401639075533,125.59245222425417,65.45767575322812,0.0
1,2,sex_female,Size_2,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,161068.01134771435,74.59481771178811,115.94260593494707,65.45767575322812,0.0
2,6,sex_male,Size_5,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,192135.39328195975,84.19644102068078,133.4090654847597,65.45767575322812,0.0
3,7,sex_male,Size_4,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,198424.36559369697,88.18112329515385,150.90180404073692,65.45767575322812,0.0
4,8,sex_male,Size_4,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,200051.38018178957,84.04997399587944,147.28359701799198,65.45767575322812,0.0
5,9,sex_female,Size_5,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,245678.04548763434,97.75464584117132,175.02481156956136,65.45767575322812,16.074273637390803
6,11,sex_female,Size_7,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,234964.08120813183,91.93751787001392,171.38932021792277,65.45767575322812,0.0
7,12,sex_female,Size_4,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,153553.67128416788,81.66594886241961,100.31837855868437,65.45767575322812,18.182292279108026
8,13,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,195957.36235765723,83.61935740944521,144.5804348415895,65.45767575322812,16.30294904813783
9,14,sex_male,Size_6,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,194118.4575799242,91.60165634981335,142.9599308860513,65.45767575322812,0.0
