,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_19_25,Education_Post_Secondary,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,172278.88929110256,90.07439523759038,125.63972717373495,67.96774193548387,0.0
1,2,sex_female,Size_2,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,161127.31727731202,74.60729022050892,115.98901729584772,67.96774193548387,0.0
2,6,sex_male,Size_5,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,192195.48561629432,84.20877417736122,133.4529674126895,67.96774193548387,0.0
3,7,sex_male,Size_4,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,198483.66943713214,88.1937558030836,150.95035117870884,67.96774193548387,0.0
4,8,sex_male,Size_4,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,200106.5989638599,84.06190522044399,147.3282805920602,67.96774193548387,0.0
5,9,sex_female,Size_5,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,245735.30394213405,97.76691876826108,175.06976468191402,67.96774193548387,28.20121410413711
6,11,sex_female,Size_7,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,235022.3971150011,91.95002083825001,171.43586385621282,67.96774193548387,0.0
7,12,sex_female,Size_4,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,153613.49480004376,81.67862038502287,100.36205141014109,67.96774193548387,57.88173090387546
8,13,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Rural,196023.54950116292,87.69945838416344,144.6312691020008,67.96774193548387,72.93818356814332
9,14,sex_male,Size_6,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,194183.41919489295,91.61554616225007,143.01160277190667,67.96774193548387,0.0
10,15,sex_male,Size_6,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,164535.26053393967,85.40477476455652,110.41315665762178,67.96774193548387,0.0
11,17,sex_male,Size_3,age_46_55,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,181187.6513980746,84.27658754253483,130.77250946606648,67.96774193548387,349.0377150215292
12,19,sex_male,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,191339.22690453043,87.03296246794454,140.55131780686398,67.96774193548387,0.0
