,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
3,88.17542582183876,198397.61856475164,150.8799084654037,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,3.0,81.0,1,14.188532017994532
4,84.04459281230581,200026.47558086872,147.26344397198218,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,4.0,81.0,1,12.188532017994532
5,93.77789634264276,245652.22095751282,175.00453695534486,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_4,age_36_45,sex_female,5.0,51.0,1,29.867684339710408
7,86.27325356860445,196955.87758519038,141.44899004897238,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,81.0,1,106.17480188291611
8,67.86825599776061,121157.47025234894,92.95515508761444,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_female,8.0,1.0,1,164.7150730012846
10,98.89302787871105,206766.81622990555,138.29460119259835,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,10.0,81.0,1,56.456219406580786
11,92.90463420847132,223421.92402489856,158.0650501184644,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,11.0,81.0,1,104.48259570532366
12,87.01439970682466,191251.4454499089,140.48170764046958,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,12.0,81.0,1,100.64677847379016
13,91.50736561060492,240840.97410343704,168.42463739531402,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,13.0,81.0,1,20.62778716837989
15,80.459213960665,179029.06977168343,132.24963826626973,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_3,age_66_75,sex_female,15.0,31.0,1,33.27813747042658
16,91.07001801989333,234615.44564093614,166.80155940473688,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,16.0,81.0,1,107.26665538483695
17,93.15600509221059,214774.44990474675,169.04758066046767,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_female,17.0,81.0,1,74.97317860010631
18,78.23549921383506,167937.620478531,118.02561322665886,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,18.0,51.0,1,37.59450664093303
20,69.36039971771591,119209.96510151454,87.33221330963381,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,20.0,31.0,1,143.158883626716
22,69.37705907683818,102580.59722400825,75.022415016411,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_male,22.0,31.0,1,100.6911161504407
23,76.878784158653,132663.14876739949,83.88314186362341,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,23.0,51.0,1,63.37856632044635
24,95.55268680152805,247368.2157692663,176.36404740997955,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,24.0,81.0,1,19.124701132279288
25,91.44211970165763,209861.52137530732,152.7203297807016,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,25.0,81.0,1,26.219641463220903
27,83.19998939308877,221189.11561555296,169.42376403503144,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_female,27.0,81.0,1,75.97317860010631
28,89.13211479668949,189307.33899417135,128.03121806537598,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,28.0,81.0,1,115.26665538483695
29,69.1935013276631,123680.79250385537,92.30777984286068,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,29.0,31.0,1,147.158883626716
30,96.34625806976976,223863.7606467751,160.18803855938708,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_female,30.0,81.0,1,82.64320352092551
31,89.8179321760583,212351.64431537874,150.3497647316217,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,31.0,81.0,1,11.95866883331568
35,68.99547074559443,109063.07001975819,84.79411274045825,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_female,35.0,31.0,1,94.53543176280456
36,85.71525077249564,180420.01863592246,135.11845567272405,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,36.0,81.0,1,24.43882225329684
37,90.70551368266099,222452.20763645292,164.03184790841343,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_2,age_26_35,sex_female,37.0,51.0,1,39.77057292654829
41,102.05542012852409,248948.9250003793,178.98693824053836,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,41.0,81.0,1,22.662288251340655
43,102.4088416316478,248255.89767552802,178.556158985542,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,43.0,81.0,1,23.662288251340655
44,86.87094262085365,216622.81120184867,153.29714464980128,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_19_25,sex_male,44.0,81.0,1,0.03840250351761767
46,106.00373547667056,230847.5632761686,166.2744287865971,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_36_45,sex_female,46.0,81.0,1,67.94527632065314
47,89.95687640550001,218514.4689366389,160.62787160780633,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,47.0,81.0,1,33.70465664709295
48,91.80584878533949,211586.64600205762,155.67142020787625,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,48.0,81.0,1,41.54404883149118
50,81.4880230498671,172460.05810345273,122.75627841137073,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,50.0,51.0,1,38.59450664093303
51,81.93883587675299,200005.32793313733,129.72113550391353,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,51.0,81.0,1,16.124701132279288
52,75.33839295289285,128869.26946685169,94.11803288289578,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,52.0,31.0,1,30.203723207020857
53,85.47522008671285,178793.90259199726,128.28469343254162,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,53.0,51.0,1,72.37856632044635
54,85.32402923784039,215488.44891942482,157.12878043021112,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_female,54.0,81.0,1,10.802984445679508
55,87.1037990658573,220918.38824126712,158.88095879560967,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,55.0,81.0,1,71.79888790856174
59,81.61813616914635,169704.28668480442,121.5439398118698,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_male,59.0,51.0,1,13.70620751579288
60,81.04910371835915,191612.78758175997,139.5411901086535,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,60.0,81.0,1,111.33048627055226
61,91.92936352652008,230294.05251497967,162.75458669764743,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,61.0,81.0,1,119.58294758807503
63,91.68101656957256,206566.57390385325,152.88211426762746,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,63.0,81.0,1,22.219641463220903
65,77.36440090376307,183420.1876010437,133.41548073026004,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_46_55,sex_male,65.0,51.0,1,96.94200815000559
68,53.34664539740473,47367.960162468495,27.44800983985292,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_26_35,sex_male,68.0,31.0,1,38.42290399709679
71,90.00762526917578,199575.51897474047,143.80395446030823,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,71.0,81.0,1,22.691618054095024
72,106.95283062882022,269011.68657975807,192.24124735542333,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,72.0,81.0,1,31.093658718609305
73,83.87313645798044,172473.38941521465,124.64976706893387,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_male,73.0,51.0,1,16.70620751579288
74,98.58733365073549,227370.3753378456,163.68056668566055,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,74.0,81.0,1,97.14230496289062
75,90.86249197807852,223466.55511937526,162.54183201829187,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,75.0,81.0,1,20.157489604324553
76,85.3577039128702,212062.75324585906,135.9411870818006,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,76.0,81.0,1,51.480217945775934
77,77.24729050621062,152357.78712084712,96.54852312892737,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_26_35,sex_male,77.0,51.0,1,8.251838138952165
78,83.15688133546229,201881.69099551858,151.39745770943918,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_46_55,sex_male,78.0,51.0,1,33.77090740982377
79,84.78218013011133,175390.54091322323,128.01033689449906,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_5,age_46_55,sex_male,79.0,31.0,1,73.25175155249805
80,67.60458798119588,124263.21533070215,79.78001800629303,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_36_45,sex_male,80.0,51.0,1,8.022499719030817
81,86.74008250955009,207629.75690363874,153.01033838539203,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,81.0,81.0,1,8.95866883331568
82,90.7296678633913,218740.95546696638,156.17754647318816,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_male,82.0,81.0,1,12.642376630077628
83,82.12991540578321,170909.73647264528,125.30996703804264,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,83.0,51.0,1,40.59450664093303
84,84.58111796279755,164356.6557562649,105.57781698999484,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_male,84.0,51.0,1,44.53067575521777
86,90.66542325482895,220622.43615540935,159.14619967891952,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_female,86.0,81.0,1,13.48669224244145
87,86.22295954315503,180845.67830474235,130.88737300799534,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_female,87.0,81.0,1,8.550523128156705
90,88.84842844820564,217271.3474372816,157.09000427015002,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,90.0,81.0,1,76.79888790856174
91,78.9990535329827,185612.68909991032,134.0510158561561,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,91.0,81.0,1,90.54642659103891
92,86.99671143298393,188088.38043585466,139.76267934203312,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,92.0,81.0,1,85.39074220340274
93,77.0704005925295,147951.30846291143,108.52408339327559,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_male,93.0,31.0,1,149.35448119479716
96,93.17579011734428,252507.61275175816,179.99956155118815,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,96.0,81.0,1,31.311494965141833
97,85.69679076724229,206617.92236888545,147.6755818577453,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,97.0,81.0,1,13.95866883331568
98,84.4733933380935,218975.61273673663,158.95667574567176,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_66_75,sex_female,98.0,81.0,1,13.570434749419672
99,94.81036901091299,211194.54889184152,152.4845772087293,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_male,99.0,81.0,1,38.53067575521777
100,86.13716115865826,194428.9858673534,138.53141758471315,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,100.0,81.0,1,106.33048627055226
101,87.72990178383453,188301.35341821503,140.48689790643306,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,101.0,81.0,1,89.64677847379016
102,91.16278242661707,222616.8440417112,159.2918018263182,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,102.0,81.0,1,94.48259570532366
103,86.19308854077244,198229.156128216,143.83830886727154,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,103.0,81.0,1,22.691618054095024
105,88.06886650501049,205649.39714004393,147.13170040862053,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,105.0,81.0,1,20.53593366645884
108,78.02308406019162,181987.1380367839,131.0072060699992,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_5,age_46_55,sex_male,108.0,61.0,1,55.25175155249805
109,81.50389374803163,171384.84455562933,124.29637944941706,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_male,109.0,51.0,1,13.70620751579288
110,71.82332445275392,112295.27352146096,83.30907863350056,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_male,110.0,31.0,1,113.37482394720269
112,74.58937084681189,106285.88078347684,81.03706410489823,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_1,age_46_55,sex_female,112.0,31.0,1,29.038629741887405
113,71.08037526236195,137820.77923856347,105.49890230985672,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_6,age_36_45,sex_male,113.0,31.0,1,11.302179163726368
115,70.77796070295695,142819.54460034825,108.61428918825581,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_36_45,sex_female,115.0,31.0,1,40.533054003256815
116,88.85288041762718,207952.07041952547,149.0436126827541,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_8,age_46_55,sex_male,116.0,61.0,1,175.60291604321202
117,81.98087905346574,194172.51811059797,139.67924111933164,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_male,117.0,51.0,1,20.087199613061706
118,83.10684149877095,178067.96668029376,115.52140557739878,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_female,118.0,51.0,1,95.64320352092551
120,98.90327635881245,261487.22444085102,183.75038294120318,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_female,120.0,81.0,1,29.155810577505655
121,89.16172155212506,205711.88441359915,132.36897120614876,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,121.0,81.0,1,29.311494965141833
122,84.26593948775255,190559.30862173665,122.78480457015422,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Rural,Education_College,Size_3,age_46_55,sex_male,122.0,51.0,1,159.32194620137062
125,93.79229927111817,231952.8206529871,165.1901959768471,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_36_45,sex_male,125.0,81.0,1,56.44125145072235
126,79.08598268236129,189728.022289421,137.45146936060507,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_High_School,Size_6,age_46_55,sex_male,126.0,31.0,1,40.2607738842981
127,86.2294532390469,204497.55731377294,149.25805458453618,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,127.0,81.0,1,19.219641463220903
128,85.38168279107845,197153.44271886421,142.66204436082353,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,128.0,81.0,1,100.49109408615402
129,76.10630345091927,140852.72830053352,105.38174124743368,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_male,129.0,31.0,1,89.0862690414532
130,91.5447157906176,236714.75565153477,167.54531024889906,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,130.0,81.0,1,27.62778716837989
131,97.24681680305851,228067.38208840165,163.70130341979453,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,131.0,81.0,1,20.157489604324553
