,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
1,36.2359742948425,116816.49698151936,74.32953983508884,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_19_25,sex_female,1.0,51.0,1,12.796935738608855
5,84.83234481842173,203917.39682837648,148.2079315870279,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_female,5.0,51.0,1,22.099707520403555
7,86.4028443154316,197567.68803234515,141.89562888006222,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,81.0,1,16.601740077402514
8,66.66511475223714,115443.91204140973,87.85536559269737,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_male,8.0,1.0,1,46.70003592891389
10,100.75816246443979,251563.4712094132,181.29072031868344,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_6,age_36_45,sex_male,10.0,51.0,1,23.77271466902873
11,85.38929573743772,186634.33575277595,135.30051727734246,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,11.0,81.0,1,106.7988779611147
12,92.08173410506176,234190.9732090036,169.08690505031475,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_4,age_36_45,sex_male,12.0,51.0,1,53.333457543534664
13,67.14940311869744,124396.7361676039,91.98098574620542,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_36_45,sex_male,13.0,31.0,1,42.40649311510788
14,75.08673445117951,160002.7539756213,116.50718154343343,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_26_35,sex_male,14.0,21.0,1,94.96290707459305
15,77.93802312176172,206887.9304669597,144.72379542276337,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,Education_College,Size_2,age_26_35,sex_female,15.0,51.0,1,29.999999074652422
16,71.62254319113829,173028.96680399854,113.55782525546844,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_46_55,sex_male,16.0,21.0,1,184.59365386245216
17,67.46255143976421,108082.51260345588,84.96397439332266,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_2,age_56_65,sex_female,17.0,1.0,1,39.936564728386934
18,32.902467648981144,96021.85440069383,75.92368870454523,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_male,18.0,31.0,1,170.06205579041702
19,94.57326996626423,230071.95113134928,161.3211366362629,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_56_65,sex_female,19.0,81.0,1,39.8020503364457
21,74.57393798506959,142502.83571695426,103.52369807561823,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_56_65,sex_male,21.0,31.0,1,69.99034055664384
23,100.71049274954949,231591.3863644643,178.40538860253272,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_46_55,sex_male,23.0,81.0,1,62.41530233926572
24,97.23292757131978,241610.61458194745,180.783337857671,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_4,age_46_55,sex_female,24.0,51.0,1,23.132205799308075
25,54.66904320398652,203233.8370178197,149.16708194308606,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_female,25.0,51.0,1,21.96946706955145
27,90.89803804066996,217269.48868151734,162.5320454701206,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_26_35,sex_male,27.0,81.0,1,1.54708526674994
28,87.4638164947274,217755.86375338704,151.11777302105557,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,28.0,81.0,1,22.749140418783888
29,59.53934389302352,68835.82962528309,45.86383686092704,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,29.0,31.0,1,44.932099922351675
30,89.24441636049148,215851.72737858753,154.3130186324113,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_26_35,sex_male,30.0,51.0,1,72.40674011104868
31,80.36040358091734,164958.24666611067,120.4220514198475,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_26_35,sex_female,31.0,21.0,1,75.01729357404908
32,60.06049650979227,105646.72154671287,64.81395343713031,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_0_18,sex_male,32.0,21.0,1,2.934793929992021e-06
34,67.5780864649752,91158.52647499404,70.60725848103621,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_male,34.0,31.0,1,179.44793448495182
35,94.56368065436102,225924.4049703432,162.62733943623292,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_66_75,sex_male,35.0,81.0,1,55.27196487543334
36,69.9361551721904,105633.62812903797,81.06249620041733,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_56_65,sex_male,36.0,31.0,1,61.114242222368674
37,83.61430869456801,179343.5816711453,135.3038179390542,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,37.0,51.0,1,164.0631881405466
40,76.00149284108849,152859.2677738811,118.02282349978077,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_7,age_46_55,sex_male,40.0,31.0,1,37.885360212306935
41,85.57783544192615,218381.98665819038,143.7423756742024,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_46_55,sex_male,41.0,81.0,1,44.51878182692773
