,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
3,88.17542582183876,198397.61856475164,150.8799084654037,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,3.0,81.0,1,8.188532017994532
4,84.04459281230581,200026.47558086872,147.26344397198218,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,4.0,81.0,1,12.188532017994532
5,93.77789634264276,245652.22095751282,175.00453695534486,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_4,age_36_45,sex_female,5.0,51.0,1,21.867684339710408
7,86.27325356860445,196955.87758519038,141.44899004897238,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,81.0,1,75.17480188291611
8,67.86825599776061,121157.47025234894,92.95515508761444,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_female,8.0,1.0,1,163.7150730012846
10,98.89302787871105,206766.81622990555,138.29460119259835,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,10.0,81.0,1,43.456219406580786
11,92.90463420847132,223421.92402489856,158.0650501184644,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,11.0,81.0,1,71.48259570532366
12,87.01439970682466,191251.4454499089,140.48170764046958,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,12.0,81.0,1,84.64677847379016
13,91.50736561060492,240840.97410343704,168.42463739531402,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,13.0,81.0,1,23.62778716837989
15,80.459213960665,179029.06977168343,132.24963826626973,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_3,age_66_75,sex_female,15.0,31.0,1,27.27813747042658
16,91.07001801989333,234615.44564093614,166.80155940473688,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,16.0,81.0,1,96.26665538483695
17,93.15600509221059,214774.44990474675,169.04758066046767,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_female,17.0,81.0,1,71.97317860010631
18,78.23549921383506,167937.620478531,118.02561322665886,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,18.0,51.0,1,37.59450664093303
20,69.36039971771591,119209.96510151454,87.33221330963381,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,20.0,31.0,1,125.158883626716
22,69.37705907683818,102580.59722400825,75.022415016411,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_male,22.0,31.0,1,97.6911161504407
23,76.878784158653,132663.14876739949,83.88314186362341,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,23.0,51.0,1,63.37856632044635
24,95.55268680152805,247368.2157692663,176.36404740997955,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,24.0,81.0,1,18.124701132279288
25,91.44211970165763,209861.52137530732,152.7203297807016,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,25.0,81.0,1,25.219641463220903
27,83.19998939308877,221189.11561555296,169.42376403503144,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_female,27.0,81.0,1,52.97317860010631
28,89.13211479668949,189307.33899417135,128.03121806537598,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,28.0,81.0,1,92.26665538483695
29,69.1935013276631,123680.79250385537,92.30777984286068,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,29.0,31.0,1,140.158883626716
30,96.34625806976976,223863.7606467751,160.18803855938708,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_female,30.0,81.0,1,73.64320352092551
31,89.8179321760583,212351.64431537874,150.3497647316217,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,31.0,81.0,1,4.958668833315681
35,68.99547074559443,109063.07001975819,84.79411274045825,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_female,35.0,31.0,1,97.53543176280456
36,85.71525077249564,180420.01863592246,135.11845567272405,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,36.0,81.0,1,20.43882225329684
37,90.70551368266099,222452.20763645292,164.03184790841343,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_2,age_26_35,sex_female,37.0,51.0,1,34.77057292654829
41,102.05542012852409,248948.9250003793,178.98693824053836,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,41.0,81.0,1,18.662288251340655
43,102.4088416316478,248255.89767552802,178.556158985542,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,43.0,81.0,1,10.662288251340655
44,86.87094262085365,216622.81120184867,153.29714464980128,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_19_25,sex_male,44.0,81.0,1,0.03840250351761767
46,106.00373547667056,230847.5632761686,166.2744287865971,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_36_45,sex_female,46.0,81.0,1,49.945276320653136
47,89.95687640550001,218514.4689366389,160.62787160780633,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,47.0,81.0,1,36.70465664709295
48,91.80584878533949,211586.64600205762,155.67142020787625,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,48.0,81.0,1,26.54404883149118
50,81.4880230498671,172460.05810345273,122.75627841137073,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,50.0,51.0,1,27.594506640933027
51,81.93883587675299,200005.32793313733,129.72113550391353,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,51.0,81.0,1,12.124701132279288
52,75.33839295289285,128869.26946685169,94.11803288289578,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,52.0,31.0,1,28.203723207020857
53,85.47522008671285,178793.90259199726,128.28469343254162,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,53.0,51.0,1,56.37856632044635
54,85.32402923784039,215488.44891942482,157.12878043021112,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_female,54.0,81.0,1,6.802984445679508
55,87.1037990658573,220918.38824126712,158.88095879560967,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,55.0,81.0,1,62.79888790856174
59,81.61813616914635,169704.28668480442,121.5439398118698,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_male,59.0,51.0,1,10.70620751579288
60,81.04910371835915,191612.78758175997,139.5411901086535,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,60.0,81.0,1,95.33048627055226
61,91.92936352652008,230294.05251497967,162.75458669764743,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,61.0,81.0,1,88.58294758807503
63,91.68101656957256,206566.57390385325,152.88211426762746,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,63.0,81.0,1,21.219641463220903
65,77.36440090376307,183420.1876010437,133.41548073026004,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_46_55,sex_male,65.0,51.0,1,97.94200815000559
68,53.34664539740473,47367.960162468495,27.44800983985292,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_26_35,sex_male,68.0,31.0,1,32.42290399709679
71,90.00762526917578,199575.51897474047,143.80395446030823,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,71.0,81.0,1,13.691618054095024
72,106.95283062882022,269011.68657975807,192.24124735542333,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,72.0,81.0,1,18.093658718609305
73,83.87313645798044,172473.38941521465,124.64976706893387,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_male,73.0,51.0,1,9.70620751579288
74,98.58733365073549,227370.3753378456,163.68056668566055,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,74.0,81.0,1,76.14230496289062
75,90.86249197807852,223466.55511937526,162.54183201829187,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,75.0,81.0,1,16.157489604324553
76,85.3577039128702,212062.75324585906,135.9411870818006,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,76.0,81.0,1,32.480217945775934
77,77.24729050621062,152357.78712084712,96.54852312892737,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_26_35,sex_male,77.0,51.0,1,8.251838138952165
78,83.15688133546229,201881.69099551858,151.39745770943918,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_46_55,sex_male,78.0,51.0,1,29.77090740982377
79,84.78218013011133,175390.54091322323,128.01033689449906,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_5,age_46_55,sex_male,79.0,31.0,1,72.25175155249805
80,67.60458798119588,124263.21533070215,79.78001800629303,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_36_45,sex_male,80.0,51.0,1,7.022499719030817
81,86.74008250955009,207629.75690363874,153.01033838539203,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,81.0,81.0,1,8.95866883331568
