,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_Cooking,e_Refrigeration,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,172317.3664986876,85.77439238002782,125.67035605518436,59.63509749303621,4.945912248463206
1,2,sex_female,Size_1,age_19_25,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,116334.45766005537,65.1869955542232,73.95230772577698,59.63509749303621,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,192234.4187305865,84.21676468402899,133.48141095397273,59.63509749303621,0.0
3,7,sex_male,Size_3,age_56_65,Education_Post_Graduate,Cooking_no,Refrigeration_yes,Urbanity_Urban,228715.9256595962,94.63362873652355,182.69795872006225,59.63509749303621,49.05767388123122
4,8,sex_male,Size_3,age_56_65,Education_Post_Graduate,Cooking_no,Refrigeration_yes,Urbanity_Rural,230336.20852206543,86.67354825623872,178.13536987883492,59.63509749303621,52.04968366627801
5,9,sex_female,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Rural,203451.99940945406,84.73259031688781,147.84255213972233,59.63509749303621,40.22072355297837
6,11,sex_female,Size_6,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Rural,235060.1787036165,91.95812120032173,171.46601838082822,59.63509749303621,0.0
7,12,sex_female,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,197081.44176263924,86.29985000977013,141.54065542266142,59.63509749303621,171.90145070721445
8,13,sex_female,Size_3,age_36_45,Education_Elementary_School,Cooking_no,Refrigeration_yes,Urbanity_Rural,121296.39073903106,67.89750938685482,93.06185128262408,59.63509749303621,172.10665314355907
9,14,sex_male,Size_5,age_19_25,Education_Elementary_School,Cooking_no,Refrigeration_yes,Urbanity_Urban,119455.46694253031,75.63755520316775,91.35294873017337,59.63509749303621,0.0
10,15,sex_male,Size_5,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,Urbanity_Urban,206895.33059230805,98.92102096742043,138.39262341326773,59.63509749303621,48.075715412464554
11,17,sex_male,Size_2,age_46_55,Education_College,Cooking_no,Refrigeration_yes,Urbanity_Urban,223546.38341335638,92.93007216270601,158.16269650352572,59.63509749303621,126.62542334061175
12,19,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Rural,191378.4765859236,83.16674466621767,140.5824946331746,59.63509749303621,170.5400362677943
13,20,sex_male,Size_4,age_36_45,Education_College,Cooking_no,Refrigeration_yes,Urbanity_Urban,240973.4476134472,91.5351604669473,168.52174033571737,59.63509749303621,41.43812480089583
14,21,sex_male,Size_1,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Rural,159494.6555828044,74.97667196462774,116.11756865914046,59.63509749303621,0.0
15,23,sex_female,Size_1,age_26_35,Education_College,Cooking_yes,Refrigeration_no,Urbanity_Urban,206356.49150882504,81.53423967083926,144.34394665117628,59.63509749303621,42.999999048575575
16,28,sex_male,Size_1,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,137138.24466772893,75.77244568847156,90.76048067452544,59.63509749303621,0.0
17,30,sex_female,Size_4,age_26_35,Education_High_School,Cooking_no,Refrigeration_yes,Urbanity_Urban,115068.48342171295,66.44589380388697,76.60077575628146,59.63509749303621,0.0
18,31,sex_male,Size_4,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,148370.44665560033,74.31755873382677,98.56953805533315,59.63509749303621,0.0
19,32,sex_male,Size_4,age_19_25,Education_College,Cooking_no,Refrigeration_yes,Urbanity_Urban,225880.64935698133,90.08989460641395,157.4170049160306,59.63509749303621,0.0
20,34,sex_female,Size_2,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,185276.3882572818,84.81326808102713,132.99779852378074,59.63509749303621,115.7629131953328
21,35,sex_male,Size_2,age_0_18,Education_Elementary_School,Cooking_no,Refrigeration_yes,Urbanity_Rural,85029.51846268392,63.460554584845994,63.58255316426634,59.63509749303621,0.0
22,36,sex_male,Size_2,age_36_45,Education_Post_Graduate,Cooking_no,Refrigeration_yes,Urbanity_Urban,163966.10164433176,77.41905880078913,116.6671058311272,59.63509749303621,127.6560579380021
23,42,sex_female,Size_2,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,Urbanity_Urban,136906.92070059187,72.34093590168722,93.17838114583697,59.63509749303621,52.90182870345616
24,43,sex_male,Size_2,age_46_55,Education_High_School,Cooking_no,Refrigeration_yes,Urbanity_Urban,144408.03479391037,67.33798272151513,109.35924604169625,59.63509749303621,129.63691606750217
25,46,sex_female,Size_8,age_46_55,Education_College,Cooking_no,Refrigeration_yes,Urbanity_Rural,297582.9961738242,104.35272804887056,214.85283323641602,59.63509749303621,354.17270924950395
