,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,130535.32249068285,46.67554549811972,85.35301917496625,52.96629213483146,26.65850286378909
1,2,sex_female,Size_1,age_26_35,Education_Post_Secondary,AC_no,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,Urbanity_Urban,118176.8236356419,40.22990386704739,75.3940979950526,52.96629213483146,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,194101.2147335759,81.24557943681637,134.84524453707706,52.96629213483146,21.794775680627346
3,7,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,230558.22683389272,91.21344578270967,184.20609788946896,52.96629213483146,55.77656525820616
4,8,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,186239.69372285318,68.22800628113889,136.2040529617389,52.96629213483146,54.09966619535748
5,9,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,205230.75962574253,85.11385444093018,149.23904124216392,52.96629213483146,70.16727494497165
6,11,sex_female,Size_6,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,236871.78637903117,92.34653089728289,172.9119153506716,52.96629213483146,4.699624558456795
7,12,sex_female,Size_3,age_46_55,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,124169.8452807719,67.14498348022576,92.97291892787736,52.96629213483146,104.83588620166493
8,13,sex_male,Size_3,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,Urbanity_Rural,116962.07627670652,67.1452941287684,89.02137407606337,52.96629213483146,78.1153116636267
9,14,sex_male,Size_5,age_19_25,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,121473.5318978533,76.06904866288119,92.95816188962364,52.96629213483146,0.0
