,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,76.89358648790748,129662.86226641176,84.65851761273908,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,28.431279476649948
2,51.4954882598178,193218.41695938574,134.20029498170254,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_26_35,sex_male,2.0,51.0,1,21.61906517980065
3,60.991343651839934,229687.01253125642,183.49290699971792,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,51.0,1,44.87717815888055
4,86.86891932902653,231240.40344683465,178.86705318204727,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,44.121541048120136
5,84.93355669045506,204389.59350253703,148.57864906967595,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,28.90823762737688
7,37.19327468782915,123290.99725227375,92.33133512584331,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_46_55,sex_female,7.0,1.0,1,66.93561590273355
8,36.5448502968088,115989.74149328673,88.27458357623695,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_male,8.0,1.0,1,108.45899932651726
10,100.86815570181022,252068.4072316068,181.67585565765262,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_College,Size_5,age_36_45,sex_male,10.0,51.0,1,57.26717986036654
11,56.47426711166768,187122.87317684307,135.6839233324972,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,11.0,81.0,1,83.28271736696915
12,92.18569696637806,234690.29261804465,169.4832615423517,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_College,Size_3,age_36_45,sex_male,12.0,51.0,1,104.49643383382214
13,67.25846433517415,124918.12632933227,92.36331980317273,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,13.0,31.0,1,66.26434180410106
14,75.19785980244427,160517.05263803096,116.90164938888121,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_1,age_26_35,sex_male,14.0,21.0,1,11.709561888011775
16,71.48915173950834,173066.9124157273,113.72316685262587,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_College,Size_1,age_46_55,sex_male,16.0,21.0,1,32.589459148509995
18,33.57099883855265,98176.14048578255,77.58745503355246,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_1,age_46_55,sex_male,18.0,31.0,1,43.23885292478978
19,67.09449447448029,96121.91703993012,73.49666817675282,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_1,age_46_55,sex_male,19.0,31.0,1,40.48321581402934
20,79.2897425029554,187641.10959059923,135.95343481448268,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_female,20.0,51.0,1,87.46751178166737
21,64.25658082048909,220389.17572044532,159.6771262243932,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_19_25,sex_female,21.0,81.0,1,5.857016869134298
22,49.5230504591288,148903.1149301132,113.54429092061145,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_6,age_36_45,sex_female,22.0,31.0,1,16.877554861473882
23,35.05517231076803,87557.54663136069,60.34748215637893,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_female,23.0,31.0,1,28.496595491077784
24,56.98798621074343,186868.82448459906,132.3347531102001,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_46_55,sex_male,24.0,81.0,1,63.21012731513338
25,54.1719552620396,217132.52779097206,154.15780736829873,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_19_25,sex_male,25.0,81.0,1,15.882646650586892
26,51.2000687425687,186918.96946350604,143.1159996704364,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_9,age_56_65,sex_male,26.0,61.0,1,24.355041774477787
27,84.49949462154882,190754.0742520944,125.4576851625559,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_9,age_19_25,sex_male,27.0,81.0,1,5.039723017977728
28,56.8795333592305,194658.73888731282,142.34134955075774,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_7,age_36_45,sex_female,28.0,61.0,1,75.306862703297
29,55.91212123011738,178563.40670420337,130.3726725389757,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_5,age_46_55,sex_male,29.0,31.0,1,53.6507424723621
31,56.6600065163062,186136.68305254547,125.27059386112944,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_8,age_26_35,sex_male,31.0,81.0,1,68.10296533230701
32,94.8789756084603,221800.27555464322,164.83115806101222,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,32.0,81.0,1,29.61762927801152
