,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
5,97.7849823285004,245819.57817838446,175.13592764905397,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,5.0,81.0,1,7.909726402242896
7,77.11133591218871,153701.5445856982,100.42633024242909,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,51.0,1,127.63214789282222
8,83.6538083050492,196120.96514405523,144.7060879804946,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_female,8.0,51.0,1,126.5341160327954
10,95.0463133207017,208795.8532959937,153.000400156511,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,10.0,81.0,1,4.249150605225266
11,84.29442425229037,181274.92798168934,130.8409875292366,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,11.0,81.0,1,27.56374124906307
12,95.8640507231724,233748.7064274119,168.73580873761847,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,12.0,81.0,1,80.35391060934097
13,82.69341010669552,198704.8806421211,141.3834809151161,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,13.0,81.0,1,-0.4933917918922661
15,81.53263265348528,206474.98030795134,144.416603101267,Cooking_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_College,Size_1,age_26_35,sex_female,15.0,81.0,1,9.960435723128292
16,100.24104036889747,227491.30405711144,162.89639053889323,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,16.0,81.0,1,38.82344201528501
17,82.87052985392333,172743.70428473593,123.4837768129516,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,17.0,51.0,1,42.29803671094358
18,88.60230878564535,185427.22216497612,139.98906096734248,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,18.0,81.0,1,30.60667994361988
19,83.89092034316367,193344.90829434863,135.3842256552217,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,19.0,81.0,1,80.32350466014589
21,86.2093022038344,181485.19108722173,129.43401369045066,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,21.0,81.0,1,21.255098016386768
23,91.99919938837448,223681.7241586768,173.91584203711903,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_male,23.0,81.0,1,86.31921695325701
25,104.05828436576155,257933.2063108421,180.42367781739625,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,25.0,81.0,1,17.817494604123503
28,96.0289412857457,220399.01735395566,153.62767615538255,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,28.0,81.0,1,29.471860088051912
30,93.87449989364046,213368.41486484586,165.3106519276874,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_male,30.0,81.0,1,44.48010512652479
31,77.90481230374692,136066.74235991205,97.91262597330449,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_1,age_46_55,sex_male,31.0,31.0,1,36.91501470855515
33,82.15888929252655,150797.21016168073,95.8732377559566,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,33.0,51.0,1,3.549546902664538
34,87.26151358386329,197856.98330230932,148.58014810903998,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,34.0,81.0,1,98.3664433547026
37,89.92644243304944,198319.98692793038,143.14595495191875,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,37.0,81.0,1,0.5066082081077339
38,92.65535115473062,224367.64400864556,160.8668021693129,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_36_45,sex_male,38.0,51.0,1,41.68247146070141
40,80.53127450804901,172645.29925415732,126.24203596313576,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,40.0,21.0,1,47.46570938903628
41,87.48239932736065,217603.4468050859,161.9157307976973,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,41.0,81.0,1,13.557793837901567
43,77.41234815545151,132135.52606676493,84.84356555781498,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,43.0,51.0,1,75.90927073348533
45,90.98423513636207,196337.10373366048,142.2750385106534,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,45.0,81.0,1,5.549546902664538
46,94.45920981659121,210857.91324472503,153.53670536567327,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,46.0,81.0,1,12.478445422252094
