,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,76.84034007401601,129407.11977927836,84.45493978546295,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,19.55857450170471
2,51.44237858410133,192959.6442495391,134.01124223583798,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_26_35,sex_male,2.0,51.0,1,17.347643882323588
3,60.93694489530746,229431.6352640889,183.28385081052463,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,51.0,1,55.823816926328675
4,86.8175404736822,231002.61747784397,178.67463446761207,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,54.782143950040044
5,84.88070637856063,204143.0241880012,148.38506965401382,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,38.70154714289049
7,52.97612600876619,197803.42227555747,142.0677215290838,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,51.0,1,100.5808354262264
8,66.72003543157058,115704.72303300568,88.05567859293663,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_male,8.0,1.0,1,126.08110536983312
10,100.81072283018793,251804.73883890212,181.4747469243288,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_5,age_36_45,sex_male,10.0,51.0,1,54.38444544945944
11,85.43691755777549,186867.53445567554,135.48358381808978,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,11.0,81.0,1,81.44752131336305
12,92.13109359782987,234429.65216624015,169.2764740501938,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_3,age_36_45,sex_male,12.0,51.0,1,106.79843644866342
