,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
1,36.2359742948425,116816.49698151936,74.32953983508884,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_19_25,sex_female,1.0,51.0,1,15.796935738608855
5,84.83234481842173,203917.39682837648,148.2079315870279,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_female,5.0,51.0,1,20.099707520403555
7,86.4028443154316,197567.68803234515,141.89562888006222,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,81.0,1,19.601740077402514
8,66.66511475223714,115443.91204140973,87.85536559269737,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_male,8.0,1.0,1,46.70003592891389
10,100.75816246443979,251563.4712094132,181.29072031868344,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_6,age_36_45,sex_male,10.0,51.0,1,26.77271466902873
11,85.38929573743772,186634.33575277595,135.30051727734246,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,11.0,81.0,1,96.7988779611147
12,92.08173410506176,234190.9732090036,169.08690505031475,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_4,age_36_45,sex_male,12.0,51.0,1,50.333457543534664
13,67.14940311869744,124396.7361676039,91.98098574620542,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_36_45,sex_male,13.0,31.0,1,40.40649311510788
14,75.08673445117951,160002.7539756213,116.50718154343343,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_26_35,sex_male,14.0,21.0,1,94.96290707459305
15,77.93802312176172,206887.9304669597,144.72379542276337,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,Education_College,Size_2,age_26_35,sex_female,15.0,51.0,1,28.999999074652422
