,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
7,86.28169718892649,196995.73982924255,141.47809057680755,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,81.0,1,34.193099196232026
8,67.87754264366369,121201.57136948535,92.98902620197781,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_female,8.0,1.0,1,21.190661419360946
11,92.91281527168196,223461.77938130157,158.09623366247905,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,11.0,81.0,1,77.87157855182758
12,87.02340669807128,191291.6234023317,140.5134433671066,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,12.0,81.0,1,14.544214830295388
14,74.95912476752886,159409.25537005236,116.05174160293687,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_26_35,sex_male,14.0,21.0,1,103.46709522181786
16,84.18438749865923,200113.6905466379,146.34875229849396,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_76_85,sex_male,16.0,81.0,1,14.247197773114408
17,68.18940689774027,142566.14543871806,104.80808541453275,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_3,age_46_55,sex_male,17.0,31.0,1,156.6500630755777
18,86.93101271565321,226588.94357611003,161.0709426892799,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,18.0,81.0,1,85.87157855182758
19,73.80371874328982,113134.34845551512,87.46328612489998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_66_75,sex_male,19.0,31.0,1,39.08044966543875
21,86.29004467021632,191438.31026691553,140.61346889149672,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,21.0,81.0,1,108.10591234085129
