,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,85.7743923800278,172317.3664986876,125.67035605518437,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,2.9459122484632063
3,94.63362873652358,228715.92565959622,182.69795872006225,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,81.0,1,25.057673881231224
4,86.67354825623873,230336.20852206546,178.13536987883492,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,38.04968366627801
5,84.73259031688781,203451.99940945406,147.8425521397223,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,27.22072355297837
7,86.29985000977013,197081.44176263927,141.5406554226614,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,81.0,1,100.90145070721442
8,67.89750938685482,121296.39073903105,93.06185128262408,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_female,8.0,1.0,1,171.1066531435591
10,98.92102096742045,206895.33059230805,138.39262341326773,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,10.0,81.0,1,30.07571541246456
11,92.930072162706,223546.3834133564,158.16269650352572,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,11.0,81.0,1,78.62542334061176
12,83.16674466621767,191378.4765859236,140.5824946331746,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_male,12.0,51.0,1,125.5400362677943
13,91.53516046694729,240973.44761344718,168.52174033571737,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,13.0,81.0,1,25.438124800895828
15,81.53423967083926,206356.49150882504,144.34394665117628,Cooking_yes,Refrigeration_no,Urbanity_Urban,Education_College,Size_1,age_26_35,sex_female,15.0,81.0,1,27.99999904857558
20,84.81326808102713,185276.3882572818,132.99779852378072,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,20.0,81.0,1,70.7629131953328
22,77.41905880078913,163966.10164433176,116.6671058311272,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_male,22.0,51.0,1,95.65605793800209
23,72.34093590168722,136906.92070059187,93.17838114583695,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,23.0,51.0,1,35.901828703456154
24,67.33798272151513,144408.03479391034,109.35924604169624,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_2,age_46_55,sex_male,24.0,31.0,1,110.63691606750214
25,104.35272804887056,297582.99617382424,214.85283323641602,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_8,age_46_55,sex_female,25.0,51.0,1,270.17270924950395
26,109.59026088712179,280252.9310078487,199.59878434854343,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_8,age_36_45,sex_male,26.0,81.0,1,208.82727523999029
28,91.25776155450652,201211.98386315868,147.3722847082577,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,28.0,81.0,1,25.228713767931573
29,74.74459205547348,178133.357293835,128.73265403917796,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,29.0,21.0,1,109.05459786822736
30,100.78328578459595,237472.74070804426,170.61236696192938,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,30.0,81.0,1,113.11086174017868
31,91.05419849774923,214124.3511960864,153.73356316464088,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_male,31.0,81.0,1,28.111239736420423
32,81.8670071727597,180279.08662217954,132.37181848047678,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,32.0,81.0,1,58.686941990870835
33,74.24565517653414,153095.44737263513,113.65571822202034,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_male,33.0,31.0,1,144.4692553547544
35,71.03879089467047,141981.2207753575,104.54453241091741,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_2,age_36_45,sex_male,35.0,31.0,1,97.98381695518749
36,85.07916980265162,228534.513216342,174.8431794347409,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_4,age_36_45,sex_male,36.0,51.0,1,43.11386829564768
37,78.90146386193327,177381.56682261234,126.74595596630085,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,37.0,51.0,1,87.06258808318054
38,79.40522299110394,142370.69759752258,107.71535067905216,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_male,38.0,31.0,1,50.20041159962207
39,95.83906605746752,224245.63190893983,163.62521045195578,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,39.0,81.0,1,67.59667813598736
40,79.94792882030504,180754.82940626546,134.02171180319755,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_3,age_76_85,sex_male,40.0,61.0,1,15.32818953431416
41,78.48994172123717,164104.94622586842,109.4157589976162,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,41.0,51.0,1,14.56407207560769
42,60.20936181386675,74210.10123814261,50.338742772635776,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_female,42.0,31.0,1,103.28230407126006
43,90.82495896485425,229703.77524436626,160.7072572923566,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_3,age_36_45,sex_male,43.0,51.0,1,137.44977241291082
44,84.67060610290827,183293.402414252,119.9453922477798,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,44.0,81.0,1,106.45776262786399
45,83.97892296761981,197073.22924653997,131.90705104421673,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,45.0,81.0,1,24.373940171526172
46,80.29931861982277,195246.5367463964,140.0316484932243,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_female,46.0,51.0,1,122.24036137994653
47,84.98818300579828,199800.82832971966,142.35623196091709,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,47.0,81.0,1,28.52838865577933
