,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,129947.59908471286,76.95286961541319,84.88517569941466,54.674157303370784,0.0
1,2,sex_female,Size_2,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,Urbanity_Urban,117589.91888927885,69.15887109345424,74.93480078510024,54.674157303370784,44.569847666071
2,6,sex_male,Size_5,age_26_35,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,193506.52754790074,51.55461914685771,134.41078123467784,54.674157303370784,16.024761968342265
3,7,sex_male,Size_4,age_56_65,Education_Post_Graduate,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,229971.34272748773,61.05190976771144,183.72566454932135,54.674157303370784,0.0
4,8,sex_male,Size_4,age_56_65,Education_Post_Graduate,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,185693.2363024332,47.38766962998804,135.76185431840176,54.674157303370784,0.0
5,9,sex_female,Size_5,age_36_45,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,204664.1171541645,55.6420859938958,148.79417519012318,54.674157303370784,54.0998204690356
6,11,sex_female,Size_7,age_56_65,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,236294.6814324977,62.60160691450072,172.45131121611755,54.674157303370784,0.0
7,12,sex_female,Size_4,age_46_55,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,123577.81906012028,37.254027890577895,92.54072311499021,54.674157303370784,21.022815590781452
8,13,sex_male,Size_4,age_36_45,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,116307.07343306439,36.61167296692494,88.51830664991897,54.674157303370784,40.907959875759225
9,14,sex_male,Size_6,age_19_25,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,120830.65513477386,45.22985804911948,92.4468035716147,54.674157303370784,0.0
10,15,sex_male,Size_6,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,252361.96579871365,104.53657068611822,181.8997641708068,54.674157303370784,23.62026787940559
11,17,sex_female,Size_3,age_46_55,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,187406.9706532588,85.54714253966434,135.90686812291875,54.674157303370784,123.29599545425012
12,19,sex_male,Size_4,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,117890.11420964703,67.86443643133693,90.20209618716405,54.674157303370784,34.21719039861627
13,20,sex_male,Size_5,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,125221.12284494126,67.32188711236996,92.5854825438821,54.674157303370784,57.4721800270138
14,21,sex_male,Size_2,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,160817.060020854,75.26291415831633,117.13167266613927,54.674157303370784,109.78570250425251
15,23,sex_female,Size_2,age_26_35,Education_High_School,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,83545.40241240064,51.79098422849775,50.66739809678649,54.674157303370784,146.31291782612274
16,28,sex_male,Size_2,age_26_35,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,41586.34935811532,54.26934140330362,23.675985745375943,54.674157303370784,111.21812264760133
17,29,sex_female,Size_2,age_56_65,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,228040.73948343666,93.61058748381824,160.86809987846172,54.674157303370784,78.51477626236178
18,31,sex_female,Size_2,age_46_55,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,60022.05763379333,26.2258703258809,37.95289771362793,54.674157303370784,144.72951523223213
19,32,sex_male,Size_3,age_46_55,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,67006.12045775208,34.597064682712,42.39107992961966,54.674157303370784,126.81731834261835
20,33,sex_female,Size_3,age_46_55,Education_College,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,231963.2346701809,66.97319110525642,163.7654813472989,54.674157303370784,111.25231307927042
21,34,sex_female,Size_2,age_46_55,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,180767.81536134434,54.99433184066783,132.23629472181153,54.674157303370784,143.29709508888334
22,37,sex_male,Size_3,age_19_25,Education_College,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,208309.23126283626,57.295986146462354,147.79825746507638,54.674157303370784,12.944600972438208
23,38,sex_male,Size_4,age_26_35,Education_High_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,146442.9361389745,40.46090227379359,106.66516061073979,54.674157303370784,27.93888522614091
24,39,sex_male,Size_3,age_26_35,Education_Post_Graduate,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,158272.06549802455,49.37883742168106,117.63294629835724,54.674157303370784,96.16250967030577
25,41,sex_female,Size_2,age_46_55,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,179547.87798139715,80.00836264321273,132.61363545945113,54.674157303370784,149.8389012356362
26,42,sex_male,Size_2,age_66_75,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,111230.10978299471,66.29943553227369,87.89837117623411,54.674157303370784,70.25565133053438
27,43,sex_male,Size_2,age_46_55,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,173214.26576581763,77.45873838213522,125.9699868568227,54.674157303370784,145.23703450351266
28,45,sex_female,Size_5,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,Urbanity_Urban,174357.20530754072,82.98781084193352,116.41532398359045,54.674157303370784,0.0
29,47,sex_male,Size_2,age_26_35,Education_Post_Graduate,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,193290.0952884612,80.4953636057474,148.6508323901367,54.674157303370784,102.7820703506531
30,48,sex_male,Size_5,age_46_55,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,244601.67129263259,96.11948703079882,174.78536553706527,54.674157303370784,39.283448262232675
31,50,sex_male,Size_4,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,113109.54611221747,68.49714594450057,85.87960839661778,54.674157303370784,47.44976602251212
32,51,sex_female,Size_7,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,154032.2249015885,79.84296407301684,115.52084283880811,54.674157303370784,43.42327118855393
