,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,46.67554549811972,130535.32249068285,85.35301917496625,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,26.658502863789092
2,81.24557943681637,194101.2147335759,134.84524453707706,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_26_35,sex_male,2.0,51.0,1,21.794775680627346
3,91.2134457827097,230558.2268338927,184.20609788946896,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,51.0,1,55.776565258206155
4,68.22800628113889,186239.6937228532,136.2040529617389,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,54.09966619535748
5,85.11385444093018,205230.75962574253,149.2390412421639,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,70.16727494497165
6,92.34653089728286,236871.7863790312,172.91191535067156,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_6,age_56_65,sex_female,6.0,51.0,1,4.6996245584567955
7,67.14498348022575,124169.8452807719,92.97291892787734,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_46_55,sex_female,7.0,1.0,1,104.83588620166492
8,67.1452941287684,116962.07627670652,89.02137407606337,AC_yes,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_male,8.0,1.0,1,78.1153116636267
10,49.87628522650571,135877.45168097262,103.3058200002216,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_36_45,sex_male,10.0,31.0,1,71.1277353092352
11,77.55740859110085,187993.08244830626,136.36688132299471,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,11.0,81.0,1,84.4027880879162
12,29.014655943117184,118489.3575649526,90.6778026805655,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_male,12.0,1.0,1,106.94687612037396
13,29.4299843607825,125847.03933502876,93.04451108585138,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,13.0,31.0,1,66.51435478324886
14,46.23169436589426,161432.3160693683,117.60373199708359,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_1,age_26_35,sex_male,14.0,21.0,1,1.4976611970885068
