,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
5,97.76691876826106,245735.30394213405,175.06976468191402,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_female,5.0,81.0,1,13.201214104137112
7,81.67862038502288,153613.49480004376,100.36205141014109,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,51.0,1,32.881730903875464
8,87.69945838416344,196023.5495011629,144.6312691020008,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,8.0,51.0,1,44.938183568143316
11,84.27658754253483,181187.6513980746,130.77250946606648,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,11.0,81.0,1,162.03771502152915
13,91.52660808563792,240932.39041771015,168.49161654033603,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,13.0,81.0,1,3.8364234787296425
15,81.5212767918789,206342.59061634488,144.3287018517246,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_no,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_female,15.0,81.0,1,18.998872298457833
16,82.48585563636519,212825.1358102321,153.2934359526313,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,16.0,81.0,1,77.7451502944381
19,99.84142086708613,217784.7534272475,157.41388948945723,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,19.0,81.0,1,82.1099409198456
20,79.98696656873713,179510.30359729362,131.49384184080193,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,20.0,51.0,1,179.03771502152915
21,84.33136901398805,201749.03883124123,149.74918428131392,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,21.0,81.0,1,12.630639803903012
23,79.45126773704895,195116.519706587,143.01912327384858,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_female,23.0,81.0,1,1.1801301000807802
24,86.55279025849012,226995.06150125954,162.74249327933825,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,24.0,81.0,1,173.33148175186585
25,97.26134430639469,246012.01641751156,177.73158789714992,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,25.0,81.0,1,20.97443205981986
28,85.90000729713941,232172.4240995348,168.45398860289708,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,28.0,81.0,1,13.03748905312171
29,95.48094184120028,236999.30334322137,172.712818558174,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,29.0,81.0,1,16.03748905312171
33,104.07121657666872,247430.7673342356,174.49049248166588,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_female,33.0,81.0,1,20.088131585255006
36,82.94347921862544,197439.10720051415,142.05279661149112,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_male,36.0,51.0,1,11.486026893778924
38,87.16562223168292,246781.4104688083,190.87569505095132,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_6,age_46_55,sex_male,38.0,51.0,1,27.519196780447785
39,87.984587741426,234619.6341737305,171.29977441003064,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,39.0,81.0,1,19.03748905312171
41,96.13383241747931,224944.58385956066,155.84487564569133,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,41.0,81.0,1,157.8093548961554
44,98.6205884981282,267193.3525618669,194.9568944804969,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_8,age_36_45,sex_male,44.0,81.0,1,41.0315531145222
45,95.09730145010641,198313.5278360432,145.56161624252186,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,45.0,81.0,1,8.793747848365516
54,78.73173790452772,172836.62861163134,124.60478068526449,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,54.0,51.0,1,48.597952896291815
58,84.05520398709763,188448.2910486429,137.363788353282,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,58.0,81.0,1,6.6300227973501045
59,82.84950250371826,171341.87994652442,124.16518664833922,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,59.0,51.0,1,49.597952896291815
60,80.80200166690743,190249.49740161802,135.94953848779588,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,60.0,81.0,1,3.265849178495543
61,86.85458729500185,202527.27718639773,149.29488805715633,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,61.0,81.0,1,28.881730903875464
63,64.23880412186155,103947.71985092576,80.13148193226998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_male,63.0,31.0,1,102.73895056156141
66,75.68224871178319,157181.3812643568,106.87427794854747,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,66.0,51.0,1,2.429574229510946
67,98.64111086352655,242013.1431342091,168.35373735286444,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,67.0,81.0,1,3.8364234787296425
68,82.30322343587474,204163.25870534175,158.4979379989499,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_male,68.0,81.0,1,71.33161048254723
69,87.94124728698063,225195.4038092882,161.7597659197871,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,69.0,81.0,1,158.33148175186585
