,Electricity,Income,Water,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
3,99.18398816381954,229137.1065878566,183.0427446137356,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,81.0,1,3.0980716364053187
5,92.77355462213616,203858.6538133213,148.16181295936988,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,81.0,1,1.7776010251603864
7,99.93987614602024,239826.71515354488,169.1307586350892,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,7.0,81.0,1,104.58054679173136
8,100.41335515238127,238856.8996964981,173.25487191568362,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,8.0,81.0,1,89.57461173299657
11,97.43755209346459,223967.21292930105,158.49293986841045,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,11.0,81.0,1,5.654999346204065
12,91.58976758301536,191808.44518463121,140.92375853615718,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,12.0,81.0,1,89.4396243897612
21,89.93716092986412,213843.8447443675,159.22381013951897,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,21.0,81.0,1,9.225933188180562
22,91.4027179161027,201127.00113585626,148.3371930827846,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,22.0,81.0,1,1.7776010251603864
26,99.58582587216698,219792.59936581863,155.08118678672938,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,26.0,81.0,1,21.11698263617609
28,89.92332786710237,206563.98038970766,156.7085032184311,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,28.0,81.0,1,2.7776010251603864
29,91.78388351064785,203718.0327083762,160.29798340509873,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_male,29.0,81.0,1,23.599197042569443
30,94.9480539064653,217542.72490205488,153.63736911116845,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,30.0,81.0,1,2.6490642874692067
34,88.57640241409806,181329.33677030297,131.84442551676435,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,34.0,81.0,1,20.390133308575074
36,99.49929084107669,269266.1574827907,190.38770992236684,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_76_85,sex_female,36.0,81.0,1,2.948702917494825
37,97.20675143540072,231617.40679765336,164.7271230717071,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,37.0,81.0,1,18.52512065181051
38,95.58611945584668,227227.54566339398,163.38662956533477,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,38.0,81.0,1,6.654999346204065
39,80.65220480066668,173416.13461934612,126.70245776669762,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,39.0,51.0,1,0.9222149598682368
40,92.3237612122971,209167.8828597229,155.0041171825512,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_male,40.0,81.0,1,18.599197042569443
41,93.225290723138,219619.14170142892,166.81167920727918,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_female,41.0,81.0,1,29.013270116938713
42,101.19724766858243,236107.90499227395,172.73969651300104,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,42.0,81.0,1,74.57461173299657
46,80.52281662320641,197002.83284477555,137.18949849315516,Cooking_yes,Lighting_yes,Refrigeration_no,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,46.0,81.0,1,8.369598637569332
47,82.19253209653742,142761.8936944082,104.24562542642715,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_2,age_36_45,sex_male,47.0,31.0,1,96.23963754572452
