,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,130861.36452208206,37.70912878946772,85.61255731075644,49.29349269588313,22.895484479579256
1,2,sex_female,Size_1,age_26_35,Education_Post_Secondary,AC_no,Cooking_no,Lighting_no,Refrigeration_no,TV_yes,Urbanity_Urban,118502.41151220069,31.546029306144987,75.64889505407184,49.29349269588313,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,194431.1199480237,81.31328811805733,135.08626487777968,49.29349269588313,33.002683560889864
3,7,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,230883.80325275863,91.2827978934833,184.47262030207696,49.29349269588313,42.16679758207851
4,8,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Rural,186542.84327484478,38.65371946001476,136.44936452139518,49.29349269588313,28.425596258324873
5,9,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,205545.10692483993,55.83091964845651,149.4858325614814,49.29349269588313,66.96076773533615
6,11,sex_female,Size_6,age_56_65,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,162421.90054044162,76.3844338012995,122.8757949978879,49.29349269588313,0.3473292405786227
7,12,sex_female,Size_3,age_46_55,Education_High_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,162157.26763361137,75.19129054016877,118.04744262007505,49.29349269588313,68.02613212980442
8,13,sex_male,Size_3,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,Urbanity_Rural,117325.44178640765,67.22181030632868,89.30045257713876,49.29349269588313,87.92916351283087
9,14,sex_male,Size_5,age_19_25,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,121830.16738623678,76.14530328575786,93.24183753140582,49.29349269588313,11.259109226276607
10,15,sex_male,Size_5,age_36_45,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,136213.59786778424,49.94950662313719,103.56221098363594,49.29349269588313,72.56555031305197
