,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,129407.11977927835,76.84034007401601,84.45493978546295,57.570200573065904,25.558574501704708
1,2,sex_female,Size_1,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,117050.19243560809,65.33752027058075,74.51242414588489,57.570200573065904,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,192959.6442495391,51.44237858410133,134.011242235838,57.570200573065904,17.347643882323585
3,7,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,229431.63526408892,60.93694489530746,183.28385081052465,57.570200573065904,68.82381692632867
4,8,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,231002.61747784397,86.8175404736822,178.6746344676121,57.570200573065904,63.782143950040044
5,9,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,204143.02418800117,84.88070637856062,148.38506965401382,57.570200573065904,43.701547142890504
6,11,sex_female,Size_6,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,235763.96276601238,92.10901280735462,172.02772880468748,57.570200573065904,0.0
7,12,sex_female,Size_3,age_46_55,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,197803.42227555747,52.97612600876619,142.0677215290838,57.570200573065904,120.58083542622641
8,13,sex_male,Size_3,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,115704.72303300568,66.72003543157058,88.05567859293663,57.570200573065904,126.08110536983312
9,14,sex_male,Size_5,age_19_25,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Urbanity_Urban,120239.45981676453,45.10345090266232,91.97655390332588,57.570200573065904,0.0
