,Electricity,Income,Water,e_AC,e_Cooking,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
7,86.36031042837267,197366.8812591731,141.7490342826064,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,81.0,1,0.5789979396602902
11,88.763681015063,181508.72499284614,131.02448171227107,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,11.0,81.0,1,76.11102977881416
13,86.55708224530355,198954.54258320906,141.5665735689696,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,13.0,81.0,1,1.3654104339891653
15,77.57787745913906,206688.91530771964,144.57773607601362,AC_yes,Cooking_no,Refrigeration_no,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_female,15.0,81.0,1,14.768283675511725
16,88.41069971678722,216413.32317158688,155.2171517390388,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,16.0,81.0,1,32.145487640183745
18,91.33679925039695,213490.75028225864,157.56035403399244,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,18.0,81.0,1,42.145487640183745
19,85.78831694085,167518.63098067592,119.13078573769779,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,19.0,51.0,1,61.11476890628572
21,95.17029013896769,205247.68865506802,152.66706359837048,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,21.0,81.0,1,13.628283864703867
25,93.55308691534547,200761.47109251586,156.74018586095326,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_26_35,sex_male,25.0,81.0,1,33.62922001956309
26,89.83532472597048,182093.10733185586,133.05154158141292,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,26.0,81.0,1,71.84815634809945
27,85.34182623593409,178780.75154606477,128.97394182975108,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,27.0,51.0,1,129.11102977881416
28,85.03368961929259,203447.2823512581,151.78113018969836,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,28.0,81.0,1,11.628283864703867
32,105.56935896685944,240682.05148514308,172.26143182357796,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,32.0,81.0,1,12.872421609677012
37,95.21390510246344,204124.89103325907,149.26412128794408,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,37.0,81.0,1,10.628283864703867
38,82.67499792537345,168413.70856640302,122.47729427614284,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,38.0,51.0,1,43.22872668100963
42,91.26674837711563,204196.16345803323,147.0672321697711,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,42.0,81.0,1,11.628283864703867
43,97.11052899019937,214721.21642349323,155.9052579133609,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,43.0,81.0,1,6.0976019105181045
46,93.5294795052842,211026.03014769414,154.19120159326394,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,46.0,81.0,1,2.0976019105181045
48,89.07316877844673,188655.5678604313,137.15288731203992,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,48.0,81.0,1,2.9556606505029155
57,81.81105976682623,167659.49790649975,123.10320635702648,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,57.0,51.0,1,46.22872668100963
60,95.08553158265605,209319.57684392305,148.6452212337577,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,60.0,81.0,1,4.0976019105181045
62,89.95401256840753,214432.4143687884,157.33225411366445,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,62.0,81.0,1,26.145487640183745
64,95.89285892840631,240158.6701573953,179.13574968495377,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_46_55,sex_male,64.0,81.0,1,16.14273497798129
65,89.69359119193098,174555.66336099964,129.54956755139665,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,65.0,51.0,1,147.84815634809945
66,90.9868763999175,217862.30952909516,163.76025114044438,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_male,66.0,81.0,1,71.52524552995567
68,64.47069771406011,98573.11306128911,76.9145224594851,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_26_35,sex_male,68.0,31.0,1,126.71399791039039
69,100.84228540138643,219890.53089586,154.13338856546216,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,69.0,81.0,1,33.60618686076239
75,102.50735942375542,204331.93372737075,146.0834740868194,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,75.0,81.0,1,2.0976019105181045
81,96.4664884611418,236791.17464140488,171.67811735187402,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,81.0,81.0,1,4.13782471895256
83,97.74092968452213,224800.50116943306,164.03951584370554,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,83.0,81.0,1,75.76491730727366
84,97.93378212110113,225262.30379269712,164.13451646425483,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,84.0,81.0,1,79.76491730727366
