,index,i_Sex,i_FamilySize,i_Age,e_Cooking,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,Cooking_no,3,408788.877881,167.360733399,310.829259004,3456.6666666666665,5119.849999999999
1,1,sex_male,Size_5,age_46_55,Cooking_no,3,332578.905061,148.442939512,245.244091831,3456.6666666666665,3192.1500000000015
2,2,sex_male,Size_4,age_46_55,Cooking_yes,3,410760.430664,177.70387389299998,303.63595085,3456.6666666666665,2704.8999999999974
3,3,sex_female,Size_3,age_46_55,Cooking_no,1,400382.259583,164.326852346,306.160460379,3456.6666666666665,3092.5500000000043
4,4,sex_female,Size_2,age_36_45,Cooking_no,1,360824.606735,159.32314509,271.766944198,3456.6666666666665,4968.699999999993
5,5,sex_male,Size_4,age_36_45,Cooking_no,4,407975.438467,177.250617462,308.125362057,3456.6666666666665,1661.8500000000029
6,6,sex_male,Size_3,age_56_65,Cooking_no,3,408788.877881,167.360733399,310.829259004,3456.6666666666665,5119.849999999999
7,7,sex_male,Size_5,age_46_55,Cooking_no,3,332578.905061,148.442939512,245.244091831,3456.6666666666665,3192.1500000000015
8,8,sex_male,Size_4,age_46_55,Cooking_yes,3,410760.430664,177.70387389299998,303.63595085,3456.6666666666665,2704.8999999999974
9,9,sex_female,Size_3,age_46_55,Cooking_no,1,400382.259583,164.326852346,306.160460379,3456.6666666666665,3092.5500000000043
10,10,sex_female,Size_2,age_36_45,Cooking_no,1,360824.606735,159.32314509,271.766944198,3456.6666666666665,4968.699999999993
11,11,sex_male,Size_4,age_36_45,Cooking_no,4,407975.438467,177.250617462,308.125362057,3456.6666666666665,1661.8500000000029
