,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,97.02879976413065,102567.4277409234,79.61532867516122,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,0.0,31.0,1,7.42939309564904
1,172.1972839825414,362980.52729822655,254.04220478699867,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,1.0,81.0,1,31.623403733168914
2,165.0072568433844,352954.649920227,247.93858726001304,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,2.0,81.0,1,29.513786507269273
3,179.39701379562484,407362.13345882704,284.7291064091278,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,3.0,81.0,1,20.04820464460049
4,167.91476346288016,350092.6572234853,244.6188591217378,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,4.0,81.0,1,20.513786507269273
5,84.87922989526231,84604.50439280865,66.95876954596082,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,5.0,31.0,1,42.3707048678846
6,172.06907320240643,378515.9940314112,263.60123309291765,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_College,Size_3,sex_female,Urbanity_Urban,6.0,81.0,1,20.238591362638857
7,93.74752298927643,90345.5857857086,70.00169032841389,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,7.0,31.0,1,90.6270516300595
8,118.38843141208515,224340.84003481801,169.27088687933096,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,8.0,81.0,1,6.660788391092623
9,161.8004329517561,341914.8944726312,244.09143756584962,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,9.0,81.0,1,3.541750960125402
10,99.1381892436419,132494.1844579226,100.78107011466824,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,10.0,31.0,1,24.067862317318365
