,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,78.39551484608899,97491.98536783534,74.23935981333368,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,0.0,31.0,1,30.778451759657287
1,119.80580849855758,218037.0811060216,163.88903081758878,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,1.0,81.0,1,37.550980019014126
2,49.03138484124674,82784.5047128327,55.93145543650245,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Rural,2.0,1.0,1,34.240741788040964
3,75.13581311942978,90974.4103536474,62.6724856547128,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_3,sex_female,Urbanity_Rural,3.0,1.0,1,38.794898724986794
4,163.9497074936093,357830.18740543514,259.4654824323933,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,4.0,81.0,1,76.52080252776024
6,50.00129728737362,103015.99332963816,78.82445458582409,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,6.0,31.0,1,24.058680927266334
7,122.22712587373688,365540.7858382647,257.61636779763813,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,7.0,81.0,1,25.82261082645553
8,158.84815668795568,351817.87638120377,247.45408375751995,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,8.0,81.0,1,108.00136336016122
9,78.39772175335,83856.42466908968,68.51388063856521,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,9.0,31.0,1,93.9820692079042
10,107.70477882631177,350861.82395318587,254.369454616342,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,10.0,81.0,1,78.4515579390248
11,83.57614519825837,99934.40871847256,76.83553676762386,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,11.0,31.0,1,122.5351083435711
12,61.623247854927385,159179.46433978813,106.000288259006,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,12.0,21.0,1,97.08482650849078
13,76.89856914828802,69381.59494130866,48.6275713329141,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_Elementary_School,Size_6,sex_female,Urbanity_Rural,13.0,1.0,1,23.304436443536073
14,77.9272305149197,100666.11455050859,67.78431841655069,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_6,sex_male,Urbanity_Rural,14.0,1.0,1,17.966597097114178
15,155.203012259293,373700.0275448528,261.26568248536944,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Urban,15.0,81.0,1,37.95143046923441
17,158.07102917284368,368116.66265719867,256.07058394928765,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,17.0,81.0,1,20.35916938206957
18,164.80150297660413,381305.8555346335,274.89295706342074,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_6,sex_female,Urbanity_Urban,18.0,81.0,1,14.54846613552872
20,35.86058841138581,76827.71879388677,49.80897189485731,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_High_School,Size_4,sex_male,Urbanity_Rural,20.0,1.0,1,49.78279409790772
21,109.18693322133049,187475.997678842,128.70146176068323,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_Post_Secondary,Size_6,sex_female,Urbanity_Rural,21.0,51.0,1,10.927631661382211
23,116.41488217067094,331930.0315535325,213.27151721134842,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,23.0,51.0,1,7.843082980619419
24,62.08179349845736,152394.93123475142,111.77198356501933,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_8,sex_male,Urbanity_Urban,24.0,31.0,1,47.562757460797386
25,99.202188780181,182585.64751736532,130.83497701570428,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,25.0,51.0,1,17.605331408444226
26,84.05554729154566,89167.87616638096,69.37555720798859,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,26.0,31.0,1,63.66933024174608
27,164.28699812704184,374034.5216080394,257.6554141357327,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,27.0,81.0,1,23.802097427723716
28,73.77731614062961,201471.39562412887,143.3926901411496,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,28.0,81.0,1,73.56619514059412
29,94.00239247259172,127076.23695779382,102.23587051632212,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,29.0,31.0,1,25.24238812182396
30,84.12851010687649,94554.80094384956,64.16061673029401,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Rural,30.0,1.0,1,19.446072552764747
32,29.650631762981963,47171.66703473064,27.10446793750073,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,32.0,1.0,1,46.71031579464178
35,116.42081872096665,353289.67583640065,246.15413015277989,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,35.0,81.0,1,68.96664559081442
36,174.2590351458017,411938.3665418232,282.1661464511796,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,36.0,81.0,1,36.74552833452293
37,52.969642574609395,134853.82931275462,105.64032458178444,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_Elementary_School,Size_8,sex_male,Urbanity_Urban,37.0,31.0,1,13.046012881250535
38,112.7898790662638,154483.01154690687,116.11349563584793,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_8,sex_male,Urbanity_Urban,38.0,31.0,1,76.59747523014416
39,46.29168242636013,86671.29438636299,56.74048482360432,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_7,sex_male,Urbanity_Rural,39.0,1.0,1,18.159797600883614
41,104.10172331004631,162706.25472638966,124.52293216051643,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_8,sex_male,Urbanity_Urban,41.0,31.0,1,6.304107424274569
44,111.34096230602276,182547.04190893497,125.01074201938984,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Rural,44.0,51.0,1,7.5173140116943635
45,161.86652960694462,339658.61146312946,231.04886010053391,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_College,Size_6,sex_female,Urbanity_Rural,45.0,51.0,1,18.328082111602484
46,85.79833628915766,116770.40789906168,89.55342652674759,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_2,sex_female,Urbanity_Urban,46.0,31.0,1,48.07612664225638
47,79.11703161923325,199200.8753904413,151.20106732010876,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,47.0,81.0,1,29.07268661989076
48,161.5969962542572,349779.0820006777,249.6869492320206,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,48.0,81.0,1,80.0057148759706
49,65.42333009426494,169098.3968176565,115.11762774261108,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,49.0,21.0,1,28.75757946735495
50,95.10714482969284,99166.09467215145,75.51345951827452,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,50.0,31.0,1,33.77845175965729
51,170.41099141193902,368949.7480512242,261.527409773293,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_College,Size_6,sex_male,Urbanity_Urban,51.0,81.0,1,29.290011576106814
