,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_TV,e_Cooking,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_High_School,TV_yes,Cooking_no,98365.14797714713,87.52379494169537,74.14285513719842,44.50263991552271,25.21684404593744
1,1,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_High_School,TV_yes,Cooking_no,103898.91570170976,82.50776359827115,81.30844657879851,44.50263991552271,0.8759114055606324
2,2,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,TV_yes,Cooking_no,359674.1589059537,155.80297326050174,254.62424290534454,44.50263991552271,131.96569445074428
3,3,sex_female,Urbanity_Rural,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_no,172191.49353242485,90.42563764710242,120.55360121578337,44.50263991552271,129.94292631614414
4,4,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_College,TV_yes,Cooking_yes,357770.74130421353,165.10559544350534,244.803486853975,44.50263991552271,70.11844715139922
5,5,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,204966.9280105601,127.54346791377964,150.92556382526197,44.50263991552271,67.04549704592392
6,6,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_no,199548.4942619913,114.48060509536543,147.50664012470622,44.50263991552271,128.892744345269
7,7,sex_female,Urbanity_Urban,Size_2,age_36_45,Education_Elementary_School,TV_yes,Cooking_no,84380.14967665036,82.69065037135209,66.74393308216189,44.50263991552271,91.22821313831456
8,8,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_High_School,TV_yes,Cooking_no,134363.78214554698,98.70595451762593,104.80713360794691,44.50263991552271,23.549608490568858
9,9,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,222308.2599511859,128.3755626998528,163.5620044467004,44.50263991552271,0.0
10,10,sex_male,Urbanity_Rural,Size_2,age_66_75,Education_Elementary_School,TV_yes,Cooking_no,59564.264263314515,73.13963012111728,36.176587290772744,44.50263991552271,34.10414072710947
11,11,sex_female,Urbanity_Urban,Size_1,age_46_55,Education_High_School,TV_yes,Cooking_no,113091.3772421887,95.06959395905923,88.49391362957869,44.50263991552271,1.8770061047854605
12,12,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_High_School,TV_yes,Cooking_no,107962.53941295666,91.33316908102665,80.6950733023474,44.50263991552271,0.8759114055606324
