,Electricity,Income,Water,e_Cooking,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,87.52379494169537,98365.14797714713,74.14285513719842,Cooking_no,TV_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Urban,0.0,31.0,1,20.216844045937442
1,82.50776359827115,103898.91570170976,81.30844657879851,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_1,sex_male,Urbanity_Urban,1.0,31.0,1,0.8759114055606324
2,155.80297326050174,359674.1589059537,254.62424290534454,Cooking_no,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,2.0,81.0,1,44.96569445074428
3,90.42563764710242,172191.49353242485,120.55360121578337,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,3.0,21.0,1,103.94292631614414
4,165.10559544350534,357770.74130421353,244.803486853975,Cooking_yes,TV_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,4.0,81.0,1,24.118447151399224
5,127.54346791377964,204966.9280105601,150.92556382526197,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,5.0,81.0,1,25.045497045923923
6,114.48060509536543,199548.4942619913,147.50664012470622,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,6.0,81.0,1,56.892744345268994
7,82.69065037135209,84380.14967665036,66.74393308216189,Cooking_no,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,7.0,31.0,1,65.22821313831457
8,98.70595451762593,134363.78214554698,104.80713360794692,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,8.0,31.0,1,20.549608490568858
10,73.13963012111728,59564.26426331452,36.17658729077274,Cooking_no,TV_yes,age_66_75,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,10.0,1.0,1,33.10414072710947
11,95.06959395905923,113091.3772421887,88.49391362957869,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_1,sex_female,Urbanity_Urban,11.0,31.0,1,0.8770061047854605
12,91.33316908102665,107962.53941295666,80.6950733023474,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_1,sex_male,Urbanity_Urban,12.0,31.0,1,0.8759114055606324
14,114.63759170457577,198253.12989147785,146.7723378284906,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,14.0,81.0,1,35.681505904607405
16,139.87327603915926,326543.9201548964,218.338704658416,Cooking_no,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,16.0,51.0,1,69.01478172239456
17,78.1379183567048,92216.2847617674,63.10125352735727,Cooking_no,TV_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Rural,17.0,1.0,1,46.93853370337114
18,108.53420578427065,177588.73759822728,126.78185612432726,Cooking_no,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_female,Urbanity_Rural,18.0,21.0,1,6.8653265923079685
19,129.43183264787913,223396.8483319936,166.0945791008872,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,19.0,81.0,1,11.945403131744591
20,152.34387499057362,325806.2664749164,216.6867650213849,Cooking_no,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Rural,20.0,51.0,1,6.937181998558387
21,89.31840026551416,90248.35227147883,68.72138791153453,Cooking_no,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,21.0,31.0,1,66.09742423937452
25,121.87382248403046,208948.62295830867,160.91335857826653,Cooking_no,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,25.0,81.0,1,3.8162393206576546
26,162.2576331681859,355658.202180703,252.4448920742781,Cooking_yes,TV_yes,age_36_45,Education_College,Size_2,sex_female,Urbanity_Urban,26.0,81.0,1,40.459379791776016
27,99.19324956672978,117810.58500860455,91.3365324993397,Cooking_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_female,Urbanity_Urban,27.0,31.0,1,91.11271319294048
28,151.39059228444845,319864.0731916435,214.5940494475198,Cooking_yes,TV_yes,age_36_45,Education_College,Size_2,sex_female,Urbanity_Rural,28.0,51.0,1,57.50846706342628
29,161.0554057831941,358367.25704749994,257.95390798391657,Cooking_no,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,29.0,81.0,1,5.888094726908074
30,104.0690864840655,134168.68690273975,101.51669539765676,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,30.0,31.0,1,13.549608490568858
31,78.56721629124705,88115.72305364137,59.290167672642916,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Rural,31.0,1.0,1,103.1159440425206
33,109.8324369833259,192379.55288449282,143.12498288754998,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,33.0,81.0,1,0.36086633958251113
34,103.4348376329468,128737.36654490107,99.79197359134243,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,34.0,31.0,1,15.54851379134399
35,161.29062215306695,352162.0877596375,244.1508044270876,Cooking_no,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,35.0,81.0,1,34.75445601008268
36,110.418782523892,201683.1195418771,150.11192456438133,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,36.0,81.0,1,58.892744345268994
37,159.325725258941,365192.8974333977,253.41707247999813,Cooking_no,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,37.0,81.0,1,38.62476181036743
38,89.48921091583306,95925.44844550725,77.07322037423016,Cooking_no,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,38.0,31.0,1,77.09742423937452
39,137.0425500655225,331511.8968429975,226.36754306345387,Cooking_no,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,39.0,51.0,1,61.673849082017725
40,83.65161182334094,94832.2257913676,74.13458199552464,Cooking_no,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,40.0,31.0,1,74.09742423937452
44,118.73846594987295,212374.1970625604,159.6985715059542,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,44.0,81.0,1,47.55181170489223
45,168.36188564010547,352294.36681986396,247.6318179342701,Cooking_no,TV_yes,age_46_55,Education_College,Size_1,sex_female,Urbanity_Urban,45.0,81.0,1,2.4349111442825855
46,118.25035089807491,209684.1364280507,155.31134878752172,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,46.0,81.0,1,13.374401365742713
47,90.31736721440107,111703.94504580306,87.58571892002384,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,47.0,31.0,1,40.85561833020872
48,117.8344379252412,208946.24809902025,158.8956956272704,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,48.0,81.0,1,39.55181170489223
49,164.17116953519076,375687.8111103306,263.18863946122013,Cooking_no,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,49.0,81.0,1,21.100427866794526
50,87.43276206598745,115237.96347999465,88.11551576244044,Cooking_no,TV_yes,age_46_55,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,50.0,31.0,1,8.298605605965983
51,133.1124844078337,220619.3144156072,165.6112339758934,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,51.0,81.0,1,15.737297807834409
52,116.49794680087477,206565.63525169785,161.25862387386326,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,52.0,81.0,1,23.34166796345542
54,174.69855774992538,396927.0856032256,267.7091186040078,Cooking_yes,TV_yes,age_76_85,Education_Post_Graduate,Size_3,sex_male,Urbanity_Rural,54.0,51.0,1,48.90333554692309
55,151.23939064359482,338866.1507592154,223.63766251412395,Cooking_no,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,55.0,51.0,1,16.155506102491426
56,145.40029239957659,337220.00569213694,226.07919971649687,Cooking_no,TV_yes,age_36_45,Education_College,Size_4,sex_female,Urbanity_Rural,56.0,51.0,1,37.497533442093065
57,93.16277646797644,110659.93885690234,84.37663617990809,Cooking_no,TV_yes,age_26_35,Education_High_School,Size_3,sex_male,Urbanity_Urban,57.0,31.0,1,92.80271596657323
58,161.51092299913185,356209.5901004728,241.05060186244347,Cooking_no,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,58.0,81.0,1,41.96569445074428
59,95.5616624437624,122377.7550952966,96.71608550490535,Cooking_no,TV_yes,age_56_65,Education_High_School,Size_2,sex_female,Urbanity_Urban,59.0,31.0,1,4.331284386635777
60,168.8830862174591,416826.7173740736,281.9545442102006,Cooking_no,TV_yes,age_46_55,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,60.0,81.0,1,59.985674330083484
62,98.84321804467086,136827.61632962714,105.46802128146658,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,62.0,31.0,1,23.460448197722673
63,172.89676633833682,379307.2507632392,274.8324377616676,Cooking_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,63.0,81.0,1,13.722182319688336
64,147.87372692717872,333169.8963750064,219.9843868193251,Cooking_no,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Rural,64.0,51.0,1,36.14842043921994
65,81.88498778645994,95322.97437891482,71.83178669409925,Cooking_no,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,65.0,31.0,1,81.09742423937452
66,85.29858303169415,89625.4867071249,59.92924537238103,Cooking_yes,TV_yes,age_56_65,Education_High_School,Size_2,sex_female,Urbanity_Rural,66.0,1.0,1,8.084200740754593
67,85.79102537205979,113540.2876941206,79.95372420421212,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_6,sex_male,Urbanity_Rural,67.0,1.0,1,10.31712540911213
68,129.2834314942715,237562.9651171725,179.9031491649948,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,68.0,81.0,1,3.7529930714836954
69,81.04967643006121,85573.29564570781,66.81593998443947,Cooking_no,TV_yes,age_19_25,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,69.0,31.0,1,5.02270325386289
70,166.38734844440702,373020.32504326454,256.73640252828886,Cooking_no,TV_yes,age_66_75,Education_College,Size_7,sex_male,Urbanity_Rural,70.0,51.0,1,15.881328542782747
71,98.13146535544254,126550.65644650249,98.8683974256288,Cooking_yes,TV_yes,age_36_45,Education_Elementary_School,Size_7,sex_female,Urbanity_Urban,71.0,31.0,1,69.18189246546339
72,109.35059881774755,205034.28380000615,150.21469206343167,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,72.0,81.0,1,23.34166796345542
73,119.25042322163857,226023.7154987297,166.82194288865625,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,73.0,81.0,1,8.945403131744591
74,95.08399130390221,100899.41899365628,79.40425389892461,Cooking_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,74.0,31.0,1,19.282910342316693
75,121.02678093455124,208590.60744227734,159.8294321471025,Cooking_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,75.0,81.0,1,11.213270003445409
76,149.77633922383328,317411.55529201234,213.43175286146615,Cooking_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Rural,76.0,51.0,1,44.50737236420149
77,172.67384689581417,365258.5938614425,253.92347130578827,Cooking_yes,TV_yes,age_56_65,Education_College,Size_2,sex_female,Urbanity_Urban,77.0,81.0,1,4.5930185086014035
