,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,89.72017555576248,91333.04892697236,68.94374298446364,AC_yes,Cooking_no,Lighting_yes,age_26_35,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,0.0,31.0,1,29.397801042392263
1,90.78260467037904,113286.25966331696,78.51960584371598,AC_yes,Cooking_no,Lighting_yes,age_26_35,Education_High_School,Size_7,sex_female,Urbanity_Rural,1.0,1.0,1,80.68361087447951
2,101.22553563531343,159096.76296309102,107.39715810340662,AC_yes,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_2,sex_female,Urbanity_Rural,2.0,21.0,1,73.76392697384509
3,81.8053261474122,80572.17476609958,53.503322370272855,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Rural,3.0,1.0,1,65.59511164781689
4,176.5046037404908,406754.0156732051,280.78886106839815,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,4.0,81.0,1,67.98189552196905
5,128.01647138198874,217011.0177806388,163.77783546405325,AC_yes,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,5.0,81.0,1,27.676973893709047
6,119.98831196082253,363663.43340761017,253.1990788066437,AC_no,Cooking_no,Lighting_yes,age_26_35,Education_College,Size_4,sex_male,Urbanity_Urban,6.0,81.0,1,28.096818892474893
7,84.25473244549319,111396.03495929748,85.59156838611126,AC_yes,Cooking_no,Lighting_yes,age_26_35,Education_High_School,Size_2,sex_female,Urbanity_Urban,7.0,31.0,1,82.93219835699516
8,75.10505612877995,66897.53925069563,42.28057648856269,AC_yes,Cooking_yes,Lighting_yes,age_26_35,Education_High_School,Size_2,sex_male,Urbanity_Rural,8.0,1.0,1,79.3539485966603
9,84.00822707626845,89775.8623353971,71.17051521987605,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,9.0,31.0,1,21.716740537540783
10,179.87395675472325,416956.58976734546,285.9428170494041,AC_yes,Cooking_no,Lighting_yes,age_66_75,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,10.0,81.0,1,25.03463311580704
11,156.44374567739553,365308.398964304,259.61324455211843,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,11.0,81.0,1,76.18393502780908
12,86.73439400326026,94850.43402079881,74.29078509352915,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,12.0,31.0,1,70.93907071353368
13,114.05136897526334,184041.57247660548,131.0974491376362,AC_yes,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,13.0,51.0,1,10.723980082720145
15,115.95729569594671,205020.23893437267,153.55061583765698,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,15.0,81.0,1,25.65843275480305
16,87.32323744156294,91419.34799333324,71.30624333702838,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,16.0,31.0,1,53.900838236531655
17,116.43301028990768,194774.80173977345,147.53336579236728,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,17.0,81.0,1,3.1787244177639877
18,93.67967343265312,128507.18383427196,98.88176315495886,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,18.0,31.0,1,19.23199673230314
19,147.6125999963815,339366.3027207347,222.841128885539,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,19.0,51.0,1,19.3668974461662
20,98.57181594799349,135424.6081931321,107.27072553289685,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,20.0,31.0,1,20.29331553097993
21,82.61336904625831,99732.61280377088,76.59774787936563,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,21.0,31.0,1,42.81629181321959
24,95.86515973333763,101373.76081705342,75.50881411589302,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,24.0,31.0,1,13.299218827115956
25,119.8509421008963,219715.5651207731,164.7262735260345,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,25.0,81.0,1,36.20041916613066
26,165.9248996883208,393287.0928896426,278.078401424928,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_7,sex_male,Urbanity_Urban,26.0,81.0,1,78.63500945253773
27,142.47599741897517,318685.75107854296,212.20365958261615,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Rural,27.0,51.0,1,77.52922554460304
28,65.68759183258915,49093.53160381188,30.063222150442638,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,28.0,1.0,1,79.28436123032765
29,90.59078748795281,77912.27922165299,61.4776618442066,AC_yes,Cooking_no,Lighting_yes,age_19_25,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,29.0,31.0,1,135.54035144937183
30,171.51947484524868,411065.8562055015,286.43819968331485,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,30.0,81.0,1,52.3598680342711
31,115.81920744944522,206703.5077958664,157.16048770859612,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,31.0,81.0,1,49.84253045379391
32,105.41857120297684,319843.7876064998,213.66447882007662,AC_no,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Rural,32.0,51.0,1,82.98337908041023
33,122.15840159922891,210445.21970525515,159.16321841638484,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,33.0,81.0,1,35.75798403048184
35,99.27753921131209,123884.0092227654,93.3239417228282,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,35.0,31.0,1,83.87184861872086
36,118.52569228403507,205006.41625363234,156.79163554496003,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,36.0,81.0,1,21.65843275480305
37,87.75346644002519,91574.08166482006,71.19560359349022,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,37.0,31.0,1,23.716740537540783
38,124.43356453145796,375227.55572553404,266.3683163298202,AC_no,Cooking_no,Lighting_yes,age_66_75,Education_College,Size_3,sex_male,Urbanity_Urban,38.0,81.0,1,46.31285364515221
39,84.36352066161777,96406.68110785834,74.08567448493585,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,39.0,31.0,1,32.921246314813864
40,98.9198341608608,135253.60333557552,105.77945786405745,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,40.0,31.0,1,21.29331553097993
41,159.81730652481414,369383.0368189981,255.73626364635845,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,41.0,81.0,1,51.061156127494996
42,118.84363817264021,215023.26800114324,155.4109937360695,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,42.0,81.0,1,35.75798403048184
44,94.11679633143429,113302.09132840627,86.91238027071633,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_5,sex_female,Urbanity_Urban,44.0,31.0,1,14.698018259847256
46,117.52439379298914,201385.55581261602,155.22108562858705,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,46.0,81.0,1,59.46455794149185
47,116.42239909881222,220272.71169516305,167.08273809652505,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,47.0,81.0,1,36.81930282915862
48,113.22332726093126,178422.14423106864,141.47778477244506,AC_yes,Cooking_yes,Lighting_yes,age_66_75,Education_High_School,Size_8,sex_female,Urbanity_Urban,48.0,31.0,1,60.00551206442208
49,77.29099108236663,215495.048513764,160.61444507878798,AC_no,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,49.0,81.0,1,26.131127429516255
