,index,n_BuildingSqm,n_BuildingKwh,NonRElectricity,w,wf
0,0,312.5947515174914,631.0,65632.75811061822,0.137,0.0
1,1,312.5947515174914,631.0,65632.75811061822,0.137,0.0
2,2,637.2298598861562,296.0,65341.759927087274,0.137,0.0
3,3,406.72633871362433,243.0,29710.895069066504,0.137,0.0
4,4,406.72633871362433,243.0,29710.895069066504,0.137,0.0
5,5,312.5947515174914,631.0,65632.75811061822,0.137,0.0
6,6,703.625461563575,316.0,78745.14961067829,0.137,0.0
7,7,312.5947515174914,631.0,65632.75811061822,0.137,0.0
8,8,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
9,9,497.4279044195864,233.0,39935.241259193266,0.137,0.0
10,10,406.72633871362433,243.0,29710.895069066504,0.137,0.0
11,11,296.28054076293597,137.0,14102.799255324951,0.137,2.644897184152058
12,12,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
13,13,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
14,14,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
15,15,703.625461563575,316.0,78745.14961067829,0.137,0.0
16,16,406.72633871362433,243.0,29710.895069066504,0.137,0.0
17,17,312.5947515174914,631.0,65632.75811061822,0.137,0.0
18,18,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
19,19,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
20,20,296.28054076293597,137.0,14102.799255324951,0.137,2.644897184152058
21,21,406.72633871362433,243.0,29710.895069066504,0.137,0.0
22,22,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
23,23,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
24,24,703.625461563575,316.0,78745.14961067829,0.137,0.0
25,25,312.5947515174914,631.0,65632.75811061822,0.137,0.0
26,26,312.5947515174914,631.0,65632.75811061822,0.137,0.0
27,27,637.2298598861562,296.0,65341.759927087274,0.137,0.0
28,28,637.2298598861562,296.0,65341.759927087274,0.137,0.0
29,29,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
30,30,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
31,31,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
32,32,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
33,33,312.5947515174914,631.0,65632.75811061822,0.137,0.0
34,34,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
35,35,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
36,36,406.72633871362433,243.0,29710.895069066504,0.137,0.0
37,37,703.625461563575,316.0,78745.14961067829,0.137,0.0
38,38,703.625461563575,316.0,78745.14961067829,0.137,0.0
39,39,703.625461563575,316.0,78745.14961067829,0.137,0.0
40,40,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
41,41,312.5947515174914,631.0,65632.75811061822,0.137,0.0
42,42,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
43,43,637.2298598861562,296.0,65341.759927087274,0.137,0.0
44,44,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
45,45,637.2298598861562,296.0,65341.759927087274,0.137,0.0
46,46,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
47,47,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
48,48,406.72633871362433,243.0,29710.895069066504,0.137,0.0
49,49,406.72633871362433,243.0,29710.895069066504,0.137,0.0
50,50,406.72633871362433,243.0,29710.895069066504,0.137,0.0
51,51,637.2298598861562,296.0,65341.759927087274,0.137,0.0
52,52,406.72633871362433,243.0,29710.895069066504,0.137,0.0
53,53,637.2298598861562,296.0,65341.759927087274,0.137,0.0
54,54,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
55,55,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
56,56,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
57,57,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
58,58,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
59,59,637.2298598861562,296.0,65341.759927087274,0.137,0.0
60,60,497.4279044195864,233.0,39935.241259193266,0.137,0.0
61,61,406.72633871362433,243.0,29710.895069066504,0.137,0.0
62,62,406.72633871362433,243.0,29710.895069066504,0.137,0.0
63,63,406.72633871362433,243.0,29710.895069066504,0.137,0.0
64,64,406.72633871362433,243.0,29710.895069066504,0.137,0.0
65,65,406.72633871362433,243.0,29710.895069066504,0.137,0.0
66,66,637.2298598861562,296.0,65341.759927087274,0.137,0.0
67,67,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
68,68,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
69,69,497.4279044195864,233.0,39935.241259193266,0.137,0.0
70,70,637.2298598861562,296.0,65341.759927087274,0.137,0.0
71,71,637.2298598861562,296.0,65341.759927087274,0.137,0.0
72,72,703.625461563575,316.0,78745.14961067829,0.137,0.0
73,73,637.2298598861562,296.0,65341.759927087274,0.137,0.0
74,74,497.4279044195864,233.0,39935.241259193266,0.137,0.0
75,75,406.72633871362433,243.0,29710.895069066504,0.137,0.0
76,76,637.2298598861562,296.0,65341.759927087274,0.137,0.0
77,77,637.2298598861562,296.0,65341.759927087274,0.137,0.0
78,78,497.4279044195864,233.0,39935.241259193266,0.137,0.0
79,79,406.72633871362433,243.0,29710.895069066504,0.137,0.0
80,80,406.72633871362433,243.0,29710.895069066504,0.137,0.0
81,81,312.5947515174914,631.0,65632.75811061822,0.137,0.0
82,82,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
83,83,312.5947515174914,631.0,65632.75811061822,0.137,0.0
84,84,312.5947515174914,631.0,65632.75811061822,0.137,0.0
85,85,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
86,86,637.2298598861562,296.0,65341.759927087274,0.137,0.0
87,87,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
88,88,312.5947515174914,631.0,65632.75811061822,0.137,0.0
89,89,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
90,90,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
91,91,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
92,92,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
93,93,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
94,94,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
95,95,406.72633871362433,243.0,29710.895069066504,0.137,0.0
96,96,406.72633871362433,243.0,29710.895069066504,0.137,0.0
97,97,637.2298598861562,296.0,65341.759927087274,0.137,0.0
98,98,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
99,99,312.5947515174914,631.0,65632.75811061822,0.137,0.0
100,100,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
101,101,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
102,102,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
103,103,406.72633871362433,243.0,29710.895069066504,0.137,0.0
104,104,406.72633871362433,243.0,29710.895069066504,0.137,0.0
105,105,637.2298598861562,296.0,65341.759927087274,0.137,0.0
106,106,406.72633871362433,243.0,29710.895069066504,0.137,0.0
107,107,312.5947515174914,631.0,65632.75811061822,0.137,0.0
108,108,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
109,109,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
110,110,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
111,111,406.72633871362433,243.0,29710.895069066504,0.137,0.0
112,112,637.2298598861562,296.0,65341.759927087274,0.137,0.0
113,113,637.2298598861562,296.0,65341.759927087274,0.137,0.0
114,114,637.2298598861562,296.0,65341.759927087274,0.137,0.0
115,115,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
116,116,497.4279044195864,233.0,39935.241259193266,0.137,0.0
117,117,312.5947515174914,631.0,65632.75811061822,0.137,0.0
118,118,406.72633871362433,243.0,29710.895069066504,0.137,0.0
119,119,312.5947515174914,631.0,65632.75811061822,0.137,0.0
120,120,312.5947515174914,631.0,65632.75811061822,0.137,0.0
121,121,406.72633871362433,243.0,29710.895069066504,0.137,0.0
122,122,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
123,123,296.28054076293597,137.0,14102.799255324951,0.137,2.644897184152058
124,124,406.72633871362433,243.0,29710.895069066504,0.137,0.0
125,125,406.72633871362433,243.0,29710.895069066504,0.137,0.0
126,126,406.72633871362433,243.0,29710.895069066504,0.137,0.0
127,127,406.72633871362433,243.0,29710.895069066504,0.137,0.0
128,128,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
129,129,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
130,130,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
131,131,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
132,132,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
133,133,703.625461563575,316.0,78745.14961067829,0.137,0.0
134,134,406.72633871362433,243.0,29710.895069066504,0.137,0.0
135,135,406.72633871362433,243.0,29710.895069066504,0.137,0.0
136,136,312.5947515174914,631.0,65632.75811061822,0.137,0.0
137,137,312.5947515174914,631.0,65632.75811061822,0.137,0.0
138,138,406.72633871362433,243.0,29710.895069066504,0.137,0.0
139,139,406.72633871362433,243.0,29710.895069066504,0.137,0.0
140,140,296.28054076293597,137.0,14102.799255324951,0.137,2.644897184152058
141,141,406.72633871362433,243.0,29710.895069066504,0.137,0.0
142,142,719.5871280224214,262.0,77620.75573468984,0.137,0.46923030280159717
143,143,703.625461563575,316.0,78745.14961067829,0.137,0.0
144,144,497.4279044195864,233.0,39935.241259193266,0.137,0.0
145,145,406.72633871362433,243.0,29710.895069066504,0.137,0.0
146,146,406.72633871362433,243.0,29710.895069066504,0.137,0.0
147,147,406.72633871362433,243.0,29710.895069066504,0.137,0.0
148,148,406.72633871362433,243.0,29710.895069066504,0.137,0.0
149,149,837.2166583606537,293.0,104135.99305079236,0.137,0.10889259906315572
150,150,637.2298598861562,296.0,65341.759927087274,0.137,0.0
