,index,i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,c_i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,c_w_Education,i_Intercept,Income,e_Intercept,Electricity,w_Intercept,Water,w
0,0,0,830.8016722489999,1,7108.00197033,2,1667.05360338,61.713484656999995,119.270293375,2,12191.481665000001,1,-27.303949626999998,1,17.4344991282,0,30.8667458593,1,59.1165592551,1,203.551316909,1,23.353634280300003,0.0014774120857300001,121.179009979,1003.68603571,0.0542105042065,52.2809486358,4.8179538310000005,3,233.23802762900002,1147.66399223,409335.517749,3.2999838733,167.513735821,-601.591950028,311.24468406299997,3402.25
1,1,0,1016.60891412,0,7175.54501399,4,1663.88516244,49.552374337799996,116.672195376,2,11724.9403076,1,6.09726327836,1,21.226902428,0,32.170689382199996,1,61.6565227297,1,201.302074541,1,25.3413770887,0.0013970258433099998,100.262585511,1023.81093711,0.054193214870699995,43.66467566359999,6.21769817694,3,290.754285858,1147.66399223,332674.279193,3.2999838733,148.46818189799998,-601.591950028,245.31779206,3402.25
2,2,0,746.186424125,1,7168.94727958,3,1648.50587345,48.5178432817,121.79952364200001,2,12083.273501799998,1,-15.3102612552,1,20.9771926139,1,28.5479991166,1,60.780667167299995,1,202.36470598900002,1,25.420225674,0.0014897167343199999,95.0516376976,977.674628287,0.0528885159966,34.5055284021,5.43926638895,3,209.71000133599998,1147.66399223,410820.977953,3.2999838733,177.720961992,-601.591950028,303.681163013,3402.25
3,3,1,1113.3062017999998,1,7052.66794281,2,1682.36916016,54.079637922799996,110.764238209,2,11810.920936,1,13.962212761500002,1,16.146819565799998,0,29.236356440300003,1,57.5284040886,0,205.131231711,1,23.6207977843,0.00136793797743,102.654360234,1026.47517501,0.0534908061341,66.2740417786,6.81422683273,1,316.649603981,1147.66399223,400628.083478,3.2999838733,125.528380771,-601.591950028,306.350171214,3402.25
4,4,1,683.196121315,1,7265.13365104,1,1650.75161383,37.4581884579,123.81220795200001,2,12039.0755706,1,-6.244124873500001,1,17.4282560137,0,27.140970875,1,60.445598260299995,1,203.851166003,1,23.5102791117,0.00149292666991,87.3194450373,990.1616207589999,0.0532364375673,38.3258211681,5.81122349639,1,271.412338051,1147.66399223,360462.13769899996,3.2999838733,159.220626,-601.591950028,271.493773031,3402.25
5,5,0,679.212842232,1,7287.15819844,3,1624.12163463,43.6308321891,116.49948581299999,2,12639.2035794,1,19.7296516976,1,17.6876233065,0,27.4391004294,1,58.0592885439,1,202.813122729,1,24.0602999784,0.0014950771326300001,91.2570952288,952.447499065,0.0540221177324,48.5597879121,7.251170684860001,4,186.22827864599998,1147.66399223,407857.05388099997,3.2999838733,177.217085875,-601.591950028,308.033079836,3402.25
6,6,0,830.8016722489999,1,7108.00197033,2,1667.05360338,61.713484656999995,119.270293375,2,12191.481665000001,1,-27.303949626999998,1,17.4344991282,0,30.8667458593,1,59.1165592551,1,203.551316909,1,23.353634280300003,0.0014774120857300001,121.179009979,1003.68603571,0.0542105042065,52.2809486358,4.8179538310000005,3,233.23802762900002,1147.66399223,409335.517749,3.2999838733,167.513735821,-601.591950028,311.24468406299997,3402.25
7,7,0,1016.60891412,0,7175.54501399,4,1663.88516244,49.552374337799996,116.672195376,2,11724.9403076,1,6.09726327836,1,21.226902428,0,32.170689382199996,1,61.6565227297,1,201.302074541,1,25.3413770887,0.0013970258433099998,100.262585511,1023.81093711,0.054193214870699995,43.66467566359999,6.21769817694,3,290.754285858,1147.66399223,332674.279193,3.2999838733,148.46818189799998,-601.591950028,245.31779206,3402.25
8,8,0,746.186424125,1,7168.94727958,3,1648.50587345,48.5178432817,121.79952364200001,2,12083.273501799998,1,-15.3102612552,1,20.9771926139,1,28.5479991166,1,60.780667167299995,1,202.36470598900002,1,25.420225674,0.0014897167343199999,95.0516376976,977.674628287,0.0528885159966,34.5055284021,5.43926638895,3,209.71000133599998,1147.66399223,410820.977953,3.2999838733,177.720961992,-601.591950028,303.681163013,3402.25
9,9,1,1113.3062017999998,1,7052.66794281,2,1682.36916016,54.079637922799996,110.764238209,2,11810.920936,1,13.962212761500002,1,16.146819565799998,0,29.236356440300003,1,57.5284040886,0,205.131231711,1,23.6207977843,0.00136793797743,102.654360234,1026.47517501,0.0534908061341,66.2740417786,6.81422683273,1,316.649603981,1147.66399223,400628.083478,3.2999838733,125.528380771,-601.591950028,306.350171214,3402.25
10,10,1,683.196121315,1,7265.13365104,1,1650.75161383,37.4581884579,123.81220795200001,2,12039.0755706,1,-6.244124873500001,1,17.4282560137,0,27.140970875,1,60.445598260299995,1,203.851166003,1,23.5102791117,0.00149292666991,87.3194450373,990.1616207589999,0.0532364375673,38.3258211681,5.81122349639,1,271.412338051,1147.66399223,360462.13769899996,3.2999838733,159.220626,-601.591950028,271.493773031,3402.25
11,11,0,679.212842232,1,7287.15819844,3,1624.12163463,43.6308321891,116.49948581299999,2,12639.2035794,1,19.7296516976,1,17.6876233065,0,27.4391004294,1,58.0592885439,1,202.813122729,1,24.0602999784,0.0014950771326300001,91.2570952288,952.447499065,0.0540221177324,48.5597879121,7.251170684860001,4,186.22827864599998,1147.66399223,407857.05388099997,3.2999838733,177.217085875,-601.591950028,308.033079836,3402.25
