,Electricity,Income,Water,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
3,101.04579007864841,164446.9776657181,116.2069739914617,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,3.0,21.0,1,100.94701714254586
4,160.30339664123287,363100.99827432376,262.3136783906908,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,4.0,81.0,1,11.08953608338313
5,90.0118133146942,97420.73389780047,64.0996868707689,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Rural,5.0,1.0,1,5.4354894871531965
6,91.0813542750995,97164.1119210536,65.00716892243405,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Rural,6.0,1.0,1,6.4354894871531965
7,81.79904249517318,90682.00451465373,69.14901219496221,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,7.0,31.0,1,20.375760849374146
8,118.39714667322352,196257.11021914336,154.0528712924189,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,8.0,81.0,1,48.96325979977459
9,107.76984402138037,200126.54950454488,148.40996253496132,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,9.0,81.0,1,37.96325979977459
10,165.26944806496098,377751.6183940527,261.0865887427798,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_female,Urbanity_Urban,10.0,81.0,1,5.453080827156153
11,169.167093287531,373083.2354426977,256.82113216031445,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_female,Urbanity_Urban,11.0,81.0,1,3.4530808271561533
12,112.85407319611721,207407.6517394254,156.20082099373013,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,12.0,81.0,1,8.944557223295089
13,162.303812901412,353546.37413840217,244.73061789526864,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,13.0,81.0,1,15.319139008695743
14,160.85410171683532,375311.42986745626,266.047408302856,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_female,Urbanity_Urban,14.0,81.0,1,2.4530808271561533
15,178.13425168329198,373029.55175620725,271.16407122195284,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Urban,15.0,81.0,1,1.7796954058169492
16,171.39311128277149,382865.447516688,264.7872687142896,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_7,sex_male,Urbanity_Urban,16.0,81.0,1,16.37772815797718
18,111.88705480995165,196683.83644622352,145.99989496319557,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,18.0,81.0,1,56.49043537086948
19,109.95844099108344,204913.9549725739,145.5834490248351,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,19.0,81.0,1,9.471732794389808
24,176.44627404753732,391584.3884412049,279.09235916478616,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_7,sex_female,Urbanity_Urban,24.0,81.0,1,8.592795435619927
26,164.00899780100602,363499.57385054854,250.80462003622705,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,26.0,81.0,1,4.888975090949042
27,166.66207431620143,354018.2970632485,254.46029469981568,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,27.0,81.0,1,7.118578016261807
28,99.22875968732731,101887.42626272928,79.71336090145938,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,28.0,31.0,1,7.395896264784458
29,138.62167087722636,238330.52825674298,182.60220227601863,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,29.0,81.0,1,5.0687072166489
30,109.28101527176592,162913.22313551896,126.28099085426314,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_8,sex_female,Urbanity_Urban,30.0,31.0,1,4.503696092422059
31,171.11431627863644,420769.8640836767,299.40032103087367,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_10,sex_female,Urbanity_Urban,31.0,81.0,1,143.23429698159583
33,168.75920218234322,362272.7173868958,255.08560777195515,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_College,Size_2,sex_male,Urbanity_Urban,33.0,81.0,1,18.849821641174152
34,184.5805942444122,411645.98771600006,284.374990028426,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,34.0,81.0,1,11.705100324563617
36,109.19309230319357,182482.11491840886,130.5312589488192,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,36.0,51.0,1,18.266800891354386
37,92.46281761690877,83391.16428246122,63.30737970675444,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,37.0,31.0,1,74.67338495996643
38,127.7325035875192,194651.39106956398,147.01837802117154,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,38.0,81.0,1,14.121665368385514
39,128.36436118916635,207001.97778280155,158.93126511284981,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,39.0,81.0,1,5.892062443072906
40,160.09368372886044,362711.1287191234,255.15453713373157,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,40.0,81.0,1,6.941469871171069
41,172.09980258394347,408680.1104444511,282.63665810030614,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_3,sex_female,Urbanity_Urban,41.0,81.0,1,36.31709183064008
42,126.40007103804821,218537.16950216566,164.69763205901668,Cooking_yes,Lighting_yes,TV_yes,age_76_85,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,42.0,81.0,1,16.170613165419617
43,150.50597519489392,344731.4659773489,241.818262936522,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,43.0,81.0,1,35.54454417757408
44,83.24910294836678,101167.85912437928,78.53264087492127,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,44.0,31.0,1,83.04132913301623
45,114.55669600477741,181860.3127339895,133.449126591701,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,45.0,81.0,1,46.52749611428763
46,131.46453661263965,237454.96113767585,172.89474646745626,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,46.0,81.0,1,9.849282353650942
47,120.00292966208944,216203.2132226669,162.1577492616786,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,47.0,81.0,1,5.159624500937664
49,159.53086131119773,391493.32273643615,254.8803903476999,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_4,sex_female,Urbanity_Rural,49.0,51.0,1,9.171487002842508
50,160.36921181612956,364543.118185688,250.8496504112796,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,50.0,81.0,1,8.94146987117107
51,128.6130030172317,214178.9582983423,157.05469793481132,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,51.0,81.0,1,2.159624500937664
52,115.83116872007572,204656.53304955177,153.23357329743703,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,52.0,81.0,1,12.09262343550683
56,118.3062413157886,190196.3619968612,140.70289665585742,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,56.0,81.0,1,38.54763152969795
57,122.08217690171897,195163.4258039748,145.04631193912402,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,57.0,81.0,1,41.84520417548019
58,97.35939362387457,125037.53822888895,97.56089540633587,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,58.0,31.0,1,4.710518263084272
59,169.96585770140257,357279.05413968174,251.749709071418,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,59.0,81.0,1,3.2680844498320276
60,169.83479839864611,364692.0370930329,259.75962327165456,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_4,sex_female,Urbanity_Urban,60.0,81.0,1,10.683712719908687
61,88.79340329007258,115908.59889658644,92.2112178225486,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,61.0,31.0,1,92.48511162904266
62,179.71998585640708,404884.34826653573,295.2252002908238,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_9,sex_male,Urbanity_Urban,62.0,81.0,1,2.8975374952512567
64,84.31570258061335,84940.01701390653,66.00817860722013,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,64.0,31.0,1,77.67338495996643
65,97.9545139325076,114464.06289436,89.1514671200502,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_female,Urbanity_Urban,65.0,31.0,1,66.49961791425116
66,89.54224517167215,82296.52845898527,65.38181972059351,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,66.0,31.0,1,74.41562780870387
67,86.74006282803059,87288.64647838398,69.00384870386485,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,67.0,31.0,1,17.62652815753699
69,169.69196993099996,371956.73700819456,236.67798028563047,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_3,sex_male,Urbanity_Rural,69.0,51.0,1,64.85706667738492
70,113.63473164300173,204972.41784508066,153.81774292513006,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,70.0,81.0,1,4.892062443072906
71,102.03916807730921,119768.59845226276,92.22496817641144,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_female,Urbanity_Urban,71.0,31.0,1,64.49961791425116
72,162.28982644393744,360001.2214966153,257.01755230971173,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,72.0,81.0,1,43.53000852990404
75,182.4959209793156,422284.8292530027,298.1897657694911,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_10,sex_male,Urbanity_Urban,75.0,81.0,1,134.01922970395316
76,125.9078024536892,227948.47906350862,164.61612533145524,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,76.0,81.0,1,1.271938803255694
77,162.1387046036216,377866.0282787336,271.2379454393354,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_6,sex_male,Urbanity_Urban,77.0,81.0,1,11.996588014660801
78,96.81602498323313,100916.47702040443,79.56548624676144,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,78.0,31.0,1,5.395896264784458
79,105.32407148223614,165481.7177856146,110.25811689163768,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,79.0,21.0,1,91.74645615011173
80,93.71217226325209,109396.94925382774,87.19992176572457,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Urban,80.0,31.0,1,81.01228720013754
81,108.29336384510836,199594.70263297204,141.45835009624074,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,81.0,81.0,1,57.518589596819226
82,116.13617972484829,194196.44511803574,147.13608263287938,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,82.0,81.0,1,52.04576516791411
86,89.34459976084247,134551.6264538749,105.02115301753986,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_female,Urbanity_Urban,86.0,31.0,1,6.422690211503443
87,126.31088340855815,215146.6965900636,158.8753585570939,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,87.0,81.0,1,7.241100901637282
89,157.63327779165888,358140.9359440697,255.5088351808493,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,89.0,81.0,1,40.515502244695384
90,90.04922534282534,115855.67383213135,88.99523869555378,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Urban,90.0,31.0,1,21.43825482661324
91,160.5188280949902,378708.59066782455,270.72962924386434,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,91.0,81.0,1,4.469412443565915
92,102.35202155385349,145602.36059817663,109.10429224701694,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_7,sex_male,Urbanity_Urban,92.0,31.0,1,18.82016197122959
93,96.13091473597858,100540.87785556946,78.17595182557291,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,93.0,31.0,1,5.395896264784458
94,97.96160942445543,104271.9383634874,78.98213597550253,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_High_School,Size_3,sex_male,Urbanity_Urban,94.0,31.0,1,88.26441522119828
95,101.48073900250994,113140.70400787535,89.74403148794607,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Urban,95.0,31.0,1,85.01228720013754
