,index,n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity,w
0,0,1,4,312.5947515174914,631.0,65632.75811061822,0.113
1,1,1,4,312.5947515174914,631.0,65632.75811061822,0.113
2,2,6,4,637.2298598861562,296.0,65341.759927087274,0.113
3,3,8,4,406.72633871362433,243.0,29710.895069066504,0.113
4,4,8,8,406.72633871362433,243.0,29710.895069066504,0.113
5,5,1,8,312.5947515174914,631.0,65632.75811061822,0.113
6,6,3,6,703.625461563575,316.0,78745.14961067829,0.113
7,7,1,6,312.5947515174914,631.0,65632.75811061822,0.113
8,8,4,6,837.2166583606537,293.0,104135.99305079236,0.113
9,9,5,4,497.4279044195864,233.0,39935.241259193266,0.113
10,10,8,4,406.72633871362433,243.0,29710.895069066504,0.113
11,11,7,4,296.28054076293597,137.0,14102.799255324951,0.113
12,12,4,4,837.2166583606537,293.0,104135.99305079236,0.113
13,13,4,1,837.2166583606537,293.0,104135.99305079236,0.113
14,14,4,6,837.2166583606537,293.0,104135.99305079236,0.113
15,15,3,7,703.625461563575,316.0,78745.14961067829,0.113
16,16,8,6,406.72633871362433,243.0,29710.895069066504,0.113
17,17,1,4,312.5947515174914,631.0,65632.75811061822,0.113
18,18,0,4,719.5871280224214,262.0,77620.75573468984,0.113
19,19,4,6,837.2166583606537,293.0,104135.99305079236,0.113
20,20,7,4,296.28054076293597,137.0,14102.799255324951,0.113
21,21,8,4,406.72633871362433,243.0,29710.895069066504,0.113
22,22,4,0,837.2166583606537,293.0,104135.99305079236,0.113
23,23,4,0,837.2166583606537,293.0,104135.99305079236,0.113
24,24,3,3,703.625461563575,316.0,78745.14961067829,0.113
25,25,1,6,312.5947515174914,631.0,65632.75811061822,0.113
26,26,1,6,312.5947515174914,631.0,65632.75811061822,0.113
27,27,6,8,637.2298598861562,296.0,65341.759927087274,0.113
28,28,6,4,637.2298598861562,296.0,65341.759927087274,0.113
29,29,4,8,837.2166583606537,293.0,104135.99305079236,0.113
30,30,4,4,837.2166583606537,293.0,104135.99305079236,0.113
31,31,4,4,837.2166583606537,293.0,104135.99305079236,0.113
32,32,4,7,837.2166583606537,293.0,104135.99305079236,0.113
33,33,1,8,312.5947515174914,631.0,65632.75811061822,0.113
34,34,0,0,719.5871280224214,262.0,77620.75573468984,0.113
35,35,0,8,719.5871280224214,262.0,77620.75573468984,0.113
36,36,8,8,406.72633871362433,243.0,29710.895069066504,0.113
37,37,3,1,703.625461563575,316.0,78745.14961067829,0.113
38,38,3,6,703.625461563575,316.0,78745.14961067829,0.113
39,39,3,5,703.625461563575,316.0,78745.14961067829,0.113
40,40,0,1,719.5871280224214,262.0,77620.75573468984,0.113
41,41,1,8,312.5947515174914,631.0,65632.75811061822,0.113
42,42,0,8,719.5871280224214,262.0,77620.75573468984,0.113
43,43,6,8,637.2298598861562,296.0,65341.759927087274,0.113
44,44,4,8,837.2166583606537,293.0,104135.99305079236,0.113
45,45,6,8,637.2298598861562,296.0,65341.759927087274,0.113
46,46,0,5,719.5871280224214,262.0,77620.75573468984,0.113
47,47,4,7,837.2166583606537,293.0,104135.99305079236,0.113
48,48,8,6,406.72633871362433,243.0,29710.895069066504,0.113
49,49,8,8,406.72633871362433,243.0,29710.895069066504,0.113
50,50,8,6,406.72633871362433,243.0,29710.895069066504,0.113
51,51,6,8,637.2298598861562,296.0,65341.759927087274,0.113
52,52,8,8,406.72633871362433,243.0,29710.895069066504,0.113
53,53,6,8,637.2298598861562,296.0,65341.759927087274,0.113
54,54,4,4,837.2166583606537,293.0,104135.99305079236,0.113
55,55,4,8,837.2166583606537,293.0,104135.99305079236,0.113
56,56,4,8,837.2166583606537,293.0,104135.99305079236,0.113
57,57,4,6,837.2166583606537,293.0,104135.99305079236,0.113
58,58,4,6,837.2166583606537,293.0,104135.99305079236,0.113
59,59,6,6,637.2298598861562,296.0,65341.759927087274,0.113
60,60,5,1,497.4279044195864,233.0,39935.241259193266,0.113
61,61,8,8,406.72633871362433,243.0,29710.895069066504,0.113
62,62,8,3,406.72633871362433,243.0,29710.895069066504,0.113
63,63,8,3,406.72633871362433,243.0,29710.895069066504,0.113
64,64,8,8,406.72633871362433,243.0,29710.895069066504,0.113
65,65,8,6,406.72633871362433,243.0,29710.895069066504,0.113
66,66,6,8,637.2298598861562,296.0,65341.759927087274,0.113
67,67,4,6,837.2166583606537,293.0,104135.99305079236,0.113
68,68,4,4,837.2166583606537,293.0,104135.99305079236,0.113
69,69,5,4,497.4279044195864,233.0,39935.241259193266,0.113
70,70,6,1,637.2298598861562,296.0,65341.759927087274,0.113
71,71,6,6,637.2298598861562,296.0,65341.759927087274,0.113
72,72,3,4,703.625461563575,316.0,78745.14961067829,0.113
73,73,6,8,637.2298598861562,296.0,65341.759927087274,0.113
74,74,5,8,497.4279044195864,233.0,39935.241259193266,0.113
75,75,8,8,406.72633871362433,243.0,29710.895069066504,0.113
76,76,6,3,637.2298598861562,296.0,65341.759927087274,0.113
77,77,6,1,637.2298598861562,296.0,65341.759927087274,0.113
78,78,5,4,497.4279044195864,233.0,39935.241259193266,0.113
79,79,8,4,406.72633871362433,243.0,29710.895069066504,0.113
80,80,8,6,406.72633871362433,243.0,29710.895069066504,0.113
81,81,1,6,312.5947515174914,631.0,65632.75811061822,0.113
82,82,4,8,837.2166583606537,293.0,104135.99305079236,0.113
83,83,1,0,312.5947515174914,631.0,65632.75811061822,0.113
84,84,1,6,312.5947515174914,631.0,65632.75811061822,0.113
85,85,0,3,719.5871280224214,262.0,77620.75573468984,0.113
86,86,6,4,637.2298598861562,296.0,65341.759927087274,0.113
87,87,0,4,719.5871280224214,262.0,77620.75573468984,0.113
88,88,1,4,312.5947515174914,631.0,65632.75811061822,0.113
