,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,230902.7384028165,132.7442920877877,168.43120068235027,40.80503144654088,3.3573442653295804
1,1,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,366372.840087899,161.82308828179066,250.8866658582693,40.80503144654088,48.16973703533036
2,2,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,368576.44040246244,153.773563504159,263.76092659858074,40.80503144654088,55.649529298878676
3,3,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,145288.1615252856,59.33595007259036,114.46153851580765,40.80503144654088,0.0
4,4,sex_female,Urbanity_Urban,Size_6,age_36_45,Education_Post_Graduate,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,437152.5841967608,142.5009011652947,300.79900887535047,40.80503144654088,43.781277005746766
5,5,sex_male,Urbanity_Urban,Size_6,age_26_35,Education_Post_Graduate,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,428892.80684464745,135.2692406607035,288.97317270109687,40.80503144654088,22.2982459757863
6,6,sex_female,Urbanity_Urban,Size_8,age_66_75,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,417016.99953285756,143.11174923671032,302.82899005676035,40.80503144654088,57.47156290892806
7,7,sex_male,Urbanity_Rural,Size_10,age_36_45,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,223191.8968179524,115.43456001681876,151.9863431966363,40.80503144654088,39.890364757516856
8,8,sex_male,Urbanity_Rural,Size_9,age_26_35,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,213084.95987701844,74.28310082469366,144.11904362630906,40.80503144654088,42.15701808027456
9,9,sex_male,Urbanity_Rural,Size_3,age_66_75,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,72074.61571177481,37.100886181231395,49.49973238286962,40.80503144654088,46.60992409712715
