,index,i_Sex,i_FamilySize,i_Age,e_TV,e_Refrigeration,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_46_55,TV_yes,Refrigeration_yes,0,163297.849386,64.3422413353,113.57108419299999,2812.3333333333335,3419.5555957217725
1,1,sex_female,Size_5,age_66_75,TV_no,Refrigeration_yes,2,217944.72790700002,74.946265449,152.406274384,2812.3333333333335,1123.1281896124924
2,2,sex_female,Size_4,age_46_55,TV_yes,Refrigeration_no,2,169136.34108699998,52.2387517801,122.00933177799999,2812.3333333333335,1757.2507996133572
3,3,sex_male,Size_4,age_56_65,TV_yes,Refrigeration_no,3,177452.063783,62.0448462079,120.359345962,2812.3333333333335,5827.555776469754
4,4,sex_female,Size_4,age_36_45,TV_no,Refrigeration_yes,0,152990.171264,64.199988422,107.29469791,2812.3333333333335,2987.4941571250074
5,5,sex_male,Size_6,age_26_35,TV_yes,Refrigeration_yes,3,180207.56222999998,73.42152443020001,125.05439547299999,2812.3333333333335,1759.0154814576176
6,6,sex_male,Size_4,age_46_55,TV_yes,Refrigeration_yes,0,163297.849386,64.3422413353,113.57108419299999,2812.3333333333335,3419.5555957217725
7,7,sex_female,Size_5,age_66_75,TV_no,Refrigeration_yes,2,217944.72790700002,74.946265449,152.406274384,2812.3333333333335,1123.1281896124924
8,8,sex_female,Size_4,age_46_55,TV_yes,Refrigeration_no,2,169136.34108699998,52.2387517801,122.00933177799999,2812.3333333333335,1757.2507996133572
9,9,sex_male,Size_4,age_56_65,TV_yes,Refrigeration_no,3,177452.063783,62.0448462079,120.359345962,2812.3333333333335,5827.555776469754
10,10,sex_female,Size_4,age_36_45,TV_no,Refrigeration_yes,0,152990.171264,64.199988422,107.29469791,2812.3333333333335,2987.4941571250074
11,11,sex_male,Size_6,age_26_35,TV_yes,Refrigeration_yes,3,180207.56222999998,73.42152443020001,125.05439547299999,2812.3333333333335,1759.0154814576176
