,index,i_Sex,i_FamilySize,i_Age,e_Refrigeration,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_46_55,Refrigeration_yes,AC_no,2,139783.97751099998,57.9895265842,96.2349693185,3093.1666666666665,5956.325109120567
1,1,sex_female,Size_4,age_66_75,Refrigeration_no,AC_no,2,192641.837865,60.5319492553,134.025127876,3093.1666666666665,1236.3639423544944
2,2,sex_female,Size_3,age_46_55,Refrigeration_yes,AC_yes,2,146081.090191,96.32808239459999,104.36443934,3093.1666666666665,708.1601686828799
3,3,sex_male,Size_3,age_56_65,Refrigeration_yes,AC_yes,3,152735.283745,105.076309295,102.60199103,3093.1666666666665,4349.263373786058
4,4,sex_female,Size_3,age_36_45,Refrigeration_no,AC_no,3,223016.34294699997,74.93430908970001,169.272021085,3093.1666666666665,4431.3110174587955
5,5,sex_male,Size_5,age_26_35,Refrigeration_no,AC_no,3,158442.17058900002,56.425252344099995,109.137330942,3093.1666666666665,1877.576388597205
6,6,sex_male,Size_3,age_46_55,Refrigeration_yes,AC_no,2,139783.97751099998,57.9895265842,96.2349693185,3093.1666666666665,5956.325109120567
7,7,sex_female,Size_4,age_66_75,Refrigeration_no,AC_no,2,192641.837865,60.5319492553,134.025127876,3093.1666666666665,1236.3639423544944
8,8,sex_female,Size_3,age_46_55,Refrigeration_yes,AC_yes,2,146081.090191,96.32808239459999,104.36443934,3093.1666666666665,708.1601686828799
9,9,sex_male,Size_3,age_56_65,Refrigeration_yes,AC_yes,3,152735.283745,105.076309295,102.60199103,3093.1666666666665,4349.263373786058
10,10,sex_female,Size_3,age_36_45,Refrigeration_no,AC_no,3,223016.34294699997,74.93430908970001,169.272021085,3093.1666666666665,4431.3110174587955
11,11,sex_male,Size_5,age_26_35,Refrigeration_no,AC_no,3,158442.17058900002,56.425252344099995,109.137330942,3093.1666666666665,1877.576388597205
