,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Rural,Size_7,age_66_75,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,219924.707302,118.772435929,156.432374784,42.483870967741936,5.525051997533929
1,1,sex_male,Urbanity_Rural,Size_5,age_19_25,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,163216.58613699998,97.06700996020001,109.215103144,42.483870967741936,0.0
2,2,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,299512.845907,137.591636889,211.59462751799998,42.483870967741936,0.0
3,3,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,290906.55443200003,145.667176097,209.260757665,42.483870967741936,19.388731515784976
4,4,sex_female,Urbanity_Rural,Size_8,age_56_65,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,228172.645314,112.824626841,160.685864504,42.483870967741936,0.0
5,5,sex_male,Urbanity_Rural,Size_9,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,238408.59812100002,126.17921228,167.799910339,42.483870967741936,31.9045517609594
6,6,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,93622.3119502,76.6268881464,61.4482004914,42.483870967741936,29.83199786952644
7,7,sex_female,Urbanity_Urban,Size_6,age_36_45,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,206919.04421199998,112.189259091,153.841032331,42.483870967741936,24.73499903677303
8,8,sex_female,Urbanity_Urban,Size_7,age_56_65,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,321610.730545,140.267194168,237.81154819999998,42.483870967741936,0.0
9,9,sex_male,Urbanity_Urban,Size_8,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,271391.848621,133.570458362,200.236524848,42.483870967741936,29.98195700997096
10,10,sex_male,Urbanity_Urban,Size_7,age_36_45,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,203024.443948,112.708236862,148.26171278299998,42.483870967741936,64.29472007544183
11,11,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,208531.205843,111.98336406700001,156.186703331,42.483870967741936,100.0371676686008
12,12,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_yes,Refrigeration_yes,AC_yes,161049.491112,99.7383671851,114.35673972299999,42.483870967741936,93.05605067620569
