,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,79.16283526580506,96908.44104669476,77.11913010230106,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,0.0,31.0,1,52.97013856274544
2,71.8972534059459,192971.42346440343,144.81729483731223,AC_no,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,2.0,81.0,1,8.616152285236183
3,84.26551109823205,77922.01280924317,62.85881190955031,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_1,sex_female,Urbanity_Urban,3.0,31.0,1,39.267199055457326
4,151.7418533881873,370714.28604410397,261.11722501968217,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,4.0,81.0,1,17.05480153603157
5,103.92267947076448,181025.05978810962,125.05729703870294,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,5.0,51.0,1,15.113246819872607
8,122.33069646996596,389146.0290295693,275.0712520605068,AC_no,Cooking_no,Lighting_yes,TV_yes,age_76_85,Education_College,Size_4,sex_male,Urbanity_Urban,8.0,81.0,1,10.6879676018429
9,44.7655059415202,85948.80092434707,67.44803649789591,AC_no,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,9.0,31.0,1,121.43171610512564
11,85.02648233363712,90321.74976306016,71.83581710715673,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,11.0,31.0,1,76.16193054640941
12,103.0177606688668,172435.2339698035,121.4124888432034,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,12.0,21.0,1,25.0569950464751
13,93.94087662893871,119895.61545852652,92.23030255534714,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Urban,13.0,31.0,1,51.84225175495161
15,114.83028083410505,351276.0278607945,245.9775059364296,AC_no,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,15.0,81.0,1,47.65693618360837
17,121.89381471102678,234760.5314400423,172.30995481997851,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,17.0,81.0,1,0.687921860466271
18,55.51334382993904,120824.39064737356,93.5932732164703,AC_no,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,18.0,31.0,1,71.10385136278019
19,151.9755816023182,346652.5854042373,240.55799606168927,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,19.0,81.0,1,7.550517962172087
20,87.13800237961573,229179.39901959558,163.27000807251403,AC_no,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,20.0,81.0,1,8.080310479760145
22,118.30997261404957,208532.60367923023,155.20053939642364,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,22.0,81.0,1,59.10804282385561
24,152.36427012641118,349333.20098845474,235.05758792731282,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Rural,24.0,51.0,1,21.216240487572676
25,167.9792789208956,383111.8491197512,269.53387090880415,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,25.0,81.0,1,20.756835089485367
26,89.83370369248331,111848.72167470492,87.06789796272939,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,26.0,31.0,1,10.217970714128922
28,162.19214317028067,372406.0377580412,259.2903659803963,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,28.0,81.0,1,50.296932553177406
