i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,c_i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,c_w_Education,i_Intercept,Income__0,e_Intercept,Electricity__0,w_Intercept,Water__0
0,830.801672249,1,7108.00197033,2,1667.05360338,60.2094383658,119.270293375,3,19029.3589177,1,-27.303949627,1,17.4344991282,1,30.8667458593,1,59.1165592551,1,203.551316909,1,23.3536342803,0.00147741208573,121.179009979,1003.68603571,0.0542105042065,52.2809486358,4.817953831,2,67.8927120757,1147.66399223,496856.232841,3.2999838733,197.858166311,-601.591950028,370.606113858
1,830.801672249,1,7108.00197033,2,1667.05360338,60.2094383658,119.270293375,3,19029.3589177,1,-27.303949627,1,17.4344991282,1,30.8667458593,1,59.1165592551,1,203.551316909,1,23.3536342803,0.00147741208573,121.179009979,1003.68603571,0.0542105042065,52.2809486358,4.817953831,1,67.8927120757,1147.66399223,507776.481287,3.2999838733,200.914702342,-601.591950028,380.067479929
0,1016.60891412,0,7175.54501399,2,1663.88516244,49.3887751551,116.672195376,3,18423.2745978,1,6.09726327836,1,21.226902428,1,32.1706893822,1,61.6565227297,1,201.302074541,1,25.3413770887,0.00139702584331,100.262585511,1023.81093711,0.0541932148707,43.6646756636,6.21769817694,3,139.678835956,1147.66399223,376726.857744,3.2999838733,166.222193206,-601.591950028,273.662338211
1,765.758847473,1,7135.44727647,1,1615.62288263,46.6814178302,109.14831488,3,18621.0452818,1,-0.558654366946,1,15.2903827171,1,28.2237220314,1,55.1961119279,1,209.235469374,1,24.2902134797,0.00145701013085,103.442411833,962.23723865,0.0517576060757,55.0609392978,7.18386535187,1,62.0420442699,1147.66399223,451908.313985,3.2999838733,188.202267442,-601.591950028,324.107603607
0,746.186424125,1,7168.94727958,1,1648.50587345,48.4682743253,121.799523642,3,18888.7855902,1,-15.3102612552,1,20.9771926139,0,28.5479991166,1,60.7806671673,1,202.364705989,1,25.420225674,0.00148971673432,95.0516376976,977.674628287,0.0528885159966,34.5055284021,5.43926638895,2,38.5273489219,1147.66399223,456858.156201,3.2999838733,185.305483669,-601.591950028,331.0331964
0,950.938357078,1,6996.6193017,1,1695.08158792,60.6244879613,110.474552708,3,18641.6539567,1,-17.6703277761,1,18.6646687189,1,27.325862994,1,60.0950673663,1,202.77905189,1,25.6147765276,0.00140547970485,87.4096597349,1015.7011884,0.0537553169729,56.912676341,5.79013865103,0,162.298889557,1147.66399223,462394.066547,3.2999838733,183.765783978,-601.591950028,347.122020923
0,950.938357078,1,6996.6193017,1,1695.08158792,60.6244879613,110.474552708,3,18641.6539567,1,-17.6703277761,1,18.6646687189,1,27.325862994,1,60.0950673663,1,202.77905189,1,25.6147765276,0.00140547970485,87.4096597349,1015.7011884,0.0537553169729,56.912676341,5.79013865103,2,162.298889557,1147.66399223,462394.066547,3.2999838733,183.765783978,-601.591950028,347.122020923
1,912.763738134,1,7106.01787093,0,1676.6020377,62.6092640318,109.45633582,3,18824.2392465,1,19.1297909158,1,18.1810376501,0,28.2759919823,1,62.1117710208,1,200.961485778,1,26.8890795107,0.00142075204884,94.6834278342,1004.10546305,0.053320725886,59.0246996486,5.43741152672,2,116.698832568,1147.66399223,457993.160705,3.2999838733,185.901516291,-601.591950028,339.734788276
0,893.598200133,1,7134.33028826,0,1654.98093801,38.8939791031,124.24607117,3,18647.9231767,1,-15.6218242929,1,18.9183333963,1,29.205934641,1,56.6897083366,1,205.725316994,1,22.1887303917,0.00143997520413,100.627720113,997.342904192,0.0530735822473,40.0210670089,6.69522870831,3,93.1296930431,1147.66399223,417491.529667,3.2999838733,174.594318387,-601.591950028,306.370073976
1,736.856101778,0,7328.64945463,2,1627.85024777,50.2927071926,113.493062265,3,19589.1594759,1,25.0282163186,1,18.586055219,1,28.405938825,1,58.3664519998,1,201.364010699,1,24.3006531847,0.00148499554603,83.138504155,968.836118209,0.0539261756726,53.5298361049,7.00596517798,2,13.2852260889,1147.66399223,400074.266112,3.2999838733,180.633270911,-601.591950028,285.965636668
0,1037.84757516,1,7236.36701542,2,1635.29141731,42.9606354799,120.560354743,3,18880.4810708,1,19.6740298415,1,19.3110033162,1,30.3936102332,1,60.6074264073,1,201.783008301,1,26.0746645495,0.00140279663335,92.9898951827,963.106214429,0.0516334377528,60.0500283246,5.54060783146,2,60.6365114972,1147.66399223,469438.878898,3.2999838733,193.177002717,-601.591950028,333.52656357
