,Electricity,Income,Water,e_Cooking,e_Lighting,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
1,135.807944266,267561.60305700003,207.60917348099997,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,1.0,81.0,1,5.053654516408372
2,97.1832692169,162513.448537,112.175070873,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Rural,2.0,21.0,1,17.021573181165923
3,86.13282509860001,144455.89411,98.3908865827,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,3.0,21.0,1,86.86330149013399
5,102.84240784299999,186960.123824,133.721175395,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,5.0,51.0,1,5.895846673550086
6,131.118912941,233545.980318,176.514405345,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,6.0,81.0,1,2.92583905154666
7,120.261767851,209781.711163,159.593582594,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,7.0,81.0,1,4.691115537838721
10,123.60835651200001,270348.432293,189.90782378400002,Cooking_no,Lighting_yes,age_46_55,Education_Post_Graduate,Size_5,sex_male,Urbanity_Urban,10.0,81.0,1,9.640372344765744
11,105.246800826,160439.495273,113.531490416,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,11.0,31.0,1,5.076508327796875
12,111.82320249899999,187684.841373,140.50504061799998,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,12.0,81.0,1,24.820762244283316
13,114.51940295899999,188231.362534,142.958909987,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,13.0,81.0,1,21.820762244283316
14,122.975251719,242436.758533,171.53096833200001,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,14.0,81.0,1,24.53443600553922
15,89.80985320959999,115245.881144,85.4012681968,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,15.0,31.0,1,57.770747696585005
16,91.6303804093,133320.205404,99.02353915290001,Cooking_no,Lighting_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,16.0,31.0,1,19.64353223207575
17,126.274328918,212476.86097,157.874072074,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,17.0,81.0,1,31.506675780475916
18,125.163408366,219284.507196,147.79997732299998,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_8,sex_male,Urbanity_Rural,18.0,51.0,1,3.886489312227667
19,126.10017831799999,235084.203834,159.84032821600002,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Graduate,Size_7,sex_female,Urbanity_Rural,19.0,51.0,1,9.915591290027535
20,131.148960354,248330.376382,183.82254162599997,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,20.0,81.0,1,7.420968261503816
21,129.450048399,256381.627299,190.930915498,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,21.0,81.0,1,32.1695535023792
22,92.2998371318,114346.441122,85.7847678062,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,22.0,31.0,1,59.378775367731876
23,147.714013529,276490.49402,202.05257591900002,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,23.0,81.0,1,1.8169086711991724
24,142.228363544,266551.099574,191.727575599,Cooking_yes,Lighting_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Urban,24.0,81.0,1,10.013608872155036
26,124.97839441,222504.299541,164.289672218,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,26.0,81.0,1,2.103234909943245
27,111.832875983,177047.058084,131.838405646,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,27.0,31.0,1,22.520883876593132
28,105.975160262,195964.223772,129.805935309,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,28.0,51.0,1,44.898847198331055
31,111.92445947,200584.397989,131.83626548700002,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_4,sex_male,Urbanity_Rural,31.0,51.0,1,22.344134145531953
32,114.60507449200001,218258.209918,148.961738169,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,32.0,51.0,1,13.343274613568802
33,120.23996117,217854.706981,162.453861386,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_7,sex_male,Urbanity_Urban,33.0,61.0,1,8.856333029469774
35,120.671839243,221536.968623,148.945045762,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Rural,35.0,51.0,1,13.128092582702998
36,103.85661150700001,137376.569201,104.012945525,Cooking_yes,Lighting_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,36.0,31.0,1,3.6357161382061243
37,136.739515386,256269.666431,186.336632421,Cooking_no,Lighting_yes,age_26_35,Education_College,Size_4,sex_male,Urbanity_Urban,37.0,81.0,1,11.569967192521169
38,112.528053877,199648.407537,146.895017455,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,38.0,81.0,1,16.0614761703348
40,125.34779702700001,212460.801311,157.986023913,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,40.0,81.0,1,8.659593230309447
42,117.978311054,216620.454686,143.466606394,Cooking_no,Lighting_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Rural,42.0,51.0,1,10.565506709710299
43,104.675716409,135638.815812,98.9901620914,Cooking_yes,Lighting_yes,age_26_35,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,43.0,31.0,1,9.857948234347688
45,106.024737871,168175.80371500002,125.68774736399999,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,45.0,31.0,1,68.89124450908916
46,122.152618983,233071.474505,161.073286355,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Rural,46.0,51.0,1,7.786916293202598
47,126.174875739,243996.651744,183.16084004900003,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,47.0,81.0,1,4.317811380399707
48,111.2317601,204199.238606,137.98522811700002,Cooking_no,Lighting_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Rural,48.0,51.0,1,7.134082995046569
49,100.20907282799999,160793.544941,122.871295915,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_2,sex_female,Urbanity_Urban,49.0,31.0,1,13.277738708606211
50,123.046499439,240060.100567,172.42002535900002,Cooking_no,Lighting_yes,age_46_55,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,50.0,81.0,1,30.411126960393858
51,105.864158117,197172.472267,146.878294251,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_5,sex_female,Urbanity_Urban,51.0,61.0,1,10.51246222231423
52,88.2977943211,134497.996398,100.15651119700001,Cooking_no,Lighting_yes,age_56_65,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,52.0,31.0,1,17.035504560928878
53,131.688038488,222977.07932600004,162.40339652,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,53.0,81.0,1,3.685125125495148
54,115.80742814700001,199621.678423,150.24682806799999,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,54.0,81.0,1,22.455879741123184
56,88.99982197780001,98142.12349260002,63.5167047762,Cooking_yes,Lighting_yes,age_19_25,Education_Elementary_School,Size_7,sex_male,Urbanity_Rural,56.0,1.0,1,92.85567188995644
61,95.1658193424,101573.061928,66.2978677905,Cooking_yes,Lighting_yes,age_19_25,Education_Elementary_School,Size_7,sex_male,Urbanity_Rural,61.0,1.0,1,95.85567188995644
63,144.519153107,307270.34419000003,221.05597933099997,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_8,sex_male,Urbanity_Urban,63.0,81.0,1,11.971331740980567
64,115.02986099299999,209075.450668,147.43015573899999,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_7,sex_male,Urbanity_Rural,64.0,51.0,1,8.63168980955875
65,142.490934726,293674.036239,214.362909889,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,65.0,81.0,1,1.232168965604222
66,118.468705878,202284.635944,149.941875288,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,66.0,81.0,1,2.691115537838721
67,108.252420683,138355.024972,107.006974905,Cooking_yes,Lighting_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,67.0,31.0,1,5.635716138206124
69,116.22184857799999,201031.979114,144.182917488,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,69.0,81.0,1,8.097007357316748
71,130.192992833,223703.16620700003,166.40389228700002,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,71.0,81.0,1,2.318416940809053
72,130.60578693899998,225278.838072,169.496773307,Cooking_yes,Lighting_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,72.0,81.0,1,5.136315147979811
73,98.4448706287,150852.76047100002,103.84089560700001,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,73.0,21.0,1,76.42588736312663
74,129.28854064,234345.982059,170.312267044,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,74.0,81.0,1,34.29372207948772
75,113.384771309,163145.882141,121.801638307,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_2,sex_male,Urbanity_Urban,75.0,31.0,1,10.88576637975316
78,120.462692891,206765.114982,143.742684527,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,78.0,51.0,1,40.557670908830715
79,118.50809603799999,224727.256195,163.059195201,Cooking_no,Lighting_yes,age_66_75,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,79.0,81.0,1,8.297246087812184
81,102.137168711,151407.241402,111.79640089799999,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,81.0,31.0,1,13.243138248943733
85,134.294458714,270395.180417,197.908218237,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,85.0,81.0,1,10.158084960699576
87,116.517990224,208883.63257,145.013336982,Cooking_no,Lighting_yes,age_56_65,Education_College,Size_2,sex_female,Urbanity_Rural,87.0,51.0,1,4.526055323899609
88,107.42412719100001,181300.850634,133.782223202,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,88.0,61.0,1,12.879775967409593
89,107.600594448,171915.593236,132.10327047299998,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Urban,89.0,31.0,1,20.8542440722239
91,121.14487825200001,210918.421386,164.15928127799998,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,91.0,81.0,1,23.08856599602781
92,119.575589245,216405.532848,167.075643465,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,92.0,81.0,1,5.9003071563609595
93,109.947253213,192279.18901,137.275212549,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,93.0,81.0,1,15.820762244283316
94,126.558634891,221840.532838,165.348213697,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,94.0,81.0,1,6.051565559162501
