,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,120.868588852,235643.656965,170.6719118,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,0.0,81.0,1,11.128565498128413
1,110.15165597200001,190985.244213,143.753438971,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Urban,1.0,61.0,1,25.052871912895775
2,134.745189164,248217.247904,183.986308531,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,2.0,81.0,1,6.813419082881275
3,141.123229691,296692.481862,207.961560514,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_6,sex_female,Urbanity_Urban,3.0,81.0,1,7.474571773594553
7,126.48150063799999,199050.038097,144.558975708,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,7.0,61.0,1,11.57600794149856
8,138.025647196,257495.310309,188.192208965,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,8.0,81.0,1,47.9257526033538
9,85.98995456549999,120016.580757,77.7116254634,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Rural,9.0,1.0,1,118.881794769
10,135.043238423,260493.396025,191.009800488,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,10.0,81.0,1,41.9257526033538
11,128.80487987799998,229851.528037,172.296314643,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,11.0,81.0,1,17.4517598507364
12,96.9613660351,136719.86999200002,98.76389179040001,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,12.0,31.0,1,70.83388215204565
