,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,135.535021569,247351.036492,173.83325558299995,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,0.0,81.0,1,7.6019494500500215
1,110.49633747899999,189543.842307,135.08989704299998,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,1.0,81.0,1,11.834577777655568
2,100.29629929299999,145841.92338599998,99.5244966664,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,2.0,21.0,1,59.523338420795895
3,115.9452796,185823.056718,134.573486245,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,3.0,81.0,1,15.834577777655568
4,133.75355358299998,258388.389644,180.323062152,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,4.0,81.0,1,16.794437024066042
5,83.4698418733,79766.4485845,50.9138317611,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,5.0,1.0,1,55.22101709013321
8,120.23793200899999,200652.764449,148.41890355299998,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,8.0,81.0,1,12.616405234255197
9,117.57348878399999,211911.044148,158.809426492,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,9.0,81.0,1,2.604957716560488
10,89.4145878082,111337.169775,83.74255597300001,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,10.0,31.0,1,66.95628123684824
11,86.4648230933,104429.403072,76.1018960239,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,11.0,31.0,1,59.61456092374928
12,116.83605371700001,194295.200623,141.691366767,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,12.0,81.0,1,20.633337328699213
13,84.8572205487,112210.817304,84.16425177069999,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,13.0,31.0,1,55.95628123684824
