,index,n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity,w
0,0,4,6,837.2166583610001,293.0,104624.120488,0.13
1,1,4,6,837.2166583610001,293.0,104624.120488,0.13
2,2,8,8,406.726338714,243.0,29850.162028099996,0.13
3,3,8,8,406.726338714,243.0,29850.162028099996,0.13
4,4,8,6,406.726338714,243.0,29850.162028099996,0.13
5,5,8,6,406.726338714,243.0,29850.162028099996,0.13
6,6,8,1,406.726338714,243.0,29850.162028099996,0.13
7,7,6,6,637.229859886,296.0,65648.0431331,0.13
8,8,7,8,296.280540763,137.0,14168.9047685,0.13
9,9,4,4,837.2166583610001,293.0,104624.120488,0.13
10,10,4,4,837.2166583610001,293.0,104624.120488,0.13
11,11,4,4,837.2166583610001,293.0,104624.120488,0.13
12,12,6,4,637.229859886,296.0,65648.0431331,0.13
13,13,1,4,312.594751517,631.0,65940.4053426,0.13
14,14,8,4,406.726338714,243.0,29850.162028099996,0.13
15,15,0,4,719.587128022,262.0,77984.59555089999,0.13
16,16,6,4,637.229859886,296.0,65648.0431331,0.13
17,17,4,4,837.2166583610001,293.0,104624.120488,0.13
18,18,4,4,837.2166583610001,293.0,104624.120488,0.13
19,19,4,4,837.2166583610001,293.0,104624.120488,0.13
20,20,4,8,837.2166583610001,293.0,104624.120488,0.13
21,21,4,8,837.2166583610001,293.0,104624.120488,0.13
22,22,4,3,837.2166583610001,293.0,104624.120488,0.13
23,23,4,4,837.2166583610001,293.0,104624.120488,0.13
24,24,4,4,837.2166583610001,293.0,104624.120488,0.13
25,25,8,8,406.726338714,243.0,29850.162028099996,0.13
26,26,8,8,406.726338714,243.0,29850.162028099996,0.13
27,27,8,0,406.726338714,243.0,29850.162028099996,0.13
28,28,3,6,703.6254615639999,316.0,79114.259915,0.13
29,29,6,8,637.229859886,296.0,65648.0431331,0.13
30,30,8,8,406.726338714,243.0,29850.162028099996,0.13
31,31,1,8,312.594751517,631.0,65940.4053426,0.13
32,32,1,8,312.594751517,631.0,65940.4053426,0.13
33,33,8,8,406.726338714,243.0,29850.162028099996,0.13
34,34,6,4,637.229859886,296.0,65648.0431331,0.13
35,35,4,6,837.2166583610001,293.0,104624.120488,0.13
36,36,4,5,837.2166583610001,293.0,104624.120488,0.13
37,37,4,6,837.2166583610001,293.0,104624.120488,0.13
38,38,4,6,837.2166583610001,293.0,104624.120488,0.13
39,39,4,4,837.2166583610001,293.0,104624.120488,0.13
40,40,8,8,406.726338714,243.0,29850.162028099996,0.13
41,41,8,4,406.726338714,243.0,29850.162028099996,0.13
42,42,4,4,837.2166583610001,293.0,104624.120488,0.13
43,43,4,4,837.2166583610001,293.0,104624.120488,0.13
44,44,8,8,406.726338714,243.0,29850.162028099996,0.13
45,45,8,4,406.726338714,243.0,29850.162028099996,0.13
46,46,6,1,637.229859886,296.0,65648.0431331,0.13
47,47,8,4,406.726338714,243.0,29850.162028099996,0.13
48,48,8,8,406.726338714,243.0,29850.162028099996,0.13
49,49,6,5,637.229859886,296.0,65648.0431331,0.13
50,50,1,6,312.594751517,631.0,65940.4053426,0.13
51,51,5,6,497.42790442,233.0,40122.4338562,0.13
52,52,1,4,312.594751517,631.0,65940.4053426,0.13
53,53,1,8,312.594751517,631.0,65940.4053426,0.13
54,54,3,8,703.6254615639999,316.0,79114.259915,0.13
55,55,6,0,637.229859886,296.0,65648.0431331,0.13
56,56,4,1,837.2166583610001,293.0,104624.120488,0.13
57,57,3,4,703.6254615639999,316.0,79114.259915,0.13
58,58,6,8,637.229859886,296.0,65648.0431331,0.13
59,59,8,8,406.726338714,243.0,29850.162028099996,0.13
60,60,8,8,406.726338714,243.0,29850.162028099996,0.13
61,61,6,8,637.229859886,296.0,65648.0431331,0.13
62,62,0,8,719.587128022,262.0,77984.59555089999,0.13
63,63,1,5,312.594751517,631.0,65940.4053426,0.13
64,64,6,0,637.229859886,296.0,65648.0431331,0.13
65,65,1,7,312.594751517,631.0,65940.4053426,0.13
66,66,8,3,406.726338714,243.0,29850.162028099996,0.13
67,67,8,8,406.726338714,243.0,29850.162028099996,0.13
68,68,1,6,312.594751517,631.0,65940.4053426,0.13
69,69,6,6,637.229859886,296.0,65648.0431331,0.13
70,70,0,7,719.587128022,262.0,77984.59555089999,0.13
71,71,1,0,312.594751517,631.0,65940.4053426,0.13
72,72,1,4,312.594751517,631.0,65940.4053426,0.13
73,73,4,4,837.2166583610001,293.0,104624.120488,0.13
74,74,4,5,837.2166583610001,293.0,104624.120488,0.13
75,75,6,6,637.229859886,296.0,65648.0431331,0.13
76,76,8,6,406.726338714,243.0,29850.162028099996,0.13
77,77,7,8,296.280540763,137.0,14168.9047685,0.13
78,78,1,0,312.594751517,631.0,65940.4053426,0.13
79,79,0,3,719.587128022,262.0,77984.59555089999,0.13
80,80,3,4,703.6254615639999,316.0,79114.259915,0.13
81,81,6,4,637.229859886,296.0,65648.0431331,0.13
82,82,6,4,637.229859886,296.0,65648.0431331,0.13
83,83,0,4,719.587128022,262.0,77984.59555089999,0.13
84,84,0,3,719.587128022,262.0,77984.59555089999,0.13
85,85,7,1,296.280540763,137.0,14168.9047685,0.13
86,86,8,0,406.726338714,243.0,29850.162028099996,0.13
87,87,8,8,406.726338714,243.0,29850.162028099996,0.13
88,88,8,4,406.726338714,243.0,29850.162028099996,0.13
89,89,4,4,837.2166583610001,293.0,104624.120488,0.13
90,90,4,4,837.2166583610001,293.0,104624.120488,0.13
91,91,4,4,837.2166583610001,293.0,104624.120488,0.13
92,92,8,4,406.726338714,243.0,29850.162028099996,0.13
93,93,8,6,406.726338714,243.0,29850.162028099996,0.13
94,94,8,4,406.726338714,243.0,29850.162028099996,0.13
95,95,8,4,406.726338714,243.0,29850.162028099996,0.13
96,96,1,4,312.594751517,631.0,65940.4053426,0.13
97,97,7,6,296.280540763,137.0,14168.9047685,0.13
98,98,4,4,837.2166583610001,293.0,104624.120488,0.13
99,99,1,4,312.594751517,631.0,65940.4053426,0.13
100,100,4,4,837.2166583610001,293.0,104624.120488,0.13
101,101,4,4,837.2166583610001,293.0,104624.120488,0.13
102,102,8,4,406.726338714,243.0,29850.162028099996,0.13
