,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,118.772435929,219924.707302,156.432374784,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_Post_Secondary,Size_7,sex_male,Urbanity_Rural,0.0,51.0,1,3.525051997533928
3,145.667176097,290906.55443200003,209.260757665,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_6,sex_male,Urbanity_Urban,3.0,81.0,1,7.388731515784976
5,126.17921228,238408.598121,167.799910339,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_9,sex_male,Urbanity_Rural,5.0,51.0,1,7.9045517609593965
6,76.6268881464,93622.3119502,61.4482004914,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Rural,6.0,1.0,1,29.831997869526443
7,112.189259091,206919.044212,153.841032331,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_6,sex_female,Urbanity_Urban,7.0,61.0,1,10.734999036773033
9,133.570458362,271391.848621,200.236524848,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,9.0,81.0,1,9.981957009970962
10,112.708236862,203024.443948,148.26171278299998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_7,sex_male,Urbanity_Urban,10.0,61.0,1,24.29472007544183
11,111.98336406700001,208531.205843,156.186703331,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,11.0,81.0,1,23.037167668600787
12,99.7383671851,161049.491112,114.35673972299999,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,12.0,21.0,1,61.056050676205686
13,104.23959634299999,163035.69302,109.867172254,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,13.0,21.0,1,24.611179828315485
14,117.21739272200001,192550.687352,131.316222253,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Rural,14.0,51.0,1,6.100100268022793
15,126.90707209,250397.22121100003,181.229441435,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,15.0,81.0,1,13.812487882766476
16,104.907740805,174042.171741,131.557957356,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,16.0,31.0,1,30.077541172604676
17,78.8681013633,66748.7518724,42.738893035,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,17.0,1.0,1,58.08894178223147
18,121.67633823,212506.586942,161.287750271,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,18.0,81.0,1,14.654038398012105
19,128.107732841,270606.509005,194.781980578,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_College,Size_2,sex_female,Urbanity_Urban,19.0,81.0,1,19.511910797373403
20,94.2601768201,141228.493026,97.00277285860001,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,20.0,21.0,1,109.75207267746427
24,124.858877463,228611.247787,169.629865268,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,24.0,81.0,1,14.902398359443168
26,113.23225657100001,210515.178458,144.690627813,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_86_100,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,26.0,51.0,1,169.9999908168811
28,96.3382462059,156013.409004,107.91335401200001,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_6,sex_male,Urbanity_Rural,28.0,1.0,1,5.8900841721223545
30,88.2661706823,209188.283287,153.709245098,AC_no,Cooking_yes,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_7,sex_male,Urbanity_Urban,30.0,61.0,1,13.441132380660676
32,109.527216085,180183.720653,130.221319326,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Elementary_School,Size_8,sex_male,Urbanity_Urban,32.0,61.0,1,16.59773066557554
33,132.859260689,255430.674219,185.35553537799998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,33.0,81.0,1,17.307724261994572
36,123.756517199,232507.664724,170.540861288,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,36.0,81.0,1,9.14295883771937
38,122.91971326299999,233899.483741,156.063172058,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Rural,38.0,51.0,1,4.513470136606751
39,101.66878887200001,134957.06232599998,97.6732984114,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,39.0,31.0,1,22.72931777449459
40,96.22825914549999,120536.065718,81.5613079574,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_High_School,Size_4,sex_female,Urbanity_Rural,40.0,1.0,1,32.51239527681665
42,128.634156684,243276.294653,173.298792072,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,42.0,81.0,1,0.9459469283716748
43,134.62126414,262526.961218,188.10358721900002,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,43.0,81.0,1,10.53332994657076
44,95.0489017849,124311.619802,92.59575783540001,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,44.0,31.0,1,67.45592941485769
45,112.711439181,202364.077237,136.417636794,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Rural,45.0,51.0,1,27.051223046086506
46,124.39680411200001,220136.480856,164.61087628200002,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,46.0,81.0,1,20.100342064489077
47,98.5241291552,147923.192301,112.575632775,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,47.0,31.0,1,5.532305865146887
48,120.02456797100001,197596.984105,145.963972799,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,48.0,81.0,1,32.346342918048364
49,109.49480376700001,318175.785561,228.73275129200002,AC_no,Cooking_no,Lighting_no,Refrigeration_yes,age_76_85,Education_College,Size_5,sex_female,Urbanity_Urban,49.0,81.0,1,0.1572495660602149
52,99.5350482133,141203.260752,102.39299081,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,52.0,31.0,1,24.72931777449459
53,120.793790144,211886.356854,158.719631999,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,53.0,81.0,1,25.037167668600787
54,125.88414902,226041.199814,169.725466965,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,54.0,81.0,1,9.457026488664376
55,137.988922389,269343.002464,189.41718045099998,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,55.0,81.0,1,10.398059614524477
57,93.09638619809999,124083.872294,82.7736928563,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Rural,57.0,1.0,1,30.40116373241509
58,106.130331516,150745.94698,111.541763876,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,58.0,31.0,1,74.190891332565
59,100.782803524,132004.486694,98.62924914879999,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_56_65,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,59.0,31.0,1,37.73684473753442
60,131.532201609,262257.48180500005,193.425197935,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,60.0,81.0,1,6.981957009970962
61,107.151464369,168196.063429,121.700752631,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,61.0,31.0,1,61.8271515727004
62,90.7352981822,118765.37413599998,77.93566412060001,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_3,sex_female,Urbanity_Rural,62.0,1.0,1,117.98037311665331
65,136.137770967,259375.709966,185.99665398599998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,65.0,81.0,1,27.084996641620478
