,index,n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity,w
0,0,4,6,837.2166583610001,293.0,104624.120488,0.12
1,1,4,6,837.2166583610001,293.0,104624.120488,0.12
2,2,8,8,406.726338714,243.0,29850.162028099996,0.12
3,3,8,8,406.726338714,243.0,29850.162028099996,0.12
4,4,8,6,406.726338714,243.0,29850.162028099996,0.12
5,5,8,6,406.726338714,243.0,29850.162028099996,0.12
6,6,8,1,406.726338714,243.0,29850.162028099996,0.12
7,7,6,6,637.229859886,296.0,65648.0431331,0.12
8,8,7,8,296.280540763,137.0,14168.9047685,0.12
9,9,4,4,837.2166583610001,293.0,104624.120488,0.12
10,10,4,4,837.2166583610001,293.0,104624.120488,0.12
11,11,4,4,837.2166583610001,293.0,104624.120488,0.12
12,12,6,4,637.229859886,296.0,65648.0431331,0.12
13,13,1,4,312.594751517,631.0,65940.4053426,0.12
14,14,8,4,406.726338714,243.0,29850.162028099996,0.12
15,15,0,4,719.587128022,262.0,77984.59555089999,0.12
16,16,6,4,637.229859886,296.0,65648.0431331,0.12
17,17,4,4,837.2166583610001,293.0,104624.120488,0.12
18,18,4,4,837.2166583610001,293.0,104624.120488,0.12
19,19,4,4,837.2166583610001,293.0,104624.120488,0.12
20,20,4,8,837.2166583610001,293.0,104624.120488,0.12
21,21,4,8,837.2166583610001,293.0,104624.120488,0.12
22,22,4,3,837.2166583610001,293.0,104624.120488,0.12
23,23,4,4,837.2166583610001,293.0,104624.120488,0.12
24,24,4,4,837.2166583610001,293.0,104624.120488,0.12
25,25,8,8,406.726338714,243.0,29850.162028099996,0.12
26,26,8,8,406.726338714,243.0,29850.162028099996,0.12
27,27,8,0,406.726338714,243.0,29850.162028099996,0.12
28,28,3,6,703.6254615639999,316.0,79114.259915,0.12
29,29,6,8,637.229859886,296.0,65648.0431331,0.12
30,30,8,8,406.726338714,243.0,29850.162028099996,0.12
31,31,1,8,312.594751517,631.0,65940.4053426,0.12
32,32,1,8,312.594751517,631.0,65940.4053426,0.12
33,33,8,8,406.726338714,243.0,29850.162028099996,0.12
34,34,6,4,637.229859886,296.0,65648.0431331,0.12
35,35,4,6,837.2166583610001,293.0,104624.120488,0.12
36,36,4,5,837.2166583610001,293.0,104624.120488,0.12
37,37,4,6,837.2166583610001,293.0,104624.120488,0.12
38,38,4,6,837.2166583610001,293.0,104624.120488,0.12
39,39,4,4,837.2166583610001,293.0,104624.120488,0.12
40,40,8,8,406.726338714,243.0,29850.162028099996,0.12
