,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,122.85505052299999,199004.605904,151.97505061200002,AC_yes,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,0.0,81.0,1,2.445411789769235
1,112.375646268,186753.999038,137.568032057,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,1.0,61.0,1,13.957150201152814
2,112.816900671,207510.533699,136.254713225,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_4,sex_male,Urbanity_Rural,2.0,51.0,1,12.467927383183607
3,131.647769484,246619.461035,183.355289825,AC_yes,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,3.0,81.0,1,1.9562316035951746
5,129.018809092,254010.232855,178.045412749,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,5.0,81.0,1,18.44668706475835
6,106.756645035,184289.088711,136.94912731899998,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,6.0,61.0,1,29.821614505747903
7,125.588229846,238458.01545700003,165.198742174,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,7.0,81.0,1,12.226720660307208
8,111.764306616,208168.197303,133.79042763200002,AC_yes,Cooking_no,Lighting_yes,age_66_75,Education_Post_Graduate,Size_2,sex_male,Urbanity_Rural,8.0,51.0,1,6.42304384523996
9,85.4643032143,124295.354132,86.23099634809998,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_2,sex_male,Urbanity_Rural,9.0,1.0,1,14.830898581365654
10,84.1500578902,76133.3507698,50.187683248,AC_yes,Cooking_yes,Lighting_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,10.0,1.0,1,11.520707151900867
11,101.722689269,151128.03863,103.065584394,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,11.0,21.0,1,60.54249662264877
14,140.06842003100002,246081.558688,179.12677554200005,AC_yes,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,14.0,81.0,1,5.018843363636218
16,129.86615407600002,222205.868196,166.01927705100002,AC_yes,Cooking_yes,Lighting_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,16.0,81.0,1,2.007644759961032
17,103.03174314,136052.506973,101.614178366,AC_yes,Cooking_yes,Lighting_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,17.0,31.0,1,40.51142307628314
18,91.45815690629999,97699.8603603,63.430546799700004,AC_yes,Cooking_yes,Lighting_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Rural,18.0,1.0,1,25.30598429469194
19,142.157356751,264993.970608,191.161668778,AC_yes,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,19.0,81.0,1,9.158170232040916
20,94.5412473035,121731.632018,78.4343601984,AC_yes,Cooking_yes,Lighting_yes,age_36_45,Education_Elementary_School,Size_7,sex_male,Urbanity_Rural,20.0,1.0,1,84.52695201995677
21,131.45597303600002,277044.96205,205.31566572900002,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,21.0,81.0,1,4.095582875583922
