,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,118.772435929,219924.707302,156.432374784,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_Post_Secondary,Size_7,sex_male,Urbanity_Rural,0.0,51.0,1,1.5250519975339278
3,145.667176097,290906.55443200003,209.260757665,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_6,sex_male,Urbanity_Urban,3.0,81.0,1,10.388731515784976
5,126.17921228,238408.598121,167.799910339,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_9,sex_male,Urbanity_Rural,5.0,51.0,1,18.904551760959396
6,76.6268881464,93622.3119502,61.4482004914,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Rural,6.0,1.0,1,29.831997869526443
7,112.189259091,206919.044212,153.841032331,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_6,sex_female,Urbanity_Urban,7.0,61.0,1,11.734999036773033
9,133.570458362,271391.848621,200.236524848,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,9.0,81.0,1,14.981957009970962
10,112.708236862,203024.443948,148.26171278299998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_7,sex_male,Urbanity_Urban,10.0,61.0,1,32.29472007544183
11,111.98336406700001,208531.205843,156.186703331,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,11.0,81.0,1,43.03716766860079
12,99.7383671851,161049.491112,114.35673972299999,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,12.0,21.0,1,80.05605067620569
13,104.23959634299999,163035.69302,109.867172254,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,13.0,21.0,1,30.611179828315485
14,117.21739272200001,192550.687352,131.316222253,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Rural,14.0,51.0,1,7.100100268022793
15,126.90707209,250397.22121100003,181.229441435,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,15.0,81.0,1,20.812487882766476
16,104.907740805,174042.171741,131.557957356,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,16.0,31.0,1,34.077541172604676
17,78.8681013633,66748.7518724,42.738893035,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,17.0,1.0,1,59.08894178223147
18,121.67633823,212506.586942,161.287750271,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,18.0,81.0,1,25.654038398012105
19,128.107732841,270606.509005,194.781980578,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_College,Size_2,sex_female,Urbanity_Urban,19.0,81.0,1,39.5119107973734
