,index,i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,i_Intercept,c_i_Education,Income,e_Intercept,Electricity,w_Intercept,c_w_Education,Water,w
0,0,0,562.648586067,0,7026.23798507,5,1694.46763484,52.9706848522,117.23392051799999,1,1,1.26126100062,1,17.8792817875,0,29.9890254219,0,59.988286506899996,0,200.66117969299998,1,23.6577374393,0.00150229569224,64.3019246708,948.152274582,0.052771537742599996,55.793268795900005,7.0152208504799995,0,1147.66399223,6023.86254599,154945.726276,3.2999838733,49.6278100962,-601.591950028,214.401145313,105.287571104,35.692622950819676
1,1,0,927.6723537710001,1,7152.97928191,6,1740.63445047,67.2541397714,113.64051255700001,1,1,-1.9910448182599998,1,17.9095081175,0,26.836437432399997,0,57.38873233,1,205.752484575,1,28.061289201599998,0.00142809714466,100.43365021299999,1014.94521911,0.056460896808199997,48.4920154018,5.71173935816,2,1147.66399223,6023.86254599,229797.868539,3.2999838733,113.018419728,-601.591950028,214.401145313,178.10649856900002,35.692622950819676
2,2,0,1115.21488244,0,7184.79601789,3,1694.04670408,65.2038130997,117.25374639299999,2,0,1.16916598791,1,20.1287701024,0,26.642664391300002,1,61.225169943000004,0,202.66471633700002,1,25.4637420885,0.00141432323212,120.043010423,999.3889998669999,0.055669189148399995,51.1942083721,5.49684736609,0,1147.66399223,11959.091528,183167.57915799998,3.2999838733,66.8365493187,-601.591950028,260.327274277,132.579060995,35.692622950819676
3,3,0,1054.22765623,0,6969.05777233,6,1678.35902763,32.6891019714,114.153964045,0,1,34.5676401342,1,19.9303778564,0,28.892784809600002,1,62.0343206534,0,204.10949984400003,1,24.0180627955,0.0013834027491400002,136.553348204,1017.83049821,0.051370948605300004,51.928907603599995,4.16333200606,1,1147.66399223,1.0,105999.83559,3.2999838733,51.816977742700004,-601.591950028,1.0,66.0083956499,35.692622950819676
4,4,0,1005.6647299000001,1,7237.96339416,2,1663.44908408,87.1551712905,118.364299817,0,1,-14.1923944543,1,19.370199193399998,0,29.592276002800002,1,61.0964044948,0,196.60060876400001,1,25.5101076439,0.0013976595654499999,106.290320748,1048.05548477,0.0527113386395,49.6266706,6.241478703019999,4,1147.66399223,1.0,156191.8859,3.2999838733,60.9397579487,-601.591950028,1.0,116.298680419,35.692622950819676
5,5,0,1052.37256101,1,7079.47046801,1,1614.05906254,33.949459224499996,106.805858973,3,1,-4.6119641402,0,19.4166769819,0,31.6890364766,1,57.732517902299996,1,208.799460124,1,23.529550686500002,0.0013947690212000002,118.120431515,996.1026780310001,0.05287447692319999,52.5027843265,5.78789223064,1,1147.66399223,18727.4606703,228263.20239899997,3.2999838733,118.05832328,-601.591950028,101.70283943,162.394348892,35.692622950819676
6,6,0,1075.1659358,1,7121.672323299999,2,1623.31896321,26.0478914633,109.791098296,0,1,5.473410038709999,1,19.1670307165,0,31.397212677600002,1,58.6966459814,0,205.249374126,1,24.404229933299998,0.00145047105782,102.886056826,998.584776372,0.0545371603573,50.262272700000004,5.44131629839,3,1147.66399223,1.0,101932.900595,3.2999838733,50.3428599781,-601.591950028,1.0,77.3228564104,35.692622950819676
7,7,0,850.9563546910001,0,7262.74521686,4,1629.4666965999998,49.9519313111,124.67229614600001,3,1,10.794484971700001,1,17.983126511400002,0,29.117293475300002,1,57.125382640299996,1,203.61583049,1,26.1890854145,0.00142980845299,47.4085963247,1004.24525686,0.05330614879980001,49.785409405799996,6.78892881086,3,1147.66399223,18727.4606703,231283.286114,3.2999838733,121.24458862600001,-601.591950028,101.70283943,156.814228013,35.692622950819676
8,8,1,947.84367793,0,6882.460095,6,1658.96461414,32.683413105700005,116.83970963600001,2,1,-14.843873018499998,1,15.5515159604,0,29.885179681500002,1,60.9776908189,0,200.782506421,1,24.2383084979,0.00134836981956,108.403569671,1011.82883008,0.05247082037830001,75.51330006180001,6.86942632546,3,1147.66399223,11959.091528,197296.867309,3.2999838733,64.3674315921,-601.591950028,260.327274277,137.937429654,35.692622950819676
9,9,0,1156.1489059,0,6821.58768219,4,1667.98898226,70.88984740949999,116.55439415299999,1,1,7.83297097797,1,18.1577016734,0,29.983940215300002,1,57.887300384300005,0,203.423709928,1,23.4808855872,0.00133432984865,98.40981487229999,945.847144889,0.0536960550109,33.976689178499996,7.61802007624,2,1147.66399223,6023.86254599,156733.706114,3.2999838733,57.619444885200004,-601.591950028,214.401145313,108.58883473200001,35.692622950819676
