,Electricity,Income,Water,e_Cooking,e_Lighting,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
1,135.807944266,267561.60305700003,207.60917348099997,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,1.0,81.0,1,13.053654516408372
2,97.1832692169,162513.448537,112.175070873,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Rural,2.0,21.0,1,23.021573181165923
3,86.13282509860001,144455.89411,98.3908865827,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,3.0,21.0,1,97.86330149013399
5,102.84240784299999,186960.123824,133.721175395,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,5.0,51.0,1,10.895846673550086
6,131.118912941,233545.980318,176.514405345,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,6.0,81.0,1,4.92583905154666
7,120.261767851,209781.711163,159.593582594,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,7.0,81.0,1,2.691115537838721
10,123.60835651200001,270348.432293,189.90782378400002,Cooking_no,Lighting_yes,age_46_55,Education_Post_Graduate,Size_5,sex_male,Urbanity_Urban,10.0,81.0,1,6.640372344765744
11,105.246800826,160439.495273,113.531490416,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,11.0,31.0,1,6.076508327796875
12,111.82320249899999,187684.841373,140.50504061799998,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,12.0,81.0,1,40.820762244283316
13,114.51940295899999,188231.362534,142.958909987,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,13.0,81.0,1,40.820762244283316
14,122.975251719,242436.758533,171.53096833200001,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,14.0,81.0,1,43.53443600553922
15,89.80985320959999,115245.881144,85.4012681968,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,15.0,31.0,1,76.770747696585
16,91.6303804093,133320.205404,99.02353915290001,Cooking_no,Lighting_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,16.0,31.0,1,21.64353223207575
17,126.274328918,212476.86097,157.874072074,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,17.0,81.0,1,44.506675780475916
18,125.163408366,219284.507196,147.79997732299998,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_8,sex_male,Urbanity_Rural,18.0,51.0,1,7.886489312227667
19,126.10017831799999,235084.203834,159.84032821600002,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Graduate,Size_7,sex_female,Urbanity_Rural,19.0,51.0,1,20.915591290027535
20,131.148960354,248330.376382,183.82254162599997,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,20.0,81.0,1,10.420968261503816
21,129.450048399,256381.627299,190.930915498,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,21.0,81.0,1,52.1695535023792
22,92.2998371318,114346.441122,85.7847678062,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,22.0,31.0,1,71.37877536773188
23,147.714013529,276490.49402,202.05257591900002,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,23.0,81.0,1,3.8169086711991724
24,142.228363544,266551.099574,191.727575599,Cooking_yes,Lighting_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Urban,24.0,81.0,1,15.013608872155036
26,124.97839441,222504.299541,164.289672218,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,26.0,81.0,1,6.103234909943245
27,111.832875983,177047.058084,131.838405646,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,27.0,31.0,1,27.520883876593132
28,105.975160262,195964.223772,129.805935309,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,28.0,51.0,1,75.89884719833105
31,111.92445947,200584.397989,131.83626548700002,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_4,sex_male,Urbanity_Rural,31.0,51.0,1,22.344134145531953
32,114.60507449200001,218258.209918,148.961738169,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,32.0,51.0,1,12.343274613568802
33,120.23996117,217854.706981,162.453861386,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_7,sex_male,Urbanity_Urban,33.0,61.0,1,13.856333029469774
