,index,n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity,w
0,0,4,6,837.2166583610001,293.0,104624.120488,0.114
1,1,4,6,837.2166583610001,293.0,104624.120488,0.114
2,2,8,8,406.726338714,243.0,29850.162028099996,0.114
3,3,8,8,406.726338714,243.0,29850.162028099996,0.114
4,4,8,6,406.726338714,243.0,29850.162028099996,0.114
5,5,8,6,406.726338714,243.0,29850.162028099996,0.114
6,6,8,1,406.726338714,243.0,29850.162028099996,0.114
7,7,6,6,637.229859886,296.0,65648.0431331,0.114
8,8,7,8,296.280540763,137.0,14168.9047685,0.114
9,9,4,4,837.2166583610001,293.0,104624.120488,0.114
10,10,4,4,837.2166583610001,293.0,104624.120488,0.114
11,11,4,4,837.2166583610001,293.0,104624.120488,0.114
12,12,6,4,637.229859886,296.0,65648.0431331,0.114
13,13,1,4,312.594751517,631.0,65940.4053426,0.114
14,14,8,4,406.726338714,243.0,29850.162028099996,0.114
15,15,0,4,719.587128022,262.0,77984.59555089999,0.114
16,16,6,4,637.229859886,296.0,65648.0431331,0.114
17,17,4,4,837.2166583610001,293.0,104624.120488,0.114
18,18,4,4,837.2166583610001,293.0,104624.120488,0.114
19,19,4,4,837.2166583610001,293.0,104624.120488,0.114
20,20,4,8,837.2166583610001,293.0,104624.120488,0.114
21,21,4,8,837.2166583610001,293.0,104624.120488,0.114
22,22,4,3,837.2166583610001,293.0,104624.120488,0.114
23,23,4,4,837.2166583610001,293.0,104624.120488,0.114
24,24,4,4,837.2166583610001,293.0,104624.120488,0.114
25,25,8,8,406.726338714,243.0,29850.162028099996,0.114
26,26,8,8,406.726338714,243.0,29850.162028099996,0.114
27,27,8,0,406.726338714,243.0,29850.162028099996,0.114
28,28,3,6,703.6254615639999,316.0,79114.259915,0.114
29,29,6,8,637.229859886,296.0,65648.0431331,0.114
30,30,8,8,406.726338714,243.0,29850.162028099996,0.114
31,31,1,8,312.594751517,631.0,65940.4053426,0.114
32,32,1,8,312.594751517,631.0,65940.4053426,0.114
33,33,8,8,406.726338714,243.0,29850.162028099996,0.114
34,34,6,4,637.229859886,296.0,65648.0431331,0.114
35,35,4,6,837.2166583610001,293.0,104624.120488,0.114
36,36,4,5,837.2166583610001,293.0,104624.120488,0.114
37,37,4,6,837.2166583610001,293.0,104624.120488,0.114
38,38,4,6,837.2166583610001,293.0,104624.120488,0.114
39,39,4,4,837.2166583610001,293.0,104624.120488,0.114
40,40,8,8,406.726338714,243.0,29850.162028099996,0.114
41,41,8,4,406.726338714,243.0,29850.162028099996,0.114
42,42,4,4,837.2166583610001,293.0,104624.120488,0.114
43,43,4,4,837.2166583610001,293.0,104624.120488,0.114
44,44,8,8,406.726338714,243.0,29850.162028099996,0.114
45,45,8,4,406.726338714,243.0,29850.162028099996,0.114
46,46,6,1,637.229859886,296.0,65648.0431331,0.114
47,47,8,4,406.726338714,243.0,29850.162028099996,0.114
48,48,8,8,406.726338714,243.0,29850.162028099996,0.114
49,49,6,5,637.229859886,296.0,65648.0431331,0.114
50,50,1,6,312.594751517,631.0,65940.4053426,0.114
51,51,5,6,497.42790442,233.0,40122.4338562,0.114
52,52,1,4,312.594751517,631.0,65940.4053426,0.114
53,53,1,8,312.594751517,631.0,65940.4053426,0.114
54,54,3,8,703.6254615639999,316.0,79114.259915,0.114
55,55,6,0,637.229859886,296.0,65648.0431331,0.114
56,56,4,1,837.2166583610001,293.0,104624.120488,0.114
57,57,3,4,703.6254615639999,316.0,79114.259915,0.114
58,58,6,8,637.229859886,296.0,65648.0431331,0.114
59,59,8,8,406.726338714,243.0,29850.162028099996,0.114
60,60,8,8,406.726338714,243.0,29850.162028099996,0.114
61,61,6,8,637.229859886,296.0,65648.0431331,0.114
62,62,0,8,719.587128022,262.0,77984.59555089999,0.114
63,63,1,5,312.594751517,631.0,65940.4053426,0.114
64,64,6,0,637.229859886,296.0,65648.0431331,0.114
65,65,1,7,312.594751517,631.0,65940.4053426,0.114
66,66,8,3,406.726338714,243.0,29850.162028099996,0.114
67,67,8,8,406.726338714,243.0,29850.162028099996,0.114
68,68,1,6,312.594751517,631.0,65940.4053426,0.114
69,69,6,6,637.229859886,296.0,65648.0431331,0.114
70,70,0,7,719.587128022,262.0,77984.59555089999,0.114
71,71,1,0,312.594751517,631.0,65940.4053426,0.114
72,72,1,4,312.594751517,631.0,65940.4053426,0.114
73,73,4,4,837.2166583610001,293.0,104624.120488,0.114
74,74,4,5,837.2166583610001,293.0,104624.120488,0.114
75,75,6,6,637.229859886,296.0,65648.0431331,0.114
76,76,8,6,406.726338714,243.0,29850.162028099996,0.114
77,77,7,8,296.280540763,137.0,14168.9047685,0.114
78,78,1,0,312.594751517,631.0,65940.4053426,0.114
79,79,0,3,719.587128022,262.0,77984.59555089999,0.114
80,80,3,4,703.6254615639999,316.0,79114.259915,0.114
81,81,6,4,637.229859886,296.0,65648.0431331,0.114
82,82,6,4,637.229859886,296.0,65648.0431331,0.114
83,83,0,4,719.587128022,262.0,77984.59555089999,0.114
84,84,0,3,719.587128022,262.0,77984.59555089999,0.114
85,85,7,1,296.280540763,137.0,14168.9047685,0.114
86,86,8,0,406.726338714,243.0,29850.162028099996,0.114
87,87,8,8,406.726338714,243.0,29850.162028099996,0.114
88,88,8,4,406.726338714,243.0,29850.162028099996,0.114
89,89,4,4,837.2166583610001,293.0,104624.120488,0.114
90,90,4,4,837.2166583610001,293.0,104624.120488,0.114
91,91,4,4,837.2166583610001,293.0,104624.120488,0.114
92,92,8,4,406.726338714,243.0,29850.162028099996,0.114
93,93,8,6,406.726338714,243.0,29850.162028099996,0.114
94,94,8,4,406.726338714,243.0,29850.162028099996,0.114
95,95,8,4,406.726338714,243.0,29850.162028099996,0.114
96,96,1,4,312.594751517,631.0,65940.4053426,0.114
97,97,7,6,296.280540763,137.0,14168.9047685,0.114
98,98,4,4,837.2166583610001,293.0,104624.120488,0.114
99,99,1,4,312.594751517,631.0,65940.4053426,0.114
100,100,4,4,837.2166583610001,293.0,104624.120488,0.114
101,101,4,4,837.2166583610001,293.0,104624.120488,0.114
102,102,8,4,406.726338714,243.0,29850.162028099996,0.114
103,103,6,4,637.229859886,296.0,65648.0431331,0.114
104,104,8,4,406.726338714,243.0,29850.162028099996,0.114
105,105,6,4,637.229859886,296.0,65648.0431331,0.114
106,106,0,4,719.587128022,262.0,77984.59555089999,0.114
107,107,4,8,837.2166583610001,293.0,104624.120488,0.114
108,108,4,8,837.2166583610001,293.0,104624.120488,0.114
109,109,4,5,837.2166583610001,293.0,104624.120488,0.114
110,110,1,6,312.594751517,631.0,65940.4053426,0.114
111,111,4,7,837.2166583610001,293.0,104624.120488,0.114
112,112,4,0,837.2166583610001,293.0,104624.120488,0.114
113,113,6,2,637.229859886,296.0,65648.0431331,0.114
114,114,1,6,312.594751517,631.0,65940.4053426,0.114
115,115,8,6,406.726338714,243.0,29850.162028099996,0.114
116,116,6,8,637.229859886,296.0,65648.0431331,0.114
117,117,6,8,637.229859886,296.0,65648.0431331,0.114
118,118,6,8,637.229859886,296.0,65648.0431331,0.114
119,119,1,8,312.594751517,631.0,65940.4053426,0.114
120,120,8,8,406.726338714,243.0,29850.162028099996,0.114
121,121,4,0,837.2166583610001,293.0,104624.120488,0.114
122,122,4,1,837.2166583610001,293.0,104624.120488,0.114
123,123,4,0,837.2166583610001,293.0,104624.120488,0.114
124,124,4,8,837.2166583610001,293.0,104624.120488,0.114
125,125,4,1,837.2166583610001,293.0,104624.120488,0.114
126,126,4,4,837.2166583610001,293.0,104624.120488,0.114
127,127,4,2,837.2166583610001,293.0,104624.120488,0.114
128,128,4,8,837.2166583610001,293.0,104624.120488,0.114
