,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,120.868588852,235643.656965,170.6719118,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,0.0,1.0,1,21.128565498128413
1,110.15165597200001,190985.244213,143.753438971,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Urban,1.0,1.0,1,35.052871912895775
2,134.745189164,248217.247904,183.986308531,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,2.0,1.0,1,12.813419082881275
3,141.123229691,296692.481862,207.961560514,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_6,sex_female,Urbanity_Urban,3.0,1.0,1,12.474571773594553
7,126.48150063799999,199050.038097,144.558975708,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,7.0,1.0,1,18.57600794149856
8,138.025647196,257495.310309,188.192208965,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,8.0,1.0,1,103.9257526033538
9,85.98995456549999,120016.580757,77.7116254634,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Rural,9.0,1.0,1,93.881794769
10,135.043238423,260493.396025,191.009800488,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,10.0,1.0,1,102.9257526033538
11,128.80487987799998,229851.528037,172.296314643,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,11.0,1.0,1,37.4517598507364
13,135.393009003,251178.64158400003,178.555883858,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,13.0,1.0,1,52.84885895595973
14,89.5811045726,141420.742233,93.9648358323,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Rural,14.0,1.0,1,37.05846646742457
17,119.211202265,167225.159313,123.284848002,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,17.0,1.0,1,49.79930656707718
19,132.66844759100002,287540.134536,210.446994509,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,19.0,1.0,1,41.3606556058697
22,119.399743944,213955.488629,158.130263659,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,22.0,1.0,1,89.53025590006308
23,80.9333794213,101466.495725,66.3166918511,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Rural,23.0,101.0,1,0.009474984578965007
24,125.02881598100001,217615.341325,145.016050554,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,24.0,1.0,1,73.77960733818482
26,104.90047740700001,123602.33211,84.310625923,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Rural,26.0,1.0,1,56.64816794647659
27,112.70018490700001,201245.088734,137.564556273,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_1,sex_female,Urbanity_Rural,27.0,1.0,1,20.270086930313074
31,101.60445640399999,161258.916607,110.69575218,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,31.0,1.0,1,61.875601351406985
32,120.855486579,221300.094701,161.47780336,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,32.0,1.0,1,78.7951606245745
33,145.063455809,281828.486664,196.285503169,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,33.0,1.0,1,36.84725655402708
34,138.752867645,310871.997962,228.74112162400002,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,34.0,1.0,1,16.50557511324071
36,144.470376482,275374.466639,193.32921798,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_College,Size_2,sex_female,Urbanity_Urban,36.0,1.0,1,37.521281031858045
38,110.523746871,200329.880834,139.9196744,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Rural,38.0,1.0,1,22.078925006489836
40,129.314046127,245571.79140500003,171.416080043,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_1,sex_female,Urbanity_Urban,40.0,1.0,1,15.58294310706373
41,111.363467004,172159.512714,117.61698224,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,41.0,1.0,1,70.38411063489414
42,98.4634063167,162143.134226,112.72786279399999,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,42.0,1.0,1,100.53585045459187
44,138.894683055,296487.617758,211.925296395,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_College,Size_7,sex_male,Urbanity_Urban,44.0,1.0,1,55.09795857117889
46,134.990053979,259884.803676,182.78523171,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,46.0,1.0,1,89.9257526033538
