,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,76.6046753128,62363.29927990001,37.7393008183,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,0.0,1.0,1,71.55090352998978
1,64.3644998826,209911.938666,143.402135563,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Rural,1.0,51.0,1,19.9706205614259
2,52.002926376400005,104258.289767,69.946787291,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,2.0,1.0,1,3.7871726352010606
3,64.5340077348,144700.591032,106.38744715799999,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Urban,3.0,31.0,1,35.12767031217131
4,124.473871819,236767.831153,173.468384299,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,4.0,81.0,1,4.969302001835973
5,92.4927036178,154252.05925299998,112.56948346,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_female,Urbanity_Urban,5.0,31.0,1,50.88235356608675
6,79.3857739736,220871.182827,154.89365364,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_7,sex_male,Urbanity_Rural,6.0,51.0,1,44.926855042117005
7,86.070026162,261700.552242,179.10789468,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_8,sex_male,Urbanity_Rural,7.0,51.0,1,68.93616044594597
9,91.5799863304,251880.208113,182.17997973099997,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_High_School,Size_7,sex_female,Urbanity_Urban,9.0,61.0,1,22.367355702527142
10,59.4023387882,141774.754947,105.21204638200001,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,10.0,31.0,1,48.75356200545607
11,95.75534014,284440.638961,195.46128682,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Graduate,Size_4,sex_male,Urbanity_Urban,11.0,81.0,1,12.88047390833037
12,58.18554826,182917.947752,136.900014967,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,12.0,61.0,1,49.70080413152559
13,63.707258699099995,148381.71732,107.445077879,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,13.0,31.0,1,36.93502352937974
14,83.0203000084,229887.452419,154.589535893,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Rural,14.0,51.0,1,53.15444062707044
15,83.48702592810001,108534.892812,72.1214626825,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,15.0,1.0,1,6.757660588175023
16,76.7606377744,198822.373335,135.802021151,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,16.0,51.0,1,7.045101164836347
17,115.500322776,210444.038128,140.417098253,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,17.0,51.0,1,65.17105715849873
18,107.317100447,185591.82001,134.87853374,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,18.0,61.0,1,19.16397680070988
19,80.16125304170002,92896.7944242,59.81212753649999,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_female,Urbanity_Rural,19.0,1.0,1,52.709018089852755
20,96.3311767125,135236.606557,92.2737600564,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Rural,20.0,1.0,1,38.08333796103024
22,92.8435906499,137656.622432,101.084732988,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,22.0,31.0,1,23.83483786122437
24,66.1243651857,149755.64746500002,111.076469898,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,24.0,31.0,1,34.93502352937974
25,84.763509348,231358.51848000003,168.991358402,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,25.0,81.0,1,34.57503792022478
26,81.6296108938,207336.115939,153.92544042,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,26.0,81.0,1,25.790680443454768
27,76.6778392732,185750.22664,138.11102927,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_High_School,Size_5,sex_male,Urbanity_Urban,27.0,61.0,1,34.673133227902774
28,95.90749800319999,265086.787159,195.13696192400002,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_6,sex_female,Urbanity_Urban,28.0,81.0,1,8.721364159861114
