,index,i_Sex,i_FamilySize,i_Age,e_Refrigeration,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,2,161982.9795,52.7633542788,112.573979721,3044.5,2979.72218443682
1,1,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,2,215181.64753299998,66.5532775749,150.34536661,3044.5,937.2784691152347
2,2,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,2,168021.322853,102.254412916,121.151260826,3044.5,3088.1191309086926
3,3,sex_male,Size_4,age_56_65,Refrigeration_yes,AC_no,3,175377.661279,72.48611353609999,118.840761824,3044.5,5540.481166346721
4,4,sex_female,Size_4,age_36_45,Refrigeration_no,AC_no,3,245318.25451799997,80.86805036300001,185.76730653200002,3044.5,3923.769139382715
5,5,sex_male,Size_6,age_26_35,Refrigeration_no,AC_yes,1,180751.44636300002,101.555953916,125.468826679,3044.5,1797.6299098098164
6,6,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,2,161982.9795,52.7633542788,112.573979721,3044.5,2979.72218443682
7,7,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,2,215181.64753299998,66.5532775749,150.34536661,3044.5,937.2784691152347
8,8,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,2,168021.322853,102.254412916,121.151260826,3044.5,3088.1191309086926
9,9,sex_male,Size_4,age_56_65,Refrigeration_yes,AC_no,3,175377.661279,72.48611353609999,118.840761824,3044.5,5540.481166346721
10,10,sex_female,Size_4,age_36_45,Refrigeration_no,AC_no,3,245318.25451799997,80.86805036300001,185.76730653200002,3044.5,3923.769139382715
11,11,sex_male,Size_6,age_26_35,Refrigeration_no,AC_yes,1,180751.44636300002,101.555953916,125.468826679,3044.5,1797.6299098098164
