,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,120.868588852,235643.656965,170.6719118,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,0.0,81.0,1,6.128565498128413
1,110.15165597200001,190985.244213,143.753438971,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Urban,1.0,61.0,1,19.052871912895775
2,134.745189164,248217.247904,183.986308531,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,2.0,81.0,1,4.813419082881275
3,141.123229691,296692.481862,207.961560514,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_6,sex_female,Urbanity_Urban,3.0,81.0,1,4.474571773594553
7,126.48150063799999,199050.038097,144.558975708,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,7.0,61.0,1,6.57600794149856
8,138.025647196,257495.310309,188.192208965,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,8.0,81.0,1,31.9257526033538
9,85.98995456549999,120016.580757,77.7116254634,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Rural,9.0,1.0,1,118.881794769
10,135.043238423,260493.396025,191.009800488,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,10.0,81.0,1,28.9257526033538
11,128.80487987799998,229851.528037,172.296314643,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,11.0,81.0,1,10.451759850736401
12,96.9613660351,136719.86999200002,98.76389179040001,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,12.0,31.0,1,63.833882152045646
13,135.393009003,251178.64158400003,178.555883858,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,13.0,81.0,1,22.848858955959727
14,89.5811045726,141420.742233,93.9648358323,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Rural,14.0,1.0,1,45.05846646742457
17,119.211202265,167225.159313,123.284848002,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,17.0,31.0,1,41.79930656707718
18,118.79151292899999,172925.53789200002,123.467181077,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,18.0,31.0,1,42.76210853983457
19,132.66844759100002,287540.134536,210.446994509,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,19.0,81.0,1,13.360655605869702
22,119.399743944,213955.488629,158.130263659,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,22.0,81.0,1,30.530255900063082
23,80.9333794213,101466.495725,66.3166918511,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Rural,23.0,1.0,1,44.009474984578965
24,125.02881598100001,217615.341325,145.016050554,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,24.0,51.0,1,37.77960733818482
25,68.17704403970001,59766.7707545,35.150312793000005,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,25.0,1.0,1,96.64941815436674
26,104.90047740700001,123602.33211,84.310625923,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Rural,26.0,1.0,1,70.64816794647659
27,112.70018490700001,201245.088734,137.564556273,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_1,sex_female,Urbanity_Rural,27.0,51.0,1,8.270086930313074
28,92.78092821450001,115883.406034,86.2060226047,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,28.0,31.0,1,63.64382359983796
30,95.8745565059,135038.575354,97.5467744467,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,30.0,31.0,1,52.833882152045646
31,101.60445640399999,161258.916607,110.69575218,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,31.0,21.0,1,57.875601351406985
32,120.855486579,221300.094701,161.47780336,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,32.0,81.0,1,22.795160624574507
33,145.063455809,281828.486664,196.285503169,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,33.0,81.0,1,13.847256554027084
34,138.752867645,310871.997962,228.74112162400002,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,34.0,81.0,1,4.50557511324071
36,144.470376482,275374.466639,193.32921798,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_College,Size_2,sex_female,Urbanity_Urban,36.0,81.0,1,10.521281031858045
38,110.523746871,200329.880834,139.9196744,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Rural,38.0,51.0,1,9.078925006489836
40,129.314046127,245571.79140500003,171.416080043,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_1,sex_female,Urbanity_Urban,40.0,81.0,1,3.5829431070637305
41,111.363467004,172159.512714,117.61698224,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,41.0,21.0,1,62.38411063489414
42,98.4634063167,162143.134226,112.72786279399999,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,42.0,21.0,1,87.53585045459187
44,138.894683055,296487.617758,211.925296395,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_College,Size_7,sex_male,Urbanity_Urban,44.0,81.0,1,16.097958571178893
45,89.2762674734,87744.3685981,55.6870602834,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,45.0,1.0,1,99.83947670657444
46,134.990053979,259884.803676,182.78523171,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,46.0,81.0,1,31.9257526033538
47,93.9522326161,145519.972793,108.160082498,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,47.0,31.0,1,12.167287025599588
49,106.009849964,167886.715972,117.53895335899999,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,49.0,21.0,1,67.38411063489414
50,104.017294867,168660.06514000002,125.00018915700001,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Urban,50.0,31.0,1,41.05921793615697
51,136.354729308,274595.209463,195.689331177,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,51.0,81.0,1,17.259157476907703
53,100.496195434,156808.59635799998,113.576668216,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,53.0,31.0,1,58.95104638677496
54,127.391542705,258661.96506,187.268361586,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,54.0,81.0,1,35.9257526033538
56,95.6674891767,123544.855324,90.5146587808,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,56.0,31.0,1,38.90872832434937
57,100.325716995,144750.348478,107.041899386,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,57.0,31.0,1,14.230570009127803
58,146.197010433,265203.466865,190.85717812,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,58.0,81.0,1,7.662191357251018
59,117.979563915,201356.481265,150.479634167,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,59.0,81.0,1,19.427443752762258
60,122.138751146,229788.44657800003,171.144712924,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,60.0,81.0,1,11.125784328567363
61,135.391926871,267303.04658,192.54920940099998,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,61.0,81.0,1,10.07883590146016
63,133.54203587700002,261900.440851,193.27511485099998,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,63.0,81.0,1,40.19065732786517
64,115.835625422,196878.854286,146.889555028,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,64.0,61.0,1,17.31110321698715
65,116.49372742,195039.33357,147.562924498,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,65.0,81.0,1,1.025728847622993
67,128.389639443,235162.400423,180.048846994,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,67.0,81.0,1,12.608493025865776
68,135.87598847200002,271811.662458,196.370243868,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,68.0,81.0,1,7.003989729156459
69,101.542203075,173301.28238299998,118.70204250100001,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,69.0,21.0,1,78.80075517910328
70,97.4691830678,132350.409005,88.4574211814,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_19_25,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,70.0,21.0,1,35.97697401682765
71,130.181307395,246052.963675,179.084815401,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,71.0,81.0,1,35.00059877565751
72,142.388460799,282810.421868,205.467691045,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,72.0,81.0,1,4.107417657209954
73,123.921295661,239791.648589,161.254961845,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_College,Size_6,sex_male,Urbanity_Rural,73.0,51.0,1,14.225339798782933
74,103.89356772100001,151523.959137,110.79996954,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,74.0,31.0,1,12.862970068434617
75,122.01673399799999,196235.095621,142.185308983,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,75.0,61.0,1,14.317776637407178
76,144.29667258799998,276933.044591,193.946184605,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,76.0,81.0,1,14.259157476907703
77,124.087301649,201725.345158,151.067026607,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,77.0,81.0,1,25.188457528157656
81,142.145740756,286811.821369,204.596081783,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,81.0,81.0,1,10.360655605869702
83,132.747220961,286122.699792,201.715122005,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,83.0,81.0,1,11.360655605869702
