,index,i_Sex,i_FamilySize,i_Age,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,AC_yes,3,316885.774375,141.637404065,231.48019391900002,3295.9166666666665,4698.094165893461
1,1,sex_male,Size_5,age_46_55,AC_yes,3,332864.96355,148.518649754,245.465143135,3295.9166666666665,3430.601809125486
2,2,sex_male,Size_4,age_46_55,AC_no,3,410951.887028,134.011421227,303.778916065,3295.9166666666665,2136.8470751556433
3,3,sex_female,Size_3,age_46_55,AC_no,2,401080.34671799996,125.645587636,306.699198458,3295.9166666666665,2970.519977051714
4,4,sex_female,Size_2,age_36_45,AC_yes,2,359854.556961,159.04878063299998,271.035875879,3295.9166666666665,3767.0403693328694
5,5,sex_male,Size_4,age_36_45,AC_yes,4,407674.31872800004,177.16532745,307.890635568,3295.9166666666665,2772.396603440828
6,6,sex_male,Size_3,age_56_65,AC_yes,3,316885.774375,141.637404065,231.48019391900002,3295.9166666666665,4698.094165893461
7,7,sex_male,Size_5,age_46_55,AC_yes,3,332864.96355,148.518649754,245.465143135,3295.9166666666665,3430.601809125486
8,8,sex_male,Size_4,age_46_55,AC_no,3,410951.887028,134.011421227,303.778916065,3295.9166666666665,2136.8470751556433
9,9,sex_female,Size_3,age_46_55,AC_no,2,401080.34671799996,125.645587636,306.699198458,3295.9166666666665,2970.519977051714
10,10,sex_female,Size_2,age_36_45,AC_yes,2,359854.556961,159.04878063299998,271.035875879,3295.9166666666665,3767.0403693328694
11,11,sex_male,Size_4,age_36_45,AC_yes,4,407674.31872800004,177.16532745,307.890635568,3295.9166666666665,2772.396603440828
