,index,i_Sex,i_FamilySize,i_Age,e_Refrigeration,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,2,162186.59035,52.8183635795,112.728383812,2996.5833333333335,3404.421421401566
1,1,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,2,215663.733807,66.6820630338,150.704941872,2996.5833333333335,1107.8463163616314
2,2,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,2,168187.220882,102.299224043,121.278928944,2996.5833333333335,2393.7420917527293
3,3,sex_male,Size_4,age_56_65,Refrigeration_yes,AC_no,3,175725.448223,72.5777273442,119.09536223799999,2996.5833333333335,5341.463389764606
4,4,sex_female,Size_4,age_36_45,Refrigeration_no,AC_no,3,245227.318731,80.84385560140001,185.69777120400002,2996.5833333333335,3977.9970739584282
5,5,sex_male,Size_6,age_26_35,Refrigeration_no,AC_yes,1,180599.914502,101.51582152700001,125.35336177,2996.5833333333335,1754.0297067610402
6,6,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,2,162186.59035,52.8183635795,112.728383812,2996.5833333333335,3404.421421401566
7,7,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,2,215663.733807,66.6820630338,150.704941872,2996.5833333333335,1107.8463163616314
8,8,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,2,168187.220882,102.299224043,121.278928944,2996.5833333333335,2393.7420917527293
9,9,sex_male,Size_4,age_56_65,Refrigeration_yes,AC_no,3,175725.448223,72.5777273442,119.09536223799999,2996.5833333333335,5341.463389764606
10,10,sex_female,Size_4,age_36_45,Refrigeration_no,AC_no,3,245227.318731,80.84385560140001,185.69777120400002,2996.5833333333335,3977.9970739584282
11,11,sex_male,Size_6,age_26_35,Refrigeration_no,AC_yes,1,180599.914502,101.51582152700001,125.35336177,2996.5833333333335,1754.0297067610402
