,Electricity,Income,Water,e_AC,e_Lighting,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,105.457803715,149866.762368,109.176519288,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,0.0,31.0,1,3.75131273170697
1,124.230479476,190755.237515,143.741838081,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,1.0,81.0,1,8.867189957653629
2,128.913341659,203914.036543,157.661053032,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,2.0,81.0,1,0.21173636232230209
3,126.96772966399999,228166.357154,165.785910033,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,3.0,81.0,1,12.726556471262477
5,122.11290861799999,187211.889906,141.722537042,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,5.0,81.0,1,14.36809699563667
6,113.72371865299999,171256.328961,129.486374476,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_6,sex_female,Urbanity_Urban,6.0,31.0,1,20.903347579235266
7,150.616613702,312824.598259,225.925427158,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_6,sex_female,Urbanity_Urban,7.0,81.0,1,6.859248812909305
8,111.77126497799999,138671.10313,103.11093130200001,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,8.0,31.0,1,75.01386524070423
9,137.82878357299998,268963.156778,188.82434806900002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,9.0,81.0,1,37.625220069709655
12,134.521040346,213821.377695,156.91807994299998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,12.0,81.0,1,49.542927086859976
13,125.179828657,225914.072511,171.233295084,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,13.0,81.0,1,52.38656645354553
14,124.82002740600001,220338.90007,168.444074919,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,14.0,81.0,1,32.887473491528624
15,128.305892796,202248.75465,153.207060153,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,15.0,81.0,1,24.14080964751423
17,128.86259021200001,235415.053822,164.97831991799998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,17.0,81.0,1,7.105843573817808
18,136.500624916,240827.012413,170.796197432,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,18.0,81.0,1,1.4503899784863945
19,138.547616868,256859.364304,184.76914113599997,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,19.0,81.0,1,57.28067366504101
20,132.50023365299998,224180.370004,166.273229221,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,20.0,81.0,1,41.887473491528624
22,129.544489215,229536.46453000003,161.209035945,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_7,sex_female,Urbanity_Urban,22.0,61.0,1,19.689465268543614
