,index,i_Sex,i_FamilySize,i_Age,e_Cooking,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,Cooking_no,3,408320.859981,167.229736968,310.47358358599996,3512.0,5544.4
1,1,sex_male,Size_5,age_46_55,Cooking_no,3,332503.590758,148.423006302,245.18589280700002,3512.0,2796.100000000001
2,2,sex_male,Size_4,age_46_55,Cooking_yes,3,410715.776113,177.691271158,303.60260619,3512.0,4123.599999999998
3,3,sex_female,Size_3,age_46_55,Cooking_no,1,400175.571658,164.27328787,306.000952132,3512.0,2851.7000000000035
4,4,sex_female,Size_2,age_36_45,Cooking_no,0,361148.366678,159.414715876,272.01094264299996,3512.0,5531.299999999994
5,5,sex_male,Size_4,age_36_45,Cooking_no,4,408086.212754,177.281993487,308.21171195799997,3512.0,224.9000000000053
6,6,sex_male,Size_3,age_56_65,Cooking_no,3,408320.859981,167.229736968,310.47358358599996,3512.0,5544.4
7,7,sex_male,Size_5,age_46_55,Cooking_no,3,332503.590758,148.423006302,245.18589280700002,3512.0,2796.100000000001
8,8,sex_male,Size_4,age_46_55,Cooking_yes,3,410715.776113,177.691271158,303.60260619,3512.0,4123.599999999998
9,9,sex_female,Size_3,age_46_55,Cooking_no,1,400175.571658,164.27328787,306.000952132,3512.0,2851.7000000000035
10,10,sex_female,Size_2,age_36_45,Cooking_no,0,361148.366678,159.414715876,272.01094264299996,3512.0,5531.299999999994
11,11,sex_male,Size_4,age_36_45,Cooking_no,4,408086.212754,177.281993487,308.21171195799997,3512.0,224.9000000000053
