,index,i_Sex,i_FamilySize,i_Age,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,AC_yes,3,409741.21123200003,167.627287884,311.552995346,3348.6666666666665,4007.6643054976976
1,1,sex_male,Size_5,age_46_55,AC_yes,3,332732.577988,148.483611665,245.36284237400002,3348.6666666666665,3975.1617441603967
2,2,sex_male,Size_4,age_46_55,AC_yes,3,410851.772419,172.32122533900002,303.704158004,3348.6666666666665,0.0
3,3,sex_female,Size_3,age_46_55,AC_no,2,400803.084122,125.57373329,306.485225287,3348.6666666666665,4001.2622858403342
4,4,sex_female,Size_2,age_36_45,AC_yes,2,360166.705251,159.13706723299998,271.271123318,3348.6666666666665,3113.351405671711
5,5,sex_male,Size_4,age_36_45,AC_yes,4,407750.658548,177.186950158,307.950143383,3348.6666666666665,4994.5602588298625
6,6,sex_male,Size_3,age_56_65,AC_yes,3,409741.21123200003,167.627287884,311.552995346,3348.6666666666665,4007.6643054976976
7,7,sex_male,Size_5,age_46_55,AC_yes,3,332732.577988,148.483611665,245.36284237400002,3348.6666666666665,3975.1617441603967
8,8,sex_male,Size_4,age_46_55,AC_yes,3,410851.772419,172.32122533900002,303.704158004,3348.6666666666665,0.0
9,9,sex_female,Size_3,age_46_55,AC_no,2,400803.084122,125.57373329,306.485225287,3348.6666666666665,4001.2622858403342
10,10,sex_female,Size_2,age_36_45,AC_yes,2,360166.705251,159.13706723299998,271.271123318,3348.6666666666665,3113.351405671711
11,11,sex_male,Size_4,age_36_45,AC_yes,4,407750.658548,177.186950158,307.950143383,3348.6666666666665,4994.5602588298625
