,index,i_Sex,i_FamilySize,i_Age,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,3,317906.137587,141.922999849,232.25563031099998,3192.9166666666665,4141.999999999999
1,1,sex_male,Size_5,age_46_55,3,333143.381742,148.592337862,245.680290411,3192.9166666666665,4008.5000000000014
2,2,sex_male,Size_4,age_46_55,3,411178.624503,172.41347192599997,303.948226562,3192.9166666666665,461.4999999999962
3,3,sex_female,Size_3,age_46_55,2,401599.0315,164.642186447,307.099485512,3192.9166666666665,2083.4999999999986
4,4,sex_female,Size_2,age_36_45,1,359390.453766,158.917515801,270.686109143,3192.9166666666665,4441.999999999999
5,5,sex_male,Size_4,age_36_45,4,407602.39516300004,177.14495561400003,307.83457027599997,3192.9166666666665,4020.0000000000055
6,6,sex_male,Size_3,age_56_65,3,317906.137587,141.922999849,232.25563031099998,3192.9166666666665,4141.999999999999
7,7,sex_male,Size_5,age_46_55,3,333143.381742,148.592337862,245.680290411,3192.9166666666665,4008.5000000000014
8,8,sex_male,Size_4,age_46_55,3,411178.624503,172.41347192599997,303.948226562,3192.9166666666665,461.4999999999962
9,9,sex_female,Size_3,age_46_55,2,401599.0315,164.642186447,307.099485512,3192.9166666666665,2083.4999999999986
10,10,sex_female,Size_2,age_36_45,1,359390.453766,158.917515801,270.686109143,3192.9166666666665,4441.999999999999
11,11,sex_male,Size_4,age_36_45,4,407602.39516300004,177.14495561400003,307.83457027599997,3192.9166666666665,4020.0000000000055
