i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,i_Intercept,c_i_Education,Income__0,e_Intercept,Electricity__0,w_Intercept,c_w_Education,Water__0
1,919.012059036333,0,7105.2244566329355,3,1666.846395220964,53.260955556183426,116.57589770606201,0,1,0.8256615909418198,1,18.78990863686842,0,28.886242146142248,0,59.24323573381378,0,203.32261545521197,1,24.593499876383408,0.0014260667515660983,98.49504620801835,1000.9789077676428,0.05318701200857999,49.73935151831777,6.088941881654669,2,1147.6639922287982,1.0,64178.230395308565,3.2999838733037463,22.191750080858238,-601.5919500275481,1.0,42.20948686657768
0,919.012059036333,1,7105.2244566329355,4,1666.846395220964,53.260955556183426,116.57589770606201,0,1,0.8256615909418198,1,18.78990863686842,0,28.886242146142248,1,59.24323573381378,0,203.32261545521197,1,24.593499876383408,0.0014260667515660983,98.49504620801835,1000.9789077676428,0.05318701200857999,49.73935151831777,6.088941881654669,2,1147.6639922287982,1.0,102140.6725937987,3.2999838733037463,48.947532976919,-601.5919500275481,1.0,79.27306092458173
0,919.012059036333,0,7105.2244566329355,5,1666.846395220964,53.260955556183426,116.57589770606201,0,1,0.8256615909418198,1,18.78990863686842,0,28.886242146142248,0,59.24323573381378,1,203.32261545521197,1,24.593499876383408,0.0014260667515660983,98.49504620801835,1000.9789077676428,0.05318701200857999,49.73935151831777,6.088941881654669,4,1147.6639922287982,1.0,75851.02950609988,3.2999838733037463,64.84797441663366,-601.5919500275481,1.0,49.96595936489797
1,919.012059036333,1,7105.2244566329355,5,1666.846395220964,53.260955556183426,116.57589770606201,4,1,0.8256615909418198,1,18.78990863686842,0,28.886242146142248,1,59.24323573381378,0,203.32261545521197,1,24.593499876383408,0.0014260667515660983,98.49504620801835,1000.9789077676428,0.05318701200857999,49.73935151831777,6.088941881654669,3,1147.6639922287982,16788.0394185,439260.9560593555,3.2999838733037463,142.17546523962992,-601.5919500275481,40.18785101549648,306.7863680732802
0,919.012059036333,0,7105.2244566329355,5,1666.846395220964,53.260955556183426,116.57589770606201,0,1,0.8256615909418198,1,18.78990863686842,0,28.886242146142248,0,59.24323573381378,0,203.32261545521197,1,24.593499876383408,0.0014260667515660983,98.49504620801835,1000.9789077676428,0.05318701200857999,49.73935151831777,6.088941881654669,2,1147.6639922287982,1.0,75851.02950609988,3.2999838733037463,25.419769806133143,-601.5919500275481,1.0,49.96595936489797
0,918.7617445828237,1,7106.169473169949,5,1666.5884544296694,53.26093755966802,116.51830657227372,0,1,0.8258240277023822,1,18.793553960376986,0,28.892146988413188,1,59.23323205500846,0,203.3353647150909,1,24.596462265572008,0.0014118540295601776,98.44174107775137,1000.8673472430548,0.05271921535133836,49.739408705256544,6.086754992899864,3,1147.6639922287982,1.0,110181.86423465598,3.2999838733037463,50.86695874895786,-601.5919500275481,1.0,84.58257282481385
0,917.2363773024571,0,7111.920999762874,5,1668.5379873558584,53.34389666171961,116.61748525075312,4,1,0.827609879049345,1,18.758330614701624,0,28.88099849321729,0,59.194203803530286,0,203.4178312808946,1,24.574501597625844,0.0014301855574361574,98.43236776986394,1002.3146423359062,0.05275359718462882,49.74339291993434,6.096094064652173,0,1147.6639922287982,16788.0394185,400569.3755835188,3.2999838733037463,115.5322405285178,-601.5919500275481,40.18785101549648,265.2480032609093
1,917.243140271547,1,7098.515899887348,5,1671.4922508834416,53.32175021812391,116.7265522319973,3,1,0.8262742104980183,1,18.768453456598046,0,28.894131214683874,1,59.18525931173952,1,203.90562300656737,1,24.591016875508302,0.001437362775313152,98.4789041513159,1002.3258428195586,0.05376718033006611,49.78975419050998,6.1065160490229005,1,1147.6639922287982,18727.4606703,386376.40935945476,3.2999838733037463,167.92252430896292,-601.5919500275481,101.7028394300736,276.33351302778203
0,916.3279437314688,0,7105.579257121018,5,1670.0283033758371,53.38320882654978,116.77971084747492,3,1,0.825058492050418,1,18.729776333453753,0,28.893522961502125,0,59.2209676419722,0,203.6434299014345,1,24.629643134702835,0.0014294521780744425,98.59701250612034,1002.0327065452196,0.05176711770757027,49.834343269254425,6.108281115812326,1,1147.6639922287982,18727.4606703,347640.471364744,3.2999838733037463,100.79742577629858,-601.5919500275481,101.7028394300736,227.9587034561392
0,920.1841662167504,1,7135.845618658772,4,1659.4759270894963,53.437797630237625,116.9001423648138,2,1,0.8244664117882307,1,18.602887308701998,0,28.773207183254335,1,59.27991803148608,0,204.59835471818118,1,24.36945759686111,0.001424107004233259,98.83612284009502,995.030096988485,0.05262000902750659,49.988912132994805,6.085084112420365,1,1147.6639922287982,11959.091528,217952.39689119312,3.2999838733037463,80.81868323668839,-601.5919500275481,260.32727427717964,161.0093094282485
