index,w_dutyp,w_sex,w_ban,w_connectio,e_sqm,e_hhsize,e_edu,w_age,Water,Electricity,w,wf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,149.59323391422862,hhsize_2,edu_master,age_50a54,66.93293928326156,2667.016459758782,403.4970187777844,0.0,218.70592459080657,221.07081774087692,223.5778591658065,225.79211860570598,228.43338212108233,230.62401877952982,232.8494006672898,235.72349953764189,237.1403112978642,240.34184000523513,244.92998787826062,251.1802192217689,257.6578533806596,265.3356314633704,358.6743369456769,370.8498327016017,383.93003929913374,398.2092579951757,413.36306329240796,429.06869244716955,445.7538008165934
1,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,150.60741038942004,hhsize_4,edu_collage,age_55a59,301.4906662026104,2645.8998409950823,403.4970187777844,5773.265629575859,1821.2377184725192,1839.827427817044,1860.7727034997229,1881.9300158810042,1902.6714489660433,1923.5889373538741,1945.103404430638,1965.9174191876366,2068.133668147148,2174.031859014907,2284.3843662496083,2398.1354776877656,2515.606618191955,2636.7249531026623,2299.185295283608,2397.6927349911834,2496.394623409467,2595.6300900831907,2693.2628238297816,2789.2135930436393,2882.4521570244906
2,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,130.09938199930636,hhsize_2,edu_master,age_40a44,189.23786601326083,2038.3750346650068,403.4970187777844,0.0,1045.976975775725,1057.3417305786136,1069.5453556255432,1080.684536086066,1092.417719622287,1105.211965501162,1117.0439403305288,1129.1478819625684,1146.5192337239775,1165.1322132325672,1187.2127463156905,1211.8010711305983,1237.8007865483996,1266.053130276014,1149.7458473955412,1182.3319629915138,1215.8525199395303,1251.6322955343473,1288.372788127425,1327.362614187552,1367.86963608056
3,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,123.65860631007419,hhsize_7,edu_primary,age_75a79,291.08109814323865,4051.703480230215,403.4970187777844,3096.5190711316,1562.2587589766388,1580.3201288125265,1597.717557350336,1614.844529170585,1633.2552779412395,1650.623175574099,1669.3398622632287,1688.456171113599,1612.5681162521153,1537.5829956670382,1461.5554900891882,1384.3782392938547,1309.6955358158823,1236.0772789650525,1113.511400402255,1037.5901520295415,965.1432351076932,893.8153690078797,826.8546925572637,762.5797688793684,699.9771576593877
4,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,121.2067183654319,hhsize_6,edu_master,age_45a49,281.9409099128736,3489.011098924942,403.4970187777844,0.0,475.9047161836802,481.66716307168883,486.60684198680264,491.9960848040246,497.5160870003903,502.96810373277316,508.26842012397873,514.2497458890587,492.65886132671983,469.6007559641179,444.9821499005325,420.5895311992023,395.5886273716444,371.5682754305604,358.46967796828636,338.7367055738127,319.87266659239333,302.10691384076347,285.2921646610847,268.9973114690767,253.71317891137207
5,dutyp_Apartamento,sex_Homens,ban_2,connectio_Poço,103.51625694334696,hhsize_6,edu_master,age_40a44,218.3951087185627,2946.672585079487,403.4970187777844,0.0,269.3984703139255,272.32504719493147,275.5987154671016,278.17373934842794,280.9445913540542,284.74008377086113,287.7935843620856,290.58496595326153,261.93849556646927,231.06100481665544,202.08236507134754,171.70163370151514,139.5582053026578,106.35779610544938,156.60774039699342,155.211305875187,155.789434438625,158.46960716661332,163.69393580778058,171.7753589832937,181.94412826493502
6,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,84.88240130131932,hhsize_3,edu_master,age_45a49,298.01585023881074,2312.5277002249913,403.4970187777844,0.0,573.4129247017801,580.1614768129879,586.2961734943462,592.6415633346643,599.2974772411027,605.9528670730286,612.2531130138989,619.6545934785395,637.3864810406054,656.0503565089125,678.6105433859121,702.1134901663912,726.7246422138701,754.17582911365,728.4714446737668,749.7957851966293,771.8848026062029,794.756532788095,818.80834109165,843.6139111711673,870.0678962429124
7,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,46.63242719742002,hhsize_4,edu_primary,age_45a49,293.1741847884596,3086.7815785777693,403.4970187777844,632.2623435417322,712.5581983293504,721.0401959283582,728.5798197485041,736.6016573482559,744.7630338838247,753.0281080706264,761.114007850512,769.9054643336789,790.5895349379598,809.9302703385582,827.0547272779833,842.7106174304394,857.2029420368956,871.2546377461094,812.0341078784952,811.7488175033538,809.0561354289274,804.1590583334958,797.265169471696,787.6462345959746,776.0275546790326
8,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,139.7287702262691,hhsize_1,edu_master,age_35a39,318.9922187837921,1881.507159308122,403.4970187777844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,132.85774257752078,hhsize_2,edu_master,age_35a39,298.83741356566344,2151.1493183522934,403.4970187777844,0.0,289.32394124831427,291.99895181231955,295.9321309779999,298.9958835155998,302.4201086556178,305.80528774775524,308.8000541928472,312.3444444551336,329.91252808431346,349.06138167677557,371.8750272422312,395.04931334940284,418.4330849337419,443.46656104840076,495.49927998898386,523.4153904691564,553.5123763274936,585.763812577377,619.1990334514303,655.1778156439267,694.1165014740042
