,index,w_dutyp,w_sex,w_ban,w_connectio,e_sqm,e_hhsize,e_edu,w_age,Water,Electricity,w,wf
0,0,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,149.59323391422862,hhsize_2,edu_master,age_50a54,66.93293928326156,2667.016459758782,403.4970187777844,0.0
1,1,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,150.60741038942004,hhsize_4,edu_collage,age_55a59,301.4906662026104,2645.8998409950823,403.4970187777844,5773.265629575859
2,2,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,130.09938199930636,hhsize_2,edu_master,age_40a44,189.23786601326083,2038.3750346650068,403.4970187777844,0.0
3,3,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,123.65860631007419,hhsize_7,edu_primary,age_75a79,291.08109814323865,4051.703480230215,403.4970187777844,3096.5190711316
4,4,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,121.2067183654319,hhsize_6,edu_master,age_45a49,281.9409099128736,3489.011098924942,403.4970187777844,0.0
5,5,dutyp_Apartamento,sex_Homens,ban_2,connectio_Poço,103.51625694334696,hhsize_6,edu_master,age_40a44,218.3951087185627,2946.672585079487,403.4970187777844,0.0
6,6,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,84.88240130131932,hhsize_3,edu_master,age_45a49,298.01585023881074,2312.5277002249913,403.4970187777844,0.0
7,7,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,46.63242719742002,hhsize_4,edu_primary,age_45a49,293.1741847884596,3086.7815785777693,403.4970187777844,632.2623435417322
8,8,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,139.7287702262691,hhsize_1,edu_master,age_35a39,318.9922187837921,1881.507159308122,403.4970187777844,0.0
9,9,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,132.85774257752078,hhsize_2,edu_master,age_35a39,298.83741356566344,2151.1493183522934,403.4970187777844,0.0
10,10,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,61.327680172119024,hhsize_4,edu_master,age_45a49,286.73276401530137,3030.5789905294077,403.4970187777844,0.0
11,11,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,104.05821391473252,hhsize_5,edu_primary,age_35a39,293.30084949004373,2923.1028530729213,403.4970187777844,463.7334592611554
12,12,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,122.18757129796192,hhsize_5,edu_master,age_30a34,294.90466641912195,2773.515605068225,403.4970187777844,0.0
13,13,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,91.77613493220905,hhsize_3,edu_master,age_35a39,298.0000057656989,2719.0077504817473,403.4970187777844,0.0
14,14,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,97.48636620179235,hhsize_4,edu_master,age_50a54,286.3772925631104,3104.060868426146,403.4970187777844,0.0
15,15,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,51.78684191270439,hhsize_5,edu_primary,age_50a54,186.57880188540142,2873.8882628932383,403.4970187777844,867.4082174548103
16,16,dutyp_Apartamento,sex_Mulheres,ban_4,connectio_Outra,127.55002264006524,hhsize_4,edu_primary,age_30a34,340.43424641289096,2917.7003197595927,403.4970187777844,2253.7113501466674
17,17,dutyp_Casa,sex_Mulheres,ban_no,connectio_Poço,70.02119235280597,hhsize_2,edu_master,age_45a49,-29.155758205244897,2537.6253000056963,403.4970187777844,0.0
18,18,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,149.04132872911626,hhsize_4,edu_master,age_40a44,289.98739412478415,3114.781347990121,403.4970187777844,0.0
19,19,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,82.07788649110499,hhsize_4,edu_master,age_25a29,288.331174494441,2854.344600240355,403.4970187777844,0.0
20,20,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,148.11268565344568,hhsize_5,edu_master,age_70a74,297.62117361590214,2961.3492450898634,403.4970187777844,0.0
21,21,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,137.74956491486176,hhsize_5,edu_master,age_50a54,293.59862294896783,2912.7062682123383,403.4970187777844,0.0
22,22,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,92.14169177103331,hhsize_1,edu_primary,age_35a39,363.7250269926346,2483.4871659440187,403.4970187777844,0.0
23,23,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,97.05307098790972,hhsize_5,edu_master,age_60a64,323.9266043808155,3184.0915503385468,403.4970187777844,0.0
24,24,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,47.4347000659819,hhsize_1,edu_master,age_40a44,287.199483080672,2127.69475727276,403.4970187777844,0.0
25,25,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,160.05618576926452,hhsize_4,edu_master,age_55a59,205.747485971249,3306.6874421888037,403.4970187777844,0.0
26,26,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,114.26293313772881,hhsize_3,edu_master,age_75a79,306.01176333675295,2364.40611485233,403.4970187777844,0.0
27,27,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,112.15854123040073,hhsize_5,edu_master,age_55a59,294.8480669155975,3205.805130205768,403.4970187777844,0.0
28,28,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,111.3889181651596,hhsize_4,edu_master,age_35a39,289.9449279966923,2928.626724731333,403.4970187777844,0.0
29,29,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,69.95539259312113,hhsize_2,edu_master,age_45a49,302.68669936964216,2386.564024733385,403.4970187777844,0.0
30,30,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,130.50879150425786,hhsize_2,edu_master,age_55a59,290.31674648004014,2525.0440723022252,403.4970187777844,0.0
31,31,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,66.71067529666355,hhsize_4,edu_primary,age_35a39,294.62643981397326,2682.9799998056224,403.4970187777844,693.4185127125444
32,32,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,46.74482206899985,hhsize_4,edu_primary,age_30a34,370.7311895621669,2491.696236544029,403.4970187777844,1068.2783156899786
33,33,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,139.89600574506431,hhsize_4,edu_primary,age_35a39,289.3513306948488,3564.159079115475,403.4970187777844,438.6431119322546
34,34,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,89.59378143183608,hhsize_4,edu_master,age_35a39,298.5763058918181,3040.380175580713,403.4970187777844,0.0
35,35,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,80.94345951337097,hhsize_3,edu_primary,age_60a64,297.71222993814234,2988.7135255125872,403.4970187777844,264.4161647766065
36,36,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.92116207961249,hhsize_4,edu_master,age_60a64,293.35217379606536,2921.7740784372904,403.4970187777844,0.0
37,37,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,89.59751227913941,hhsize_5,edu_primary,age_50a54,326.33262598418963,2990.6187555995393,403.4970187777844,0.0
38,38,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,135.440540708902,hhsize_5,edu_master,age_55a59,70.07152393219357,3497.907069242196,403.4970187777844,0.0
39,39,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.52701140952318,hhsize_1,edu_master,age_25a29,292.92294248454937,2428.679814111325,403.4970187777844,0.0
40,40,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,83.88999981641864,hhsize_2,edu_master,age_20a24,292.60287306946543,2381.0998312247,403.4970187777844,1166.962614906688
41,41,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,107.8829792036292,hhsize_3,edu_primary,age_45a49,294.46189359663487,2689.4291220255927,403.4970187777844,800.2072331470523
42,42,dutyp_Casa,sex_Homens,ban_1,connectio_Poço,62.465807785814036,hhsize_2,edu_master,age_45a49,186.97300619698024,2322.883331980095,403.4970187777844,0.0
43,43,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,101.53075806500144,hhsize_4,edu_master,age_60a64,291.66168709407424,2866.2435067719216,403.4970187777844,0.0
44,44,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,126.69098568746892,hhsize_1,edu_master,age_45a49,283.7677088333333,2513.217679119552,403.4970187777844,0.0
45,45,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,67.0547776588619,hhsize_7,edu_primary,age_60a64,309.0832596518153,4021.573838081323,403.4970187777844,3221.7932901639097
